minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
60,0.0,8899,0.0009886270461324804,0.0012835555275569,0.0010144914669743218,0.00093929840513173,0.5790538262726149,1.3035772413094238,-0.0104884520848628,0.011701268752328338
60,0.0004,8899,0.0005886270461324803,0.0008835555275569001,0.0006144914669743218,0.00053929840513173,0.5535453421732779,1.1715913961091358,-0.010888452084862799,0.011301268752328338
60,0.0006,8899,0.0003886270461324805,0.0006835555275569002,0.00041449146697432137,0.00033929840513173006,0.5433194740982132,1.1103853517104234,-0.0110884520848628,0.011101268752328338
120,0.0,8899,0.0009806910220043097,0.0014367816091953,0.0010561287452548786,0.0009281831426817889,0.5688279581975503,1.2262237032985985,-0.01401831188008074,0.014850423406291936
120,0.0004,8899,0.0005806910220043098,0.0010367816091953,0.0006561287452548782,0.0005281831426817889,0.5505112934037533,1.1287248532533714,-0.014418311880080739,0.014450423406291936
120,0.0006,8899,0.00038069102200430973,0.0008367816091953,0.00045612874525487857,0.0003281831426817889,0.5412967749185301,1.0827253449618492,-0.01461831188008074,0.014250423406291936
