threshold,cost,windows,positive_mean_windows,pf_gt_1_windows,median_window_return,median_window_pf,worst_window_return,best_window_return,positive_window_rate
2.5,0.0004,124,59,59,-4.6284496760975446e-05,0.974053261098613,-0.003156504945367039,0.002589575416645764,0.47580645161290325
2.5,0.0006,124,49,49,-0.0002462844967609754,0.8812086371926325,-0.00335650494536704,0.002389575416645763,0.3951612903225806
3.0,0.0004,124,68,68,0.0001551552399711685,1.040885169415699,-0.004391827206813464,0.003991710037546423,0.5483870967741935
3.0,0.0006,124,61,61,-4.4844760028831353e-05,0.9839727425415122,-0.0045918272068134645,0.003791710037546423,0.49193548387096775
3.5,0.0004,124,77,77,0.0004255057291273443,1.1508893499022903,-0.003827785441356663,0.006915910324438667,0.6209677419354839
3.5,0.0006,124,71,71,0.00022550572912734447,1.084461102865029,-0.004027785441356664,0.006715910324438667,0.5725806451612904
4.0,0.0004,124,79,79,0.0005330583501570235,1.2574342670706546,-0.0123498435923778,0.01444613939817155,0.6370967741935484
4.0,0.0006,124,72,72,0.0003330583501570236,1.1692165916819264,-0.012549843592377803,0.01424613939817155,0.5806451612903226
