variant,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q10,q90
CANDIDATE_FIRST_30M,2024,0.0004,1031,0.001001495170709307,0.0005551098376312517,0.0009133919998096469,0.000956306115195152,0.5315227934044617,1.3112578481613617,14,-0.009882185273159027,0.012649898691575913
CANDIDATE_FIRST_30M,2024,0.0006,1031,0.0008014951707093062,0.00035510983763125173,0.0007133919998096461,0.0007563061151951516,0.5208535402521823,1.2419651392795823,14,-0.010082185273159027,0.012449898691575912
CANDIDATE_FIRST_30M,2024,0.0008,1031,0.0006014951707093068,0.00015510983763125164,0.0005133919998096475,0.0005563061151951515,0.507274490785645,1.1764293156384422,14,-0.010282185273159028,0.012249898691575912
CANDIDATE_FIRST_30M,2025,0.0004,1115,0.00024798440629520194,-0.0006431426183420182,-0.00018347544845593225,-2.3702024655046946e-06,0.4618834080717489,1.0731086617408776,15,-0.009750412871724089,0.01103618938750839
CANDIDATE_FIRST_30M,2025,0.0006,1115,4.7984406295201686e-05,-0.0008431426183420182,-0.00038347544845593367,-0.0002023702024655045,0.442152466367713,1.0137058312688212,16,-0.00995041287172409,0.01083618938750839
CANDIDATE_FIRST_30M,2025,0.0008,1115,-0.00015201559370479805,-0.0010431426183420182,-0.0005834754484559324,-0.00040237020246550485,0.43408071748878924,0.9579315754283186,16,-0.01015041287172409,0.010636189387508389
CANDIDATE_FIRST_30M,2026,0.0004,823,-0.0005483168734591191,-0.001147145000467908,-0.0009174009847604502,-0.0007896886120985656,0.4204131227217497,0.8333159301920742,14,-0.010312887063535723,0.008595275092856626
CANDIDATE_FIRST_30M,2026,0.0006,823,-0.0007483168734591195,-0.001347145000467908,-0.0011174009847604515,-0.0009896886120985657,0.40704738760631837,0.7803288065114052,14,-0.010512887063535724,0.008395275092856626
CANDIDATE_FIRST_30M,2026,0.0008,823,-0.0009483168734591194,-0.001547145000467908,-0.001317400984760451,-0.001189688612098566,0.39003645200486026,0.7310865511832281,14,-0.010712887063535724,0.008195275092856625
CANDIDATE_FIRST_60M,2024,0.0004,926,0.0011001703677973797,0.0006942383556459268,0.0010307825090871625,0.0011256766452998977,0.5345572354211663,1.34838310891678,13,-0.009648797387733209,0.012589095005749075
CANDIDATE_FIRST_60M,2024,0.0006,926,0.0009001703677973791,0.0004942383556459268,0.0008307825090871608,0.0009256766452998973,0.5248380129589633,1.2767994302034957,13,-0.00984879738773321,0.012389095005749074
CANDIDATE_FIRST_60M,2024,0.0008,926,0.0007001703677973795,0.0002942383556459267,0.0006307825090871622,0.0007256766452998973,0.5118790496760259,1.209129563073332,13,-0.01004879738773321,0.012189095005749074
CANDIDATE_FIRST_60M,2025,0.0004,1036,0.0003575079344633073,-0.0006264971747971134,-0.00010514105644087541,8.876453998319994e-05,0.46332046332046334,1.1103091538763512,14,-0.009209021901895752,0.010919561887516594
CANDIDATE_FIRST_60M,2025,0.0006,1036,0.00015750793446330625,-0.0008264971747971133,-0.0003051410564408762,-0.0001112354600168003,0.4420849420849421,1.0470200108758938,15,-0.009409021901895753,0.010719561887516594
CANDIDATE_FIRST_60M,2025,0.0008,1036,-4.249206553669318e-05,-0.0010264971747971133,-0.0005051410564408746,-0.0003112354600168005,0.4333976833976834,0.9877275772046489,15,-0.009609021901895753,0.010519561887516593
CANDIDATE_FIRST_60M,2026,0.0004,754,-0.00041994173558128665,-0.000985598466894599,-0.0008080021744577382,-0.000664541874476783,0.42572944297082227,0.8688189604323281,10,-0.010090093603004235,0.008595161514847205
CANDIDATE_FIRST_60M,2026,0.0006,754,-0.000619941735581287,-0.0011855984668945989,-0.0010080021744577389,-0.000864541874476783,0.41114058355437666,0.8131155023266596,11,-0.010290093603004235,0.008395161514847205
CANDIDATE_FIRST_60M,2026,0.0008,754,-0.0008199417355812867,-0.001385598466894599,-0.0012080021744577383,-0.0010645418744767833,0.3925729442970822,0.7614017501120052,11,-0.010490093603004236,0.008195161514847204
LEGACY_EVENT_FIRST_60M,2024,0.0004,558,0.0010063409642472017,0.0008710827571532635,0.0010928750336130116,0.0010445105098304036,0.53584229390681,1.3155408501775192,10,-0.00850657744798282,0.011419967070823713
LEGACY_EVENT_FIRST_60M,2024,0.0006,558,0.0008063409642472013,0.0006710827571532635,0.0008928750336130111,0.0008445105098304035,0.525089605734767,1.2455864941634418,10,-0.008706577447982821,0.011219967070823712
