minutes,year,symbol,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
60,2024,BNBUSDT,830,0.0012647987493270198,0.0014274128974148502,0.0014958091130561574,0.0014605373992801227,0.5975903614457831,1.3777099685031227,-0.00970311025325717,0.012673510176767759
60,2024,BTCUSDT,721,0.0011887907765103806,0.0014816157946095,0.0012888682461214467,0.0012817688972107425,0.5936199722607489,1.4733638860207052,-0.0077606764099593,0.0104289495398354
60,2024,ETHUSDT,639,0.000521630321511311,0.0017076786000677002,0.0011831784826568203,0.0009810722780398489,0.6009389671361502,1.1385406387756782,-0.01111683970377534,0.012001995037158441
60,2024,SOLUSDT,883,0.0021316012778181148,0.0017867370856105,0.0020191647910425626,0.0020063633195548693,0.5990939977349944,1.5808023662212969,-0.0114042876063946,0.01600999895102386
60,2025,BNBUSDT,1054,0.0001434087277286219,8.338597614740006e-05,0.00011352886303899704,9.829967438136088e-05,0.5104364326375711,1.0470334222328739,-0.00923914239781217,0.009494791469560074
60,2025,BTCUSDT,1014,-0.00029423229718386976,-0.00014558170388479993,-0.0003291137234076298,-0.00038584677514342055,0.490138067061144,0.8889657010171208,-0.00807072038648168,0.006849637473534971
60,2025,ETHUSDT,723,-0.0009390899447154818,6.243355468290007e-05,-0.0008702730445723933,-0.001045657933312236,0.5076071922544951,0.8150512566849254,-0.01613776769620784,0.012162450280011642
60,2025,SOLUSDT,1003,0.0004385982047106681,0.0005033681765388001,0.0002455948068135986,0.0001913516872372785,0.5254237288135594,1.1042535625654653,-0.0133985501046232,0.0128581481893041
60,2026,BNBUSDT,564,-0.0005219164289798143,-0.00010801355426004992,-0.0005666808657035264,-0.0007598996378270223,0.49113475177304966,0.836307325541951,-0.0094414098295,0.00696950974816693
60,2026,BTCUSDT,568,-0.0003305759250451897,0.00014543973097690008,-0.0001912708831285563,-0.00035604673957211237,0.5105633802816901,0.8932393336533678,-0.009487482453885738,0.00844527634499497
60,2026,ETHUSDT,398,0.0007600480968413565,0.0012134246581997502,0.00044266506170441975,0.00044324705493301416,0.5753768844221105,1.2079036966472354,-0.013782523582220079,0.010700519511811363
60,2026,SOLUSDT,502,-0.00019553606012190797,0.0008722249006713,-8.477148420013397e-05,-0.0002631714986332328,0.5438247011952191,0.9571355446773079,-0.015035627204309938,0.012320562108681874
120,2024,BNBUSDT,830,0.0018877928767619576,0.0020244971388743,0.002004271588580649,0.002073677671260798,0.6048192771084338,1.5047631386325995,-0.010552889232902679,0.014943953886310353
120,2024,BTCUSDT,721,0.0012370925091182352,0.0014986639260021,0.0013156029730996201,0.0012997821337656927,0.5922330097087378,1.3823194143470445,-0.0109110025232143,0.0127034702358463
120,2024,ETHUSDT,639,0.0004313131964915174,0.0016304720511892,0.001056323557427124,0.0008619925293105487,0.5743348982785602,1.0933121360804428,-0.015096865306826879,0.014113080238984941
120,2024,SOLUSDT,883,0.0025942253729823415,0.0028429660046590003,0.0023441855582318626,0.0022736650957647037,0.5832389580973952,1.5584624767913273,-0.01554642588369128,0.0191591742092588
120,2025,BNBUSDT,1054,0.000277377013695183,0.0004902703115954501,0.000438678854258565,0.000238127215586812,0.5275142314990512,1.0674176738139638,-0.01285190649630884,0.013029535865456342
120,2025,BTCUSDT,1014,-0.0005766678248410652,0.00018936744893460007,-0.000393222064979765,-0.0005069189278885659,0.5088757396449705,0.8451380895556948,-0.01134520742690073,0.009746929157967531
120,2025,ETHUSDT,723,-0.0015371243138322759,0.00014966650864860003,-0.0012360231020875293,-0.0014369875301340805,0.5089903181189488,0.7738231906774269,-0.02165569955383238,0.015734321624201054
120,2025,SOLUSDT,1003,-0.000477774077053346,0.00028530830861860004,-0.00020653438794104135,-0.0004025889134498136,0.5164506480558325,0.9268437964039626,-0.01997640514402428,0.016932890352515707
120,2026,BNBUSDT,564,0.00016058174403373157,0.00029578693636690006,-7.955066688892726e-05,-0.000267350846879856,0.5177304964539007,1.0435264807448614,-0.012317620222939469,0.010992116324073079
120,2026,BTCUSDT,568,-0.00038873905308963374,-6.670164138754996e-05,-0.0005293727503981739,-0.000569485883453493,0.49471830985915494,0.9017646702142685,-0.0130161981827085,0.010499954907481172
120,2026,ETHUSDT,398,0.0011652467133640623,0.0010737972889282002,0.000599842175600809,0.00045037133100615513,0.5603015075376885,1.2657118577859756,-0.0154763739784137,0.016318924446228275
120,2026,SOLUSDT,502,-0.00017520109986346322,0.0003312551842401501,-0.0003200815751372992,-0.00035139762692830905,0.50199203187251,0.9686915054711028,-0.01662030364368082,0.01652313659746311
