stop_loss_fraction,take_profit_r_multiple,policy,activation_r_multiple,split,cost,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
0.005,1.5,no_break_even,,development,0.0006,BTCUSDT,118,0.0002746118466252357,-0.00021555626585618656,0.4915254237288136,1.1231109301072622,4,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,development,0.0006,ETHUSDT,108,-0.0006444399591640139,-0.003028033567282106,0.3888888888888889,0.7782609712226096,9,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,development,0.0006,BNBUSDT,103,0.00023424138816466653,-0.0006997224392107476,0.46601941747572817,1.1013385149088395,6,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,development,0.0006,SOLUSDT,87,-0.0006664190057578568,-0.005599999999999893,0.40229885057471265,0.7943489364994292,6,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,development,0.001,BTCUSDT,118,-0.0001253881533747645,-0.0006155562658561866,0.4745762711864407,0.9485639528020612,5,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,development,0.001,ETHUSDT,108,-0.0010444399591640141,-0.0034280335672821063,0.37962962962962965,0.6687188527280137,9,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,development,0.001,BNBUSDT,103,-0.00016575861183533392,-0.0010997224392107477,0.4563106796116505,0.9343738536297521,6,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,development,0.001,SOLUSDT,87,-0.001066419005757857,-0.0059999999999998934,0.40229885057471265,0.6935236929093331,6,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,validation,0.0006,BTCUSDT,124,-0.0002908781595569416,-0.0007748188078863344,0.4112903225806452,0.8723742783797894,10,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,validation,0.0006,ETHUSDT,141,-0.0008597535691751396,-0.005403727324402707,0.36879432624113473,0.7195127892648975,7,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,validation,0.0006,BNBUSDT,103,0.00036464757789617444,-0.0005835320466372579,0.47572815533980584,1.174253697223261,5,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,validation,0.0006,SOLUSDT,112,-0.00032454112125547107,-0.004428699247902467,0.42857142857142855,0.8902229026168778,8,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,validation,0.001,BTCUSDT,124,-0.000690878159556942,-0.0011748188078863344,0.4112903225806452,0.725256954552114,10,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,validation,0.001,ETHUSDT,141,-0.00125975356917514,-0.005803727324402707,0.3617021276595745,0.6204465868849871,7,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,validation,0.001,BNBUSDT,103,-3.535242210382567e-05,-0.000983532046637258,0.4563106796116505,0.984667004799164,5,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,validation,0.001,SOLUSDT,112,-0.0007245411212554716,-0.004828699247902467,0.41964285714285715,0.7727484895920018,8,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062
0.005,1.5,no_break_even,,confirmation,0.0006,BTCUSDT,92,-5.6355206224728346e-05,-0.0010127397550986454,0.42391304347826086,0.9745748775196166,7,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
0.005,1.5,no_break_even,,confirmation,0.0006,ETHUSDT,95,2.9900951078205437e-05,-0.0018175660500030048,0.4631578947368421,1.0117697974591653,4,-0.005600000000000004,0.006900000000000062,-0.005600000000000004,0.006900000000000062
0.005,1.5,no_break_even,,confirmation,0.0006,BNBUSDT,77,0.0002460498391532091,0.00013141258029640893,0.5194805194805194,1.1411383616067734,4,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062
