year,hypothesis,side,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
2024,DOWN_CONTINUATION_SHORT,SHORT,0.0,6312,-0.0001290793407039303,-0.0006667611610586266,0.4641951837769328,0.9643817551363467,-0.010502941658426001,0.01065090764849295
2024,DOWN_CONTINUATION_SHORT,SHORT,0.0002,6312,-0.0003290793407039302,-0.0008667611610586266,0.4524714828897338,0.9118275634069054,-0.010702941658426002,0.01045090764849295
2024,DOWN_CONTINUATION_SHORT,SHORT,0.0004,6312,-0.00052907934070393,-0.0010667611610586266,0.44106463878326996,0.8623186116469468,-0.010902941658426,0.01025090764849295
2025,DOWN_CONTINUATION_SHORT,SHORT,0.0,6284,1.2047986547087887e-05,-0.00034484031604231635,0.47469764481222154,1.0036930292484822,-0.009528853663228287,0.010007239021549917
2025,DOWN_CONTINUATION_SHORT,SHORT,0.0002,6284,-0.0001879520134529119,-0.0005448403160423163,0.4621260343730108,0.9442062477589337,-0.009728853663228287,0.009807239021549917
2025,DOWN_CONTINUATION_SHORT,SHORT,0.0004,6284,-0.00038795201345291196,-0.0007448403160423163,0.44955442393380013,0.8884360405193092,-0.009928853663228286,0.009607239021549918
2026,DOWN_CONTINUATION_SHORT,SHORT,0.0,3820,0.00013649555953881978,-0.0003321031767004601,0.47513089005235604,1.0527910168125165,-0.00773604624744496,0.00825261318830237
2026,DOWN_CONTINUATION_SHORT,SHORT,0.0002,3820,-6.350444046117999e-05,-0.0005321031767004601,0.4549738219895288,0.9764160373604538,-0.00793604624744496,0.008052613188302369
2026,DOWN_CONTINUATION_SHORT,SHORT,0.0004,3820,-0.00026350444046118013,-0.00073210317670046,0.43926701570680626,0.9060016528132089,-0.00813604624744496,0.00785261318830237
2024,DOWN_REVERSAL_LONG,LONG,0.0,6312,0.00024840170549514433,0.0006672060287351567,0.5356463878326996,1.0723886380352037,-0.010538661336859934,0.010614424341904275
2024,DOWN_REVERSAL_LONG,LONG,0.0002,6312,4.840170549514446e-05,0.0004672060287351567,0.5250316856780735,1.0137295095378236,-0.010738661336859934,0.010414424341904274
2024,DOWN_REVERSAL_LONG,LONG,0.0004,6312,-0.00015159829450485547,0.00026720602873515665,0.5152091254752852,0.9581392166564175,-0.010938661336859933,0.010214424341904275
2025,DOWN_REVERSAL_LONG,LONG,0.0,6284,9.325645284119483e-05,0.0003449592723459016,0.5243475493316359,1.0289774923482058,-0.009908086431096308,0.009620526286296413
2025,DOWN_REVERSAL_LONG,LONG,0.0002,6284,-0.00010674354715880499,0.00014495927234590161,0.5103437301082113,0.9677983154628419,-0.010108086431096308,0.009420526286296412
2025,DOWN_REVERSAL_LONG,LONG,0.0004,6284,-0.0003067435471588049,-5.5040727654098395e-05,0.49649904519414384,0.9101554614717017,-0.010308086431096307,0.009220526286296413
2026,DOWN_REVERSAL_LONG,LONG,0.0,3820,-7.324258494728686e-05,0.0003322135081943456,0.5232984293193718,0.9727219305549386,-0.0081850649949595,0.007796359304742071
2026,DOWN_REVERSAL_LONG,LONG,0.0002,3820,-0.00027324258494728666,0.00013221350819434558,0.5075916230366492,0.901780068898436,-0.008385064994959501,0.007596359304742071
2026,DOWN_REVERSAL_LONG,LONG,0.0004,3820,-0.00047324258494728675,-6.778649180565443e-05,0.493979057591623,0.8357739480042229,-0.0085850649949595,0.007396359304742071
2024,UP_CONTINUATION_LONG,LONG,0.0,6371,0.00030824136777125367,8.53125853124137e-05,0.5054151624548736,1.094040914001311,-0.009729651147329488,0.010879236431286854
2024,UP_CONTINUATION_LONG,LONG,0.0002,6371,0.00010824136777125384,-0.00011468741468758631,0.4925443415476377,1.0320438367051803,-0.009929651147329488,0.010679236431286853
2024,UP_CONTINUATION_LONG,LONG,0.0004,6371,-9.175863222874613e-05,-0.0003146874146875863,0.4795165594098258,0.9736379655208518,-0.010129651147329487,0.010479236431286855
