event,samples,return_z_median,return_z_q10,return_z_q90,range_ratio_median,volume_ratio_median,close_position_median
EXTREME_DOWN,16416,-2.443792326335025,-3.802408689155981,-1.995418019873082,2.9559385350294805,3.92742083371217,0.10825317562592388
EXTREME_UP,16638,2.466546802932113,1.9926301332301537,4.00592198802261,2.996170028207131,3.8586239561741174,0.9016125173317787
