fast_span,slow_span,adx_threshold,hold_bars,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
24,96,20,48,development,0.0006,5272,-0.0009204674095559466,-0.0011212378444510167,0.44233687405159333,0.8258259148009012,15,-0.01563276782432812,0.014112744307185919,-0.11602238405186267,0.10409379169421233
24,96,20,48,development,0.001,5272,-0.0013204674095559467,-0.0015212378444510169,0.42545523520485584,0.760399155638165,15,-0.01603276782432812,0.013712744307185918,-0.11642238405186267,0.10369379169421233
24,96,20,48,validation,0.0006,5285,-0.000647137991146451,-0.0007811547320204054,0.45941343424787134,0.8705466328582566,15,-0.014612604527524442,0.013624673081407027,-0.11139623654700921,0.1268160255207355
24,96,20,48,validation,0.001,5285,-0.0010471379911464514,-0.0011811547320204055,0.4399243140964995,0.7993727224793888,18,-0.015012604527524443,0.013224673081407026,-0.11179623654700921,0.1264160255207355
24,96,20,48,confirmation,0.0006,3081,-0.0008742888810437442,-0.00102745546448375,0.436222005842259,0.798987570871513,11,-0.0129341518753326,0.01117618518892376,-0.06157898230088506,0.06776172059223144
24,96,20,48,confirmation,0.001,3081,-0.0012742888810437446,-0.0014274554644837503,0.4118792599805258,0.7217429350376924,11,-0.0133341518753326,0.01077618518892376,-0.061978982300885055,0.06736172059223144
24,96,20,96,development,0.0006,3074,-0.0012860129140662567,-0.0010312475696374161,0.466818477553676,0.8319206099827228,15,-0.022196815603281336,0.020580155507841296,-0.1417750424860405,0.17258220984953937
24,96,20,96,development,0.001,3074,-0.001686012914066257,-0.0014312475696374163,0.4567338972023422,0.7856675715804113,15,-0.022596815603281337,0.020180155507841295,-0.14217504248604051,0.17218220984953936
24,96,20,96,validation,0.0006,3067,-0.0006541312164963119,-0.0007183151916706037,0.47799152266058037,0.9096297749093156,11,-0.021472824654337194,0.020957727525539992,-0.14808201438848928,0.1897008406864446
24,96,20,96,validation,0.001,3067,-0.001054131216496312,-0.0011183151916706038,0.46364525595044015,0.8585105038679257,11,-0.021872824654337195,0.02055772752553999,-0.1484820143884893,0.1893008406864446
24,96,20,96,confirmation,0.0006,1813,-1.1570759419456718e-05,-0.0010488437072707184,0.46552675124103693,0.9979669844518315,13,-0.01671475984898729,0.01793012388800423,-0.10181681415929218,0.0863777344096514
24,96,20,96,confirmation,0.001,1813,-0.0004115707594194569,-0.0014488437072707186,0.4489795918367347,0.9303383353321532,13,-0.01711475984898729,0.017530123888004227,-0.10221681415929218,0.0859777344096514
24,96,25,48,development,0.0006,4583,-0.0008664206711730925,-0.001216581293872098,0.4387955487671831,0.8383913908816996,14,-0.015543973661039677,0.014452385698809935,-0.17001373022787908,0.13814298940621378
24,96,25,48,development,0.001,4583,-0.0012664206711730929,-0.0016165812938720983,0.41893955924067205,0.77344256296018,14,-0.015943973661039678,0.014052385698809934,-0.1704137302278791,0.13774298940621377
24,96,25,48,validation,0.0006,4576,-0.0005311592158633902,-0.0008597994635993305,0.4576048951048951,0.895344270814877,12,-0.01482957374416256,0.014840572632465288,-0.2146086054877619,0.09634603447705396
24,96,25,48,validation,0.001,4576,-0.0009311592158633905,-0.0012597994635993306,0.43815559440559443,0.8241791386858464,14,-0.015229573744162561,0.014440572632465287,-0.2150086054877619,0.09594603447705397
24,96,25,48,confirmation,0.0006,2675,-0.0006971149602934093,-0.0009432835820895707,0.4407476635514019,0.8438417722696733,13,-0.013397366555394162,0.011860804966327396,-0.09267323708128357,0.09151380440461691
24,96,25,48,confirmation,0.001,2675,-0.0010971149602934094,-0.0013432835820895708,0.41420560747663554,0.7662235713825358,13,-0.013797366555394163,0.011460804966327395,-0.09307323708128357,0.09111380440461692
24,96,25,96,development,0.0006,2827,-0.0012066257123814696,-0.0013240652975248894,0.4591439688715953,0.8439203463871299,12,-0.022536184103065394,0.021285018786159984,-0.15942368792160316,0.17258220984953937
24,96,25,96,development,0.001,2827,-0.00160662571238147,-0.0017240652975248896,0.4457021577644146,0.7979182784638922,15,-0.022936184103065395,0.020885018786159983,-0.15982368792160317,0.17218220984953936
24,96,25,96,validation,0.0006,2830,-0.0009870677704486611,-0.001010739527042736,0.47455830388692577,0.8712285604520962,13,-0.0224607133591755,0.021069264936482396,-0.24465727586936575,0.15810163286831908
24,96,25,96,validation,0.001,2830,-0.001387067770448661,-0.001410739527042736,0.46219081272084805,0.8239274464345371,13,-0.0228607133591755,0.020669264936482395,-0.24505727586936576,0.15770163286831906
24,96,25,96,confirmation,0.0006,1675,2.004387775225168e-05,-0.0007450859893570299,0.47044776119402987,1.0034522133406771,10,-0.017826132133755723,0.018996954052829022,-0.0956021542438605,0.09470884599203293
24,96,25,96,confirmation,0.001,1675,-0.00037995612224774825,-0.00114508598935703,0.45850746268656717,0.9368821011778945,12,-0.018226132133755724,0.01859695405282902,-0.0960021542438605,0.09430884599203293
24,192,20,48,development,0.0006,5198,-0.00038271124485694016,-0.001096099090207258,0.44613312812620237,0.9234600608173843,11,-0.01450245464035833,0.014859985337115434,-0.11602238405186267,0.10409379169421233
24,192,20,48,development,0.001,5198,-0.0007827112448569404,-0.0014960990902072582,0.4274721046556368,0.8502125855901494,11,-0.014902454640358331,0.014459985337115433,-0.11642238405186267,0.10369379169421233
24,192,20,48,validation,0.0006,5239,-0.0007989250882406653,-0.0010129918044069035,0.4481771330406566,0.8425626119024711,13,-0.014704467678807575,0.013610223778533267,-0.11729238282632377,0.09899803849334025
24,192,20,48,validation,0.001,5239,-0.0011989250882406656,-0.0014129918044069037,0.4264172552013743,0.7737791630918742,13,-0.015104467678807576,0.013210223778533266,-0.11769238282632377,0.09859803849334026
24,192,20,48,confirmation,0.0006,3062,-0.0005376261015420833,-0.000872057031564632,0.4431743958197257,0.8722122076823405,10,-0.012461850066698886,0.011637313810642636,-0.06480628108051086,0.06593549811507786
24,192,20,48,confirmation,0.001,3062,-0.0009376261015420837,-0.001272057031564632,0.4163945133899412,0.788596129095849,15,-0.012861850066698887,0.011237313810642635,-0.06520628108051085,0.06553549811507786
24,192,20,96,development,0.0006,3060,-0.0007144817494542091,-0.0010491444032264645,0.4624183006535948,0.9004850699888041,12,-0.02085046183407901,0.02038864692886898,-0.13412894451018859,0.12791234777976718
24,192,20,96,development,0.001,3060,-0.001114481749454209,-0.0014491444032264647,0.45098039215686275,0.8493309189130464,12,-0.021250461834079012,0.01998864692886898,-0.1345289445101886,0.12751234777976717
