symbol,hypothesis,side,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
BNBUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0,4146,-0.00012969392327450848,-0.0006040559560648862,0.45779064158224797,0.9545659275601486,-0.00851465205531271,0.008342153937303864
BNBUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0002,4146,-0.00032969392327450827,-0.0008040559560648861,0.44235407621804146,0.8887852110742396,-0.00871465205531271,0.008142153937303864
BNBUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0004,4146,-0.0005296939232745084,-0.0010040559560648861,0.4266763145200193,0.8278820542198528,-0.00891465205531271,0.007942153937303865
BTCUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0,3979,5.1651948232814247e-05,-0.00033422577478814386,0.47398843930635837,1.0207442330559615,-0.007394667298491053,0.007903642977361578
BTCUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0002,3979,-0.00014834805176718553,-0.0005342257747881438,0.45740135712490576,0.9428763911333295,-0.0075946672984910524,0.007703642977361577
BTCUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0004,3979,-0.00034834805176718565,-0.0007342257747881438,0.44232219150540336,0.8713128076522507,-0.007794667298491053,0.007503642977361577
ETHUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0,4062,8.334980246121322e-05,-0.0004356155802768824,0.4724273756770064,1.0248272393278672,-0.009915256404124783,0.010502011069859287
ETHUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0002,4062,-0.00011665019753878657,-0.0006356155802768824,0.4571639586410635,0.9663277941139499,-0.010115256404124784,0.010302011069859287
ETHUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0004,4062,-0.00031665019753878646,-0.0008356155802768824,0.4468242245199409,0.9113940888155103,-0.010315256404124782,0.010102011069859288
SOLUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0,4229,-5.2968835976051104e-05,-0.00037731103005911315,0.47883660439820286,0.9874666292069109,-0.012661437501900519,0.012819223670681492
SOLUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0002,4229,-0.00025296883597605103,-0.0005773110300591131,0.469851028611965,0.9415942342138661,-0.01286143750190052,0.012619223670681492
SOLUSDT,DOWN_CONTINUATION_SHORT,SHORT,0.0004,4229,-0.0004529688359760508,-0.0007773110300591131,0.4594466777015843,0.8979409144144145,-0.013061437501900518,0.012419223670681493
BNBUSDT,DOWN_REVERSAL_LONG,LONG,0.0,4146,0.00020772106865741798,0.0006044210684010842,0.5417269657501206,1.077506404438913,-0.008273138124563817,0.008587773987919767
BNBUSDT,DOWN_REVERSAL_LONG,LONG,0.0002,4146,7.721068657418151e-06,0.00040442106840108424,0.5274963820549927,1.0027843914157917,-0.008473138124563817,0.008387773987919766
BNBUSDT,DOWN_REVERSAL_LONG,LONG,0.0004,4146,-0.000192278931342582,0.0002044210684010842,0.5142305836951279,0.9329729503430555,-0.008673138124563816,0.008187773987919767
BTCUSDT,DOWN_REVERSAL_LONG,LONG,0.0,3979,4.382159913232126e-06,0.0003343375190043574,0.5260115606936416,1.0017457289746228,-0.007841665115451257,0.007449755827478871
