threshold,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,2024-01,BNBUSDT,0.0004,25,0.00042355972850291956,0.0011210089359276001,0.0004778270823434038,0.00038292075083280833,0.52,1.2400536933690953,-0.007782156828645819,-0.00635010134316218,0.005830964880184981,0.00604524257451398
2.5,2024-01,BNBUSDT,0.0006,25,0.0002235597285029197,0.0009210089359276001,0.0002778270823434041,0.00018292075083280851,0.52,1.120165140486708,-0.00798215682864582,-0.006550101343162179,0.005630964880184981,0.00584524257451398
2.5,2024-01,BTCUSDT,0.0004,46,-0.003156504945367039,-0.0016419841681044,-0.0023312541545363738,-0.0024964189081466315,0.391304347826087,0.29176729679460156,-0.01601151597445765,-0.0105559928207675,0.0038065742854422996,0.0069064056860797
2.5,2024-01,BTCUSDT,0.0006,46,-0.00335650494536704,-0.0018419841681044,-0.0025312541545363734,-0.002696418908146631,0.3695652173913043,0.26745993032524323,-0.01621151597445765,-0.0107559928207675,0.0036065742854423,0.0067064056860797
2.5,2024-01,ETHUSDT,0.0004,42,-0.00042703566722709446,-0.0007380949112837001,-0.0007284700232308546,-0.0007636258620122566,0.40476190476190477,0.8273466952451893,-0.010627043848495193,-0.00724621691690351,0.006455914409924769,0.008390741399253455
2.5,2024-01,ETHUSDT,0.0006,42,-0.0006270356672270942,-0.0009380949112837,-0.0009284700232308543,-0.0009636258620122568,0.40476190476190477,0.7581271495430394,-0.010827043848495194,-0.00744621691690351,0.006255914409924769,0.008190741399253455
2.5,2024-01,SOLUSDT,0.0004,38,-0.003036101311120989,-0.0029113915295257004,-0.0020938267751319604,-0.0022936485403147787,0.3684210526315789,0.499314661806264,-0.022934096312041158,-0.01357807859989406,0.010089780896913227,0.011566139754072452
2.5,2024-01,SOLUSDT,0.0006,38,-0.003236101311120988,-0.0031113915295257,-0.0022938267751319596,-0.002493648540314778,0.3684210526315789,0.4772224214176841,-0.023134096312041157,-0.013778078599894059,0.009889780896913227,0.011366139754072451
2.5,2024-02,BNBUSDT,0.0004,73,0.0007892697759899862,0.0002400901246894,0.0005419099835030477,0.0006779217726780548,0.5616438356164384,1.5540999796587336,-0.00555491205124772,-0.0046221227051239195,0.00538765825939578,0.010186854782604046
2.5,2024-02,BNBUSDT,0.0006,73,0.0005892697759899865,4.0090124689400085e-05,0.0003419099835030479,0.00047792177267805497,0.5205479452054794,1.3888219172470326,-0.00575491205124772,-0.004822122705123919,0.00518765825939578,0.009986854782604046
2.5,2024-02,BTCUSDT,0.0004,80,0.0007654273378668006,-6.305922700935003e-05,0.00043597505055487817,0.0006242254478332351,0.4875,1.363091095938966,-0.008467605932686898,-0.00735009126835119,0.010173805045445718,0.01310456397936379
2.5,2024-02,BTCUSDT,0.0006,80,0.0005654273378668006,-0.00026305922700934996,0.00023597505055487835,0.0004242254478332351,0.4625,1.2555662069410969,-0.008667605932686898,-0.0075500912683511895,0.009973805045445717,0.012904563979363789
2.5,2024-02,ETHUSDT,0.0004,87,-0.00026187174034378937,-0.0006282007188322,-0.00027665482201160975,-0.0001392224323372066,0.4482758620689655,0.8782472194473543,-0.00730171648354735,-0.00584466362107178,0.006033387541900201,0.009797569856392612
2.5,2024-02,ETHUSDT,0.0006,87,-0.00046187174034378935,-0.0008282007188322,-0.0004766548220116098,-0.00033922243233720653,0.41379310344827586,0.796189526262187,-0.00750171648354735,-0.0060446636210717795,0.005833387541900202,0.009597569856392612
2.5,2024-02,SOLUSDT,0.0004,68,0.001831973616505318,0.00111076177651915,0.0015937422427455873,0.0018338736871638236,0.5735294117647058,1.8512894806107476,-0.009150013313151939,-0.00704573290102436,0.011737566219276597,0.017640070600226057
2.5,2024-02,SOLUSDT,0.0006,68,0.001631973616505318,0.00091076177651915,0.0013937422427455872,0.0016338736871638238,0.5735294117647058,1.729441317874577,-0.00935001331315194,-0.00724573290102436,0.011537566219276596,0.01744007060022606
2.5,2024-03,BNBUSDT,0.0004,58,0.0007893129533507867,-0.0006533855980374896,0.0009367993292129859,0.0009749765027209267,0.46551724137931033,1.2206471318744003,-0.015181538984081408,-0.010146129578313809,0.014462025505846278,0.017998625076370744
2.5,2024-03,BNBUSDT,0.0006,58,0.0005893129533507866,-0.0008533855980374894,0.0007367993292129858,0.0007749765027209263,0.46551724137931033,1.159958560172046,-0.01538153898408141,-0.010346129578313809,0.014262025505846276,0.017798625076370745
2.5,2024-03,BTCUSDT,0.0004,56,-0.0002193975051917316,-0.0006207097248889001,-4.080591513104192e-05,0.00014413973653391098,0.42857142857142855,0.9342762079723336,-0.012469915058315049,-0.00881599745302805,0.012024247705453,0.016133204539731775
2.5,2024-03,BTCUSDT,0.0006,56,-0.00041939750519173167,-0.0008207097248889,-0.00024080591513104163,-5.586026346608931e-05,0.4107142857142857,0.8785698228539038,-0.01266991505831505,-0.00901599745302805,0.011824247705453001,0.015933204539731776
2.5,2024-03,ETHUSDT,0.0004,68,-0.00018207510048311762,-0.00050634860230125,-3.531443732581266e-05,8.143008690369174e-06,0.4852941176470588,0.9467072980516064,-0.01244594499357567,-0.010268556933403629,0.009667839515175691,0.013470554721552848
2.5,2024-03,ETHUSDT,0.0006,68,-0.0003820751004831177,-0.00070634860230125,-0.00023531443732581272,-0.00019185699130963089,0.47058823529411764,0.8915142873625999,-0.01264594499357567,-0.010468556933403629,0.00946783951517569,0.013270554721552846
2.5,2024-03,SOLUSDT,0.0004,61,0.0014737483905774395,0.0025100407863984,0.0018138860106726982,0.0018052000575987939,0.5901639344262295,1.2981017749498374,-0.0184926968855865,-0.0164790306735072,0.0164639818591107,0.0219438545277625
2.5,2024-03,SOLUSDT,0.0006,61,0.0012737483905774392,0.0023100407863984,0.0016138860106726983,0.0016052000575987933,0.5901639344262295,1.2534447831986215,-0.018692696885586498,-0.0166790306735072,0.0162639818591107,0.0217438545277625
2.5,2024-04,BNBUSDT,0.0004,53,-0.00011758783806457955,-0.00014344502026780005,-0.00019792643096599405,-0.00020234014376505107,0.49056603773584906,0.9472349172137882,-0.00848723573477378,-0.0066089916301952005,0.00650893045715498,0.008277347995672278
2.5,2024-04,BNBUSDT,0.0006,53,-0.0003175878380645791,-0.0003434450202678,-0.0003979264309659938,-0.00040234014376505086,0.4716981132075472,0.8638953591815481,-0.00868723573477378,-0.0068089916301952,0.0063089304571549805,0.008077347995672278
2.5,2024-04,BTCUSDT,0.0004,61,0.0003018640297189066,-0.0005294407154331001,-0.00015975601732533072,-5.060920683760632e-05,0.45901639344262296,1.1390046303021688,-0.0076717853012904,-0.006791961628322,0.0078568351401817,0.0095715917465568
2.5,2024-04,BTCUSDT,0.0006,61,0.00010186402971890698,-0.0007294407154331,-0.0003597560173253303,-0.00025060920683760607,0.4426229508196721,1.0446778542438602,-0.0078717853012904,-0.006991961628322,0.0076568351401817,0.0093715917465568
2.5,2024-04,ETHUSDT,0.0004,54,0.001406672556225677,-0.00018921884196655003,0.001071568395924245,0.001244160274783067,0.48148148148148145,1.6501494684941802,-0.007767389101474304,-0.00637198738552929,0.009673203092447511,0.014732795221575825
2.5,2024-04,ETHUSDT,0.0006,54,0.0012066725562256768,-0.00038921884196654996,0.0008715683959242451,0.001044160274783067,0.48148148148148145,1.5322026559330355,-0.007967389101474305,-0.0065719873855292895,0.009473203092447511,0.014532795221575827
2.5,2024-04,SOLUSDT,0.0004,50,0.0019341350645964278,0.0008976992036661,0.0018580813958996762,0.0020934531949464465,0.56,1.6203125164925927,-0.014096993923800285,-0.00963717670445338,0.013328961787918535,0.023556241489437888
2.5,2024-04,SOLUSDT,0.0006,50,0.001734135064596428,0.0006976992036661001,0.0016580813958996762,0.0018934531949464464,0.54,1.5404699877745567,-0.014296993923800284,-0.00983717670445338,0.013128961787918534,0.02335624148943789
