stop_loss_fraction,take_profit_r_multiple,policy,activation_r_multiple,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,break_even_exit_share
0.005,1.5,no_break_even,,development,0.0006,416,-0.0001707858370382416,-0.0014995101042399976,0.43990384615384615,0.9352411685331808,11,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.0
0.005,1.5,no_break_even,,development,0.001,416,-0.0005707858370382421,-0.0018995101042399978,0.43028846153846156,0.8006378516708108,11,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.0
0.005,1.5,no_break_even,,validation,0.0006,480,-0.0003251751043667962,-0.0016150555925399483,0.4166666666666667,0.876267443013796,10,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.0
0.005,1.5,no_break_even,,validation,0.001,480,-0.0007251751043667967,-0.0020150555925399485,0.4083333333333333,0.7467315434026502,10,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.0
0.005,1.5,no_break_even,,confirmation,0.0006,363,-0.0003025886236541133,-0.0012095836362954852,0.42699724517906334,0.877066463674632,10,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.0
0.005,1.5,no_break_even,,confirmation,0.001,363,-0.0007025886236541137,-0.0016095836362954854,0.3939393939393939,0.7394490754555448,10,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.0
0.005,1.5,break_even_0.75r,0.75,development,0.0006,416,-0.0003341655748286092,-6.602791230436722e-17,0.3269230769230769,0.850730524396656,11,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.22115384615384615
0.005,1.5,break_even_0.75r,0.75,development,0.001,416,-0.0007341655748286097,-0.0004000000000000661,0.3173076923076923,0.7074648668470789,11,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.22115384615384615
0.005,1.5,break_even_0.75r,0.75,validation,0.0006,480,-0.0004926331069471254,-0.0005917660233186289,0.3229166666666667,0.7907725402985443,16,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.2
0.005,1.5,break_even_0.75r,0.75,validation,0.001,480,-0.0008926331069471257,-0.000991766023318629,0.31875,0.6600888002996135,16,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.2
0.005,1.5,break_even_0.75r,0.75,confirmation,0.0006,363,-0.00029399142370035026,-0.00033951549882777984,0.34710743801652894,0.8643375018469687,10,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.18457300275482094
0.005,1.5,break_even_0.75r,0.75,confirmation,0.001,363,-0.0006939914237003507,-0.0007395154988277799,0.3305785123966942,0.7146598762274335,10,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.18457300275482094
0.005,1.5,break_even_1r,1.0,development,0.0006,416,-0.0002954592633892701,-0.0002913774770231908,0.3629807692307692,0.8746949276505835,11,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.13701923076923078
0.005,1.5,break_even_1r,1.0,development,0.001,416,-0.0006954592633892706,-0.0006913774770231909,0.35336538461538464,0.7339980633042147,11,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.13701923076923078
0.005,1.5,break_even_1r,1.0,validation,0.0006,480,-0.0004107025888728896,-0.0011438040971100231,0.37083333333333335,0.8367468530068715,11,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.09375
0.005,1.5,break_even_1r,1.0,validation,0.001,480,-0.0008107025888728901,-0.0015438040971100233,0.36666666666666664,0.7071285703300191,11,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.09375
0.005,1.5,break_even_1r,1.0,confirmation,0.0006,363,-0.000283080397641222,-0.0008482159478747192,0.38292011019283745,0.8770591242663134,10,-0.005600000000000004,0.006900000000000062,-0.005600000000000115,0.006900000000000062,0.09366391184573003
0.005,1.5,break_even_1r,1.0,confirmation,0.001,363,-0.0006830803976412223,-0.0012482159478747193,0.36363636363636365,0.7324918172411902,10,-0.0060000000000000045,0.006500000000000062,-0.0060000000000001155,0.006500000000000062,0.09366391184573003
0.005,2.0,no_break_even,,development,0.0006,416,-6.636739916944542e-05,-0.0019708659294354718,0.41346153846153844,0.9759732583818865,11,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.0
0.005,2.0,no_break_even,,development,0.001,416,-0.0004663673991694459,-0.002370865929435472,0.40384615384615385,0.8444720495137935,11,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.0
0.005,2.0,no_break_even,,validation,0.0006,480,-0.000247759699250307,-0.0019361849080568698,0.3875,0.9085550588995464,11,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.0
0.005,2.0,no_break_even,,validation,0.001,480,-0.0006477596992503076,-0.00233618490805687,0.37916666666666665,0.7808862843561611,11,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.0
0.005,2.0,no_break_even,,confirmation,0.0006,363,-9.27929097952379e-06,-0.0013568408821994053,0.418732782369146,0.9962802578915255,10,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.0
0.005,2.0,no_break_even,,confirmation,0.001,363,-0.0004092792909795243,-0.0017568408821994055,0.38292011019283745,0.8502838883780676,10,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.0
0.005,2.0,break_even_0.75r,0.75,development,0.0006,416,-0.00018101297418997476,-1.7860757566223154e-05,0.2956730769230769,0.919389708628307,12,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.25240384615384615
0.005,2.0,break_even_0.75r,0.75,development,0.001,416,-0.0005810129741899751,-0.00041786075756622323,0.2860576923076923,0.770262063177951,12,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.25240384615384615
0.005,2.0,break_even_0.75r,0.75,validation,0.0006,480,-0.0004647684114315436,-0.0006426955439560283,0.2875,0.8042264009614951,22,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.23541666666666666
0.005,2.0,break_even_0.75r,0.75,validation,0.001,480,-0.0008647684114315441,-0.0010426955439560284,0.2833333333333333,0.6748648637820632,22,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.23541666666666666
0.005,2.0,break_even_0.75r,0.75,confirmation,0.0006,363,-3.854911662722974e-05,-0.00033951549882777984,0.3305785123966942,0.9822114897182409,10,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.20110192837465565
0.005,2.0,break_even_0.75r,0.75,confirmation,0.001,363,-0.00043854911662723027,-0.0007395154988277799,0.3140495867768595,0.820175857523442,10,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.20110192837465565
0.005,2.0,break_even_1r,1.0,development,0.0006,416,-0.00013851435875978366,-0.00042587186517957173,0.3293269230769231,0.9414260634030164,12,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.17067307692307693
0.005,2.0,break_even_1r,1.0,development,0.001,416,-0.000538514358759784,-0.0008258718651795718,0.31971153846153844,0.7956154582041969,12,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.17067307692307693
0.005,2.0,break_even_1r,1.0,validation,0.0006,480,-0.00042033005981313855,-0.0012632337781390938,0.32916666666666666,0.8342034948060703,17,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.13541666666666666
0.005,2.0,break_even_1r,1.0,validation,0.001,480,-0.0008203300598131391,-0.001663233778139094,0.325,0.7074700732466006,17,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.13541666666666666
0.005,2.0,break_even_1r,1.0,confirmation,0.0006,363,3.8445151553658295e-06,-0.0008482159478747192,0.36639118457300274,1.0016696601527706,10,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009,0.11019283746556474
0.005,2.0,break_even_1r,1.0,confirmation,0.001,363,-0.0003961554848446347,-0.0012482159478747193,0.34710743801652894,0.8452581129542902,10,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008,0.11019283746556474
0.01,1.5,no_break_even,,development,0.0006,416,0.0006900525281495079,0.00020473045049533903,0.5072115384615384,1.2330456423995522,8,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.0
0.01,1.5,no_break_even,,development,0.001,416,0.0002900525281495074,-0.00019526954950466104,0.49278846153846156,1.0917778130220077,8,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.0
0.01,1.5,no_break_even,,validation,0.0006,480,6.152576172466504e-05,-0.0008021755571900984,0.44583333333333336,1.0204189003979092,11,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.0
0.01,1.5,no_break_even,,validation,0.001,480,-0.0003384742382753355,-0.0012021755571900985,0.4270833333333333,0.8955258487868267,11,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.0
0.01,1.5,no_break_even,,confirmation,0.0006,363,-0.00012476596335445978,-0.0008537265235124097,0.44352617079889806,0.9582362656819182,7,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.0
0.01,1.5,no_break_even,,confirmation,0.001,363,-0.0005247659633544607,-0.0012537265235124098,0.40771349862258954,0.8368570716951385,8,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.0
0.01,1.5,break_even_0.75r,0.75,development,0.0006,416,0.0006008840212747197,-6.602791230436722e-17,0.45913461538461536,1.21591003119715,11,-0.010600000000000009,0.013867009763140304,-0.01060000000000012,0.014399999999999902,0.09134615384615384
0.01,1.5,break_even_0.75r,0.75,development,0.001,416,0.00020088402127471923,-0.0004000000000000661,0.44711538461538464,1.0669265091099995,11,-0.01100000000000001,0.013467009763140303,-0.01100000000000012,0.013999999999999901,0.09134615384615384
0.01,1.5,break_even_0.75r,0.75,validation,0.0006,480,-1.0570333276147206e-05,-0.00012942045587112036,0.41458333333333336,0.9963214853820813,14,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.07916666666666666
0.01,1.5,break_even_0.75r,0.75,validation,0.001,480,-0.0004105703332761478,-0.0005294204558711204,0.4,0.8680330661311708,14,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.07916666666666666
0.01,1.5,break_even_0.75r,0.75,confirmation,0.0006,363,-0.00019127127324407084,-0.0006,0.4049586776859504,0.9330458734376061,8,-0.010600000000000009,0.013583935937879123,-0.01060000000000012,0.014399999999999902,0.07162534435261708
0.01,1.5,break_even_0.75r,0.75,confirmation,0.001,363,-0.0005912712732440716,-0.001,0.371900826446281,0.8093114031493484,8,-0.01100000000000001,0.013183935937879122,-0.01100000000000012,0.013999999999999901,0.07162534435261708
0.01,1.5,break_even_1r,1.0,development,0.0006,416,0.0006535741398852996,-6.602791230436722e-17,0.49278846153846156,1.2244047549333,8,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.026442307692307692
0.01,1.5,break_even_1r,1.0,development,0.001,416,0.0002535741398852992,-0.0004000000000000661,0.4807692307692308,1.0813376561492127,8,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.026442307692307692
0.01,1.5,break_even_1r,1.0,validation,0.0006,480,6.697121066069137e-05,-0.0006123789953207498,0.43125,1.022828171323093,11,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.029166666666666667
0.01,1.5,break_even_1r,1.0,validation,0.001,480,-0.0003330287893393092,-0.0010123789953207498,0.4166666666666667,0.8947666586910251,11,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.029166666666666667
0.01,1.5,break_even_1r,1.0,confirmation,0.0006,363,-0.00017465576930160778,-0.0006447613755634179,0.42424242424242425,0.9399619402077984,8,-0.010600000000000009,0.014399999999999902,-0.01060000000000012,0.014399999999999902,0.03581267217630854
0.01,1.5,break_even_1r,1.0,confirmation,0.001,363,-0.0005746557693016085,-0.001044761375563418,0.3884297520661157,0.8173362917370632,8,-0.01100000000000001,0.013999999999999901,-0.01100000000000012,0.013999999999999901,0.03581267217630854
0.01,2.0,no_break_even,,development,0.0006,416,0.000626250405587311,7.069736275870989e-05,0.5,1.2061756129899879,8,-0.010600000000000009,0.011032922483165609,-0.01060000000000012,0.019400000000000018,0.0
0.01,2.0,no_break_even,,development,0.001,416,0.00022625040558731056,-0.0003293026372412902,0.4855769230769231,1.0698367447958903,8,-0.01100000000000001,0.010632922483165608,-0.01100000000000012,0.019000000000000017,0.0
0.01,2.0,no_break_even,,validation,0.0006,480,3.901820984305744e-05,-0.0008433344392951952,0.4395833333333333,1.0127147663162803,11,-0.010600000000000009,0.010845752515132959,-0.01060000000000012,0.019400000000000018,0.0
