period,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak
2024-01,0.0004,27,-0.0039086646483069455,-0.0007668011604255,0.48148148148148145,0.407440905300036,6
2024-02,0.0004,52,0.0008793515417115255,-0.00092539252436495,0.4230769230769231,1.3348731219499095,5
2024-03,0.0004,47,-0.00035443808370558033,0.0009899220860575,0.5106382978723404,0.9297384731070657,6
2024-04,0.0004,39,0.003788053104704199,0.0022448194858637,0.6666666666666666,4.030392234147529,4
2024-05,0.0004,51,0.001013839852983451,-0.0013532888465203,0.45098039215686275,1.3418990737424923,5
2024-06,0.0004,36,0.001962035574799314,0.00044569282010475,0.5555555555555556,2.3225419076986586,4
2024-07,0.0004,49,0.001276431186167161,0.0018375940270225,0.6122448979591837,1.4705518730436875,5
2024-08,0.0004,68,-0.00010569961387178487,-0.0018985328889285001,0.4411764705882353,0.9804574330629566,10
2024-09,0.0004,36,0.002160392388849957,0.0015403710763049,0.5833333333333334,2.356064723199983,3
2024-10,0.0004,56,0.001157981406169893,0.0013658530902776,0.5714285714285714,1.498556380416142,4
2024-11,0.0004,48,0.0013150855226384626,0.00257758537832455,0.6666666666666666,1.3902660822737933,4
2024-12,0.0004,49,0.0021801752006392274,0.0006525564818557,0.5306122448979592,1.8573886156767165,6
2025-01,0.0004,55,0.0021670765752271073,0.0036509010749918,0.6363636363636364,1.6216815899441743,3
2025-02,0.0004,59,0.00132838970956208,-0.0018304787335495,0.423728813559322,1.3776891161901395,8
2025-03,0.0004,39,0.0006398943771835699,-0.0018754850158513,0.3333333333333333,1.1326692514182823,10
2025-04,0.0004,41,0.003455138732710015,0.0010099521991814,0.5365853658536586,1.9627233573527578,4
2025-05,0.0004,66,0.0003512502532089242,4.4210342458099976e-05,0.5,1.1502885744612052,6
2025-06,0.0004,44,0.0022768027450290997,0.00139905897525805,0.5909090909090909,2.393215935127837,4
2025-07,0.0004,48,-3.906187706420822e-05,-0.00104764832200715,0.4166666666666667,0.98255338683126,5
2025-08,0.0004,39,0.0032722328439924366,0.0010618504196926,0.5641025641025641,2.369470007235188,3
2025-09,0.0004,43,-0.0007449257318537606,-0.0008247100342801,0.4418604651162791,0.7079552538739806,7
2025-10,0.0004,65,-0.0019058479771045613,-0.0023020360843415003,0.38461538461538464,0.6144907054562705,9
2025-11,0.0004,66,0.0022030221754526457,0.0007856590191718501,0.5606060606060606,1.9872461089004456,7
2025-12,0.0004,70,-0.0011547052393011369,-0.0016984000196591,0.37142857142857144,0.6282826883925152,9
2026-01,0.0004,72,-3.117293542403725e-05,-0.00123373377067895,0.4722222222222222,0.9905206914672409,6
2026-02,0.0004,73,0.0017529477844445726,0.00030168404169999993,0.5068493150684932,1.5936446738102066,7
2026-03,0.0004,68,0.0005592823575062448,-0.00084408698780635,0.4264705882352941,1.1645951919753141,6
2026-04,0.0004,51,0.00011049071043315949,-0.0003957002377770632,0.45098039215686275,1.0438264337177876,6
2026-05,0.0004,61,0.0002481964326023983,-0.0006333722287047,0.45901639344262296,1.1583538687853716,9
2026-06,0.0004,96,0.00031941048921692826,-0.0015811710847029,0.4479166666666667,1.0918010326146983,7
2026-07,0.0004,63,-0.0009383968240318707,-0.0009427408412483,0.3492063492063492,0.6071569543654843,9
2024-01,0.0006,27,-0.004108664648306944,-0.0009668011604254999,0.48148148148148145,0.38676172633657635,6
2024-02,0.0006,52,0.0006793515417115258,-0.00112539252436495,0.4230769230769231,1.2478201138166913,5
2024-03,0.0006,47,-0.0005544380837055812,0.0007899220860575,0.5106382978723404,0.892183568484587,6
2024-04,0.0006,39,0.0035880531047041988,0.0020448194858637,0.6410256410256411,3.718264822013588,4
2024-05,0.0006,51,0.0008138398529834509,-0.0015532888465203,0.43137254901960786,1.264379510577107,6
2024-06,0.0006,36,0.0017620355747993135,0.00024569282010475005,0.5555555555555556,2.12058648557583,4
2024-07,0.0006,49,0.0010764311861671614,0.0016375940270225002,0.5918367346938775,1.3854607886945232,5
