event,samples,mean_signal_return,median_signal_return
BREAK_HIGH_24H,10984,0.0038075651415888667,0.002879728799964121
BREAK_HIGH_6H,26170,0.0030821537457038244,0.0022262407385025273
BREAK_LOW_24H,8899,-0.0047008281941000474,-0.0033974492996028394
BREAK_LOW_6H,23395,-0.0035732383808176455,-0.002601005722212557
