year,symbol,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
2024,BNBUSDT,933,-0.00021254507190516573,1.4502253174900103e-05,-0.00012805115694023363,-0.00019763431469949208,0.5016077170418006,0.9507929620645592,-0.011727837389254299,0.010740693357047621
2024,BTCUSDT,438,0.0007534826045854433,-0.00014507906588024996,0.00044060599213766684,0.0006539503267326006,0.4977168949771689,1.2587556673616849,-0.00870379352660914,0.009844479365846094
2024,ETHUSDT,362,0.0017713336475071873,0.0003509694934849001,0.0012428015289565992,0.0016861688525191929,0.5193370165745856,1.5715925550367293,-0.00946255900920674,0.01811144513390234
2024,SOLUSDT,325,0.004167371359818176,0.0010222479721899002,0.0028395498014075287,0.0035130565627450577,0.5415384615384615,1.885831756540922,-0.01432475209124372,0.025815918701673907
2025,BNBUSDT,650,-0.0007429174207540761,-0.00081068729920245,-0.0007819845427473006,-0.0007357143534984808,0.45692307692307693,0.8274288261397716,-0.01273964856992692,0.01191622037984614
2025,BTCUSDT,66,-0.0011719645645950955,0.0006267327922743001,-0.0007699863473923781,-0.0010772024181175286,0.5303030303030303,0.6729257509974041,-0.01077679358558595,0.00691049312395485
2025,ETHUSDT,112,-0.0026912482627573825,-0.001517140888292,-0.0028752793809121496,-0.0030768280244227383,0.4375,0.5754845245883912,-0.01841972611854496,0.010648628852121962
2025,SOLUSDT,251,-0.0027062210147758693,-0.0011945624560833,-0.0019477162514359913,-0.0023692185450881064,0.44621513944223107,0.619515976146811,-0.0233782121449049,0.0160337285902502
2026,BNBUSDT,265,-0.0005249862971245082,-0.00011955733006419994,-0.00046071437586713975,-0.0004111909120267462,0.49433962264150944,0.8112923427302505,-0.00833287306284854,0.007441043177842759
2026,BTCUSDT,54,0.0009748616836262944,-0.00123118084675435,0.00056286670205236,0.0008162551728981116,0.4444444444444444,1.3007869180131182,-0.007132537957313399,0.014866845833454784
2026,ETHUSDT,77,0.0015510023136348693,0.0002125151588649,0.001459332901523854,0.0018832192912830144,0.5194805194805194,1.3756665983312542,-0.01202037231735756,0.016857835214031665
2026,SOLUSDT,139,0.0034593266078389424,0.0017310023310023004,0.003208909521086504,0.0033752048250760822,0.5899280575539568,2.4626748029829812,-0.008230267762737161,0.017380549120431202
