event,symbol,samples
HIGH_FUNDING,BNBUSDT,527
HIGH_FUNDING,BTCUSDT,364
HIGH_FUNDING,ETHUSDT,349
HIGH_FUNDING,SOLUSDT,396
LOW_FUNDING,BNBUSDT,610
LOW_FUNDING,BTCUSDT,230
LOW_FUNDING,ETHUSDT,204
LOW_FUNDING,SOLUSDT,214
