cost,leverage_multiplier,ending_equity,total_return,max_drawdown_mtm,minimum_equity,max_concurrent_positions,max_gross_exposure_ratio,ruin_flag
0.0004,1.0,1.281437363070091,0.28143736307009104,-0.054621955491166996,0.9683427799668256,4,1.023759070854377,False
0.0004,2.0,1.6200760312155595,0.6200760312155595,-0.10645144299564968,0.9368151455962285,4,2.097346965411862,False
0.0004,3.0,2.021120327940121,1.021120327940121,-0.15566250422754113,0.9052293220935785,4,3.2244888218184835,False
0.0004,5.0,3.024164982152585,2.024164982152585,-0.24684213328286797,0.8420708812430826,4,5.656288931282216,False
0.0006,1.0,1.2032869535417718,0.20328695354177184,-0.056467151888679235,0.9677922577634445,4,1.0238243102960494,False
0.0006,2.0,1.4285583418989511,0.42855834189895115,-0.10994296967276362,0.9357566086905066,4,2.0976196644722953,False
0.0006,3.0,1.6736357047067265,0.6736357047067265,-0.1606165880328141,0.9038991791748479,4,3.225130750666009,False
0.0006,5.0,2.20861038762248,1.20861038762248,-0.25422440310772243,0.8407431970419377,4,5.658248017976028,False
0.0008,1.0,1.129897403673204,0.1298974036732039,-0.06477224785387758,0.9670984946015371,4,1.0238895564147206,False
0.0008,2.0,1.2596575200333462,0.2596575200333462,-0.12713954415958395,0.934391704127766,4,2.097892420696489,False
0.0008,3.0,1.385834989880606,0.38583498988060594,-0.18706603123314947,0.9018874940000531,4,3.2257728863508386,False
0.0008,5.0,1.6128066600454314,0.6128066600454314,-0.2994831160474555,0.8375176310897501,4,5.660208211697621,False
