split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,probability_positive,mean_ci_low,mean_ci_high,max_compounded_drawdown,mean_turnover,mean_price_component,mean_funding_component,mean_long_count,mean_short_count
development,0.0006,274,0.0005796327306105215,0.000807373246658508,0.5474452554744526,1.204167180800435,8,-0.009526978320142201,0.00963774386656039,-0.03270129325524818,0.03879337135560671,0.8825,-0.0003939662027864829,0.001482484413945032,0.11343233040502887,0.6331986444212722,0.0006907166560102433,7.887566792665973e-05,5.368613138686132,5.697080291970803
development,0.0014,274,0.00032635327284201264,0.0005837306504216386,0.5364963503649635,1.1103075918897618,8,-0.009870406891570774,0.009442023812819725,-0.033129864683819614,0.038545752307987666,0.7595,-0.0006545904391331885,0.0012697776019786817,0.1220192615655189,0.6331986444212722,0.0006907166560102433,7.887566792665973e-05,5.368613138686132,5.697080291970803
validation,0.0006,364,0.001360057697875704,0.000929219218182267,0.5467032967032966,1.5371413469576851,6,-0.008750594976294924,0.010779996335547368,-0.027075864078432276,0.06133947437006812,0.998,0.00040363437560915347,0.0023332132032105775,0.08224375961067476,0.6834249084249084,0.0014883016644507956,7.678350595238096e-05,5.274725274725275,5.686813186813187
validation,0.0014,364,0.0010866877345057408,0.0006110862307383379,0.532967032967033,1.4084566209180216,6,-0.008957229216735425,0.010551000694572257,-0.027155864078432276,0.061072807703401455,0.99,0.00017688937656329344,0.0020537613513140346,0.09286713948870196,0.6834249084249084,0.0014883016644507956,7.678350595238096e-05,5.274725274725275,5.686813186813187
confirmation,0.0006,211,0.0004505335292047959,0.000179696138466749,0.5165876777251185,1.1868164162706787,5,-0.007768413942242488,0.009449601172266285,-0.02397938456844781,0.022268910754865017,0.8505,-0.0004504328544226607,0.0013144356297900533,0.08476565583562912,0.7488151658767772,0.0005714611089272064,0.0001037169700406229,5.374407582938389,5.668246445497631
confirmation,0.0014,211,0.0001510074628540852,-0.00011616343599056827,0.4834123222748815,1.058789287886319,5,-0.008042699656528202,0.009374127048249222,-0.024246051235114478,0.02186891075486502,0.633,-0.0007287507763569357,0.0009925178489873052,0.10778532586470668,0.7488151658767772,0.0005714611089272064,0.0001037169700406229,5.374407582938389,5.668246445497631
