hold_funding_periods,min_trailing_annualized_funding,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_spot_return,mean_perp_short_return,mean_realized_funding
21,0.1,development,0.0015,80,0.0005140829070078394,0.00012227336101921105,0.5625,3.8126699944347737,9,-0.0005056394419052713,0.0020010505265962214,-0.002716388196506206,0.006345945925166239,0.0064717923139629985,0.021510766925497613,-0.021318123486481932,0.003835522375
21,0.1,development,0.0025,80,-0.00048591709299216073,-0.000877726638980789,0.25,0.3992394049015899,25,-0.0015056394419052713,0.0010010505265962213,-0.003716388196506206,0.005345945925166238,0.042024124823871634,0.021510766925497613,-0.021318123486481932,0.003835522375
21,0.1,validation,0.0015,5,-0.0003340744419982848,-0.00024318968442026937,0.0,0.0,5,-0.0005482699869409419,-0.00015747995264084357,-0.0005516554632154736,-0.00012272918355114544,0.0016693361933817208,-0.03640825459596051,0.03691838771196394,0.001821718
21,0.1,validation,0.0025,5,-0.001334074441998285,-0.0012431896844202694,0.0,0.0,5,-0.001548269986940942,-0.0011574799526408437,-0.0015516554632154737,-0.0011227291835511455,0.006652677820333741,-0.03640825459596051,0.03691838771196394,0.001821718
21,0.1,confirmation,0.0015,0,,,,,0,,,,,,,,
21,0.1,confirmation,0.0025,0,,,,,0,,,,,,,,
21,0.2,development,0.0015,36,0.0012340675106914502,0.0006309533699667912,0.8055555555555556,16.042085181678267,2,-0.0002856572944456996,0.00342915997921638,-0.0010113776702351319,0.00508099414252822,0.0013525363823370107,0.029324893067737223,-0.02912895804635433,0.0052722
21,0.2,development,0.0025,36,0.0002340675106914502,-0.0003690466300332088,0.4166666666666667,1.4685839279408404,11,-0.0012856572944456995,0.00242915997921638,-0.002011377670235132,0.004080994142528221,0.012863143844082381,0.029324893067737223,-0.02912895804635433,0.0052722
21,0.2,validation,0.0015,0,,,,,0,,,,,,,,
21,0.2,validation,0.0025,0,,,,,0,,,,,,,,
21,0.2,confirmation,0.0015,0,,,,,0,,,,,,,,
21,0.2,confirmation,0.0025,0,,,,,0,,,,,,,,
42,0.1,development,0.0015,46,0.0021218247820342854,0.0017330265512742822,0.9565217391304348,20.76110250098473,1,0.00032741534967417737,0.004258708200572932,-0.004517528620073484,0.009811926615438765,0.0045175286200734854,0.0347482461231247,-0.034373373950360483,0.006868777391304348
42,0.1,development,0.0025,46,0.0011218247820342852,0.0007330265512742822,0.5869565217391305,4.5518704204887275,8,-0.0006725846503258226,0.0032587082005729323,-0.005517528620073483,0.008811926615438764,0.009125376610789382,0.0347482461231247,-0.034373373950360483,0.006868777391304348
42,0.1,validation,0.0015,4,0.00020039577635786224,7.526762947338375e-05,0.75,6.923708235533808,1,-9.359698521875607e-05,0.0005944910554420634,-0.00013531778972892226,0.0007863656362136037,0.00013531778972897257,-0.06295740171944234,0.06358977827215806,0.002768415
42,0.1,validation,0.0025,4,-0.0007996042236421378,-0.0009247323705266163,0.0,0.0,4,-0.001093596985218756,-0.00040550894455793654,-0.0011353177897289223,-0.00021363436378639628,0.0031948310918193945,-0.06295740171944234,0.06358977827215806,0.002768415
42,0.1,confirmation,0.0015,0,,,,,0,,,,,,,,
42,0.1,confirmation,0.0025,0,,,,,0,,,,,,,,
42,0.2,development,0.0015,21,0.003712569362579552,0.002908050505839499,0.9523809523809523,132.90411708239876,1,0.0014826622405631163,0.008375841061623625,-0.0005910653764163216,0.00937588668484225,0.0005910653764162888,0.06720863550894769,-0.0667617444028362,0.00997824761904762
42,0.2,development,0.0025,21,0.00271256936257955,0.0019080505058394989,0.9047619047619048,29.591166844442498,2,0.0004826622405631163,0.007375841061623624,-0.0015910653764163217,0.00837588668484225,0.0019917235896735885,0.06720863550894769,-0.0667617444028362,0.00997824761904762
42,0.2,validation,0.0015,0,,,,,0,,,,,,,,
42,0.2,validation,0.0025,0,,,,,0,,,,,,,,
42,0.2,confirmation,0.0015,0,,,,,0,,,,,,,,
42,0.2,confirmation,0.0025,0,,,,,0,,,,,,,,
