event,symbol,samples
BUY_PRESSURE,BNBUSDT,62129
BUY_PRESSURE,BTCUSDT,62657
BUY_PRESSURE,ETHUSDT,62492
BUY_PRESSURE,SOLUSDT,62185
SELL_PRESSURE,BNBUSDT,64460
SELL_PRESSURE,BTCUSDT,64456
SELL_PRESSURE,ETHUSDT,63914
SELL_PRESSURE,SOLUSDT,64830
