variant,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q10,q90
CANDIDATE_FIRST_30M,0.0004,2969,0.00028891187172906403,-0.0004541805039424581,-1.2547219243892701e-05,0.0001233187508742956,0.47457056247894913,1.08746868516081,16,-0.009958768577023313,0.011050255604716171
CANDIDATE_FIRST_30M,0.0006,2969,8.891187172906353e-05,-0.000654180503942458,-0.00021254721924389376,-7.668124912570452e-05,0.4597507578309195,1.0260788841706738,16,-0.010158768577023313,0.01085025560471617
CANDIDATE_FIRST_30M,0.0008,2969,-0.0001110881282709364,-0.0008541805039424581,-0.0004125472192438928,-0.0002766812491257047,0.44728864937689455,0.9684271428300283,16,-0.010358768577023314,0.01065025560471617
CANDIDATE_FIRST_60M,0.0004,2716,0.00039488214729604926,-0.0004,8.057255279613246e-05,0.00023694433695178527,0.47717231222385864,1.1233379863037942,16,-0.009618821096394935,0.011034580128872774
CANDIDATE_FIRST_60M,0.0006,2716,0.0001948821472960487,-0.0006,-0.00011942744720386839,3.6944336951785095e-05,0.46170839469808544,1.0589222892632228,16,-0.009818821096394936,0.010834580128872773
CANDIDATE_FIRST_60M,0.0008,2716,-5.117852703951213e-06,-0.0008,-0.0003194274472038681,-0.000163055663048215,0.4488217967599411,0.998501892975297,16,-0.010018821096394936,0.010634580128872773
LEGACY_EVENT_FIRST_60M,0.0004,1677,0.0007391487801764121,-0.0002184046851592566,0.00045024433578883416,0.0005847277783630115,0.4877757901013715,1.2416875420668785,10,-0.008829497038174948,0.01117281558797348
LEGACY_EVENT_FIRST_60M,0.0006,1677,0.0005391487801764114,-0.0004184046851592565,0.0002502443357888336,0.0003847277783630114,0.4710793082886106,1.1704954685760276,11,-0.009029497038174948,0.01097281558797348
LEGACY_EVENT_FIRST_60M,0.0008,1677,0.00033914878017641165,-0.0006184046851592566,5.024433578883472e-05,0.00018472777836301123,0.4561717352415027,1.103739414747067,13,-0.009229497038174949,0.010772815587973479
