hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
HIGH_CONTINUE_LONG,5,78542,-0.0005769732204116626,-0.000616222922717062,-0.000604446516343841,0.32763362277507574,0.484085724530568,0,3,0.40059848713361634,0.4789875544667086,0,4,0.38007231430315336,0.47193618278710703,0,31,0.4470515603821607,False
HIGH_CONTINUE_LONG,15,78542,-0.0005783472837224699,-0.0006326540753476025,-0.0006113617099746849,0.39259249828117443,0.6488114125574667,0,3,0.5788944277239126,0.6261297584475334,0,4,0.5535536052901496,0.6475389304839441,0,31,0.6080729610429763,False
HIGH_CONTINUE_LONG,30,78542,-0.0005767427664964706,-0.0006286007445093768,-0.0006164040417974005,0.4239769804690484,0.7314471059729537,0,3,0.6629430495968857,0.7090203030308508,0,4,0.6493542486875987,0.7340377180916927,0,31,0.7328341336936367,False
HIGH_CONTINUE_LONG,60,78542,-0.0005588398255481901,-0.0005941632864124376,-0.0005798717735033741,0.44735300858139593,0.8036448012506534,0,3,0.7239570283353244,0.7818098088097066,0,4,0.7276091907991089,0.8102439070526112,2,31,0.8043700582611801,False
HIGH_REVERSE_SHORT,5,78542,-0.0006230267795883371,-0.0005837770772829377,-0.0005955534836561588,0.34354867459448446,0.4485953088203364,0,3,0.41019421455095706,0.45558122022622005,0,4,0.36592735360541095,0.42172454808298254,0,31,0.45371601317175153,False
HIGH_REVERSE_SHORT,15,78542,-0.0006216527162775298,-0.0005673459246523973,-0.0005886382900253149,0.41054467673346745,0.6250526768380487,0,3,0.5855291153283673,0.618994804951624,0,4,0.5572322888631395,0.5952226147633626,0,31,0.616022859455343,False
HIGH_REVERSE_SHORT,30,78542,-0.0006232572335035294,-0.0005713992554906233,-0.0005835959582026001,0.4334750833948715,0.7120678177126837,0,3,0.6868764347394732,0.7049493140438745,0,4,0.6521165185864872,0.6866305801096015,0,31,0.7074824597088301,False
HIGH_REVERSE_SHORT,60,78542,-0.00064116017445181,-0.0006058367135875631,-0.0006201282264966263,0.44737847266430697,0.777926133262747,0,3,0.7568791164118341,0.7869572397616093,0,4,0.7121345608549944,0.770943420581824,1,31,0.7752246735051053,False
LOW_CONTINUE_SHORT,5,72317,-0.0005923480321448738,-0.000625066323504945,-0.000608324042918425,0.323423261473789,0.4800221165739481,0,3,0.4078351443304655,0.46557516622760026,0,4,0.3791605971973695,0.46802312081479025,0,31,0.474115810570341,False
LOW_CONTINUE_SHORT,15,72317,-0.0006153495109793156,-0.0006694557994254633,-0.0006378841778178162,0.3828560366165632,0.6386083303838824,0,3,0.5924625668292453,0.6255750253464372,0,4,0.5423827166137828,0.6287319246816272,0,31,0.6141422960903785,False
LOW_CONTINUE_SHORT,30,72317,-0.0006130342004886428,-0.0006850292762611778,-0.0006447352777649961,0.41178422777493534,0.7246789337369018,0,3,0.6979283602418017,0.7223594656129779,0,4,0.6450713040989574,0.7131115390948763,1,31,0.6985763323290205,False
LOW_CONTINUE_SHORT,60,72317,-0.000585593546690612,-0.0007076035104694873,-0.0006596950347910457,0.429636185129361,0.8010151714019997,0,3,0.7863226144932867,0.7963683367341314,0,4,0.7434071599735887,0.7952043152774776,3,31,0.7877709304784788,False
LOW_REVERSE_LONG,5,72317,-0.0006076519678551256,-0.0005749336764950551,-0.0005916759570815746,0.3523099686104236,0.46063390868492393,0,3,0.41468500367247235,0.4604833854177682,0,4,0.3754210886942796,0.4403185812066618,0,31,0.45252581085722904,False
LOW_REVERSE_LONG,15,72317,-0.0005846504890206842,-0.0005305442005745374,-0.0005621158221821836,0.42359334596291326,0.6481752520134554,0,3,0.6047819592191114,0.6482212859004807,0,4,0.5781534008696434,0.6344898050227924,0,31,0.6480458435418771,False
LOW_REVERSE_LONG,30,72317,-0.0005869657995113572,-0.0005149707237388234,-0.0005552647222350038,0.4495208595489304,0.731972987142257,0,3,0.6816546548597888,0.7312526189782507,0,4,0.6730376909007791,0.7257599127280517,1,31,0.7322273950657752,False
LOW_REVERSE_LONG,60,72317,-0.0006144064533093881,-0.0004923964895305135,-0.0005403049652089547,0.4678567971569617,0.7905932044995788,0,3,0.6948309916320499,0.8008307888150195,0,4,0.7384651200326593,0.7795258804727874,2,31,0.7677372612911957,False
