era,strategy,cost,windows,total_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_window_return,pooled_mean_return,pooled_median_return,pooled_win_rate,pooled_profit_factor
DEV_2026_FEB_JUL,ATR_080_100,0.0,24,563,19,0.7916666666666666,0.7916666666666666,1.43960330824688,0.0007851970540889458,0.0005954517452437514,-0.0003599712023037993,0.4564831261101243,1.312136824356704
DEV_2026_FEB_JUL,ATR_080_100,0.0002,24,563,18,0.75,0.75,1.326349249540763,0.0005851970540889455,0.00039545174524375154,-0.0005599712023037993,0.44760213143872113,1.1960549582581732
DEV_2026_FEB_JUL,ATR_080_100,0.0004,24,563,15,0.625,0.625,1.2199079820728065,0.0003851970540889457,0.00019545174524375128,-0.0007599712023037993,0.42984014209591476,1.0918156241812174
DEV_2026_FEB_JUL,ATR_080_100,0.0006,24,563,14,0.5833333333333334,0.5833333333333334,1.1018962641771544,0.0001851970540889459,-4.5482547562485024e-06,-0.0009599712023037993,0.40142095914742454,0.9979750105938575
DEV_2026_FEB_JUL,ATR_080_100,0.0008,24,563,12,0.5,0.5,0.9941364974817946,-1.4802945911054452e-05,-0.00020454825475624863,-0.0011599712023037992,0.3836589698046181,0.913626712645471
DEV_2026_FEB_JUL,BASE_SHORT,0.0,24,2090,10,0.4166666666666667,0.4166666666666667,0.9832988029388501,-4.7475097114478245e-05,-0.00014299664677838914,-0.0006085057084742052,0.430622009569378,0.943019595489277
DEV_2026_FEB_JUL,BASE_SHORT,0.0002,24,2090,8,0.3333333333333333,0.3333333333333333,0.91369673273477,-0.0002474750971144779,-0.00034299664677838896,-0.0008085057084742051,0.41196172248803825,0.8693340331742823
DEV_2026_FEB_JUL,BASE_SHORT,0.0004,24,2090,3,0.125,0.125,0.83436135277245,-0.000447475097114478,-0.0005429966467783891,-0.0010085057084742051,0.3985645933014354,0.8020952906633745
DEV_2026_FEB_JUL,BASE_SHORT,0.0006,24,2090,0,0.0,0.0,0.754354734042411,-0.0006474750971144785,-0.0007429966467783891,-0.001208505708474205,0.3799043062200957,0.7407475182796271
DEV_2026_FEB_JUL,BASE_SHORT,0.0008,24,2090,0,0.0,0.0,0.7028789287563915,-0.0008474750971144784,-0.0009429966467783892,-0.001408505708474205,0.36555023923444974,0.6847684742841347
