hold_funding_periods,min_trailing_annualized_funding,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
21,0.1,development,BNBUSDT,11,0.00023854822027016126,0.00039504399353234806,0.7272727272727273,1.788842682480452,1,-0.00055611038909221,0.0011195426784258006,-0.002716388196506206,0.001614887865963901
21,0.1,development,BTCUSDT,24,0.00035948639095185857,-4.020647748598585e-05,0.4583333333333333,3.021190535629251,7,-0.00044323657393057717,0.0012660607427567323,-0.000820084238052737,0.004154925977253563
21,0.1,development,ETHUSDT,23,0.0005060531140786123,-2.739009479302908e-05,0.4782608695652174,5.66340262085658,7,-0.0003343769605099053,0.0017236261727483497,-0.0005000315588845003,0.003847987129683568
21,0.1,development,SOLUSDT,22,0.0008288957786819398,0.0002792972756289646,0.6818181818181818,5.024641470999506,2,-0.0007036743644567983,0.002400317512326545,-0.0015044485408980941,0.006345945925166239
21,0.1,validation,BNBUSDT,0,,,,,0,,,,
21,0.1,validation,BTCUSDT,2,-0.0003931907284747069,-0.0003931907284747069,0.0,0.0,2,-0.0005131915637182569,-0.00027318989323115686,-0.0005431917725291444,-0.00024318968442026937
21,0.1,validation,ETHUSDT,2,-0.00038063078474543223,-0.00038063078474543223,0.0,0.0,2,-0.0005174505275214653,-0.0002438110419693991,-0.0005516554632154736,-0.00020960610627539082
21,0.1,validation,SOLUSDT,1,-0.00012272918355114544,-0.00012272918355114544,0.0,0.0,1,-0.00012272918355114544,-0.00012272918355114544,-0.00012272918355114544,-0.00012272918355114544
21,0.1,confirmation,BNBUSDT,0,,,,,0,,,,
21,0.1,confirmation,BTCUSDT,0,,,,,0,,,,
21,0.1,confirmation,ETHUSDT,0,,,,,0,,,,
21,0.1,confirmation,SOLUSDT,0,,,,,0,,,,
21,0.2,development,BNBUSDT,7,0.0001371161443839298,7.267272115630196e-06,0.5714285714285714,1.4896806818154593,1,-0.0008211545222777952,0.0010641063541273693,-0.0010113776702351319,0.0017567575677842873
