excluded_symbol,profit_factor,max_drawdown
ADAUSDT,1.4186726437723707,0.08684124007757188
ARBUSDT,1.220609973323979,0.13097753793242972
AVAXUSDT,1.3078385632325573,0.14974152641045202
BNBUSDT,1.3259001271443451,0.1075481016129961
BTCUSDT,1.3322066550021903,0.121961793755479
DOGEUSDT,1.3610185769366316,0.09529623151311972
ETCUSDT,1.2093066211606398,0.11304033046038975
ETHUSDT,1.2771674131290294,0.12254099488571235
FILUSDT,1.229533678700242,0.11661525708322984
INJUSDT,1.2448560089674905,0.16268604132074316
LINKUSDT,1.3372138867285022,0.12998943485727577
LTCUSDT,1.3515894468820826,0.10395585587130407
NEARUSDT,1.3692819507349323,0.10865752380717031
OPUSDT,1.285052042433759,0.15806879273890828
SOLUSDT,1.3631506895235834,0.13517652197091612
XRPUSDT,1.352987168955595,0.1123286010285719
