event,symbol,samples
HIGH_PREMIUM,BNBUSDT,35544
HIGH_PREMIUM,BTCUSDT,29854
HIGH_PREMIUM,ETHUSDT,28812
HIGH_PREMIUM,SOLUSDT,30763
LOW_PREMIUM,BNBUSDT,33644
LOW_PREMIUM,BTCUSDT,31634
LOW_PREMIUM,ETHUSDT,31135
LOW_PREMIUM,SOLUSDT,30435
