feature,pre_samples,july_samples,pre_mean,july_mean,pre_median,july_median,delta_median,pre_q25,pre_q75,robust_shift,abs_robust_shift
range_percent,433,103,0.0032455895906008704,0.0024468987205665147,0.002654356607039861,0.0021279327866746797,-0.0005264238203651814,0.0017360951637349928,0.004059314460550355,-0.2265923931876754,0.2265923931876754
volume_ratio,433,103,2.267106205730078,2.4220611824776443,1.9503153362205272,2.1536310362971705,0.20331570007664324,1.6904896912174734,2.597822879544989,0.22408052818106916,0.22408052818106916
atr_percent,433,103,0.002324871597037006,0.0017536517678158055,0.001953283915069382,0.0016440077216041415,-0.0003092761934652404,0.0013681771303562836,0.0028718514198003164,-0.2056803096497659,0.2056803096497659
volume_ratio_change,433,103,1.2182904093728502,1.327555164765026,1.1278078158252294,1.3001458582949832,0.17233804246975382,0.7019595155715711,1.6946036922386671,0.1736151246546334,0.1736151246546334
return_6,433,103,-0.0038351957982737995,-0.003179613874617293,-0.0032587176537232088,-0.0028723775416080732,0.0003863401121151355,-0.0050890585241730735,-0.0017657578119018025,0.1162519270942219,0.1162519270942219
adx_change,433,103,1.1514847028357516,1.2948645757280635,1.2473173407715805,1.341531571682701,0.09421423091112047,0.8122931883786819,1.6611662696463654,0.11098741730674691,0.11098741730674691
return_3,433,103,-0.0026171458458730556,-0.002161242179056069,-0.002134705929295322,-0.0018579867136421235,0.00027671921565319835,-0.003978779840848823,-0.0010804880481400936,0.09547665847494877,0.09547665847494877
trend_velocity,433,103,-2.9895787299485503,-2.2696982298080974,-0.1432173570537998,-0.07479587042610092,0.06842148662769887,-0.8325503748869778,-0.020662005147272566,0.08427450026120596,0.08427450026120596
return_1,433,103,-0.00131893068244266,-0.0011292425181378472,-0.0010440617521467743,-0.0008727091385113406,0.00017135261363543375,-0.002224071170277453,-0.00017763997222364214,0.08373240878969831,0.08373240878969831
rsi,433,103,33.73009297709079,32.8132778023537,33.47805698092432,32.93600253785904,-0.5420544430652825,30.206681090754074,36.949928956811185,-0.08038477212053466,0.08038477212053466
close_position,433,103,0.40909553859958736,0.40799380361793997,0.36842105263154745,0.39534883720930003,0.026927784577752578,0.17157214644647292,0.5988023952096091,0.06302874072168473,0.06302874072168473
body_size,433,103,-0.0013273373007261005,-0.0011355043186072765,-0.0010359561252572893,-0.0009212950776519239,0.00011466104760536546,-0.0022402688322598232,-0.00018486036593766812,0.0557850419924241,0.0557850419924241
atr_expansion,433,103,0.9394784465848901,0.9478757869100992,0.9482141214907233,0.9512349871355248,0.003020865644801529,0.9106570545311266,0.9725753685665424,0.04878791827364139,0.04878791827364139
trend_acceleration,433,103,-1.0798297888934034,-1.052780830419136,-0.03287263366065929,-0.019076797938168966,0.013795835722490324,-0.2972442015852721,0.013308578281225891,0.04442348166524527,0.04442348166524527
adx,433,103,30.907269477397797,29.683981216414566,28.13459053958247,27.917413923461584,-0.21717661612088435,26.339368572443014,33.20980334669258,-0.03161031626919211,0.03161031626919211
macd_hist,433,103,-5.193388326542371,-3.868718685327831,-0.21543550692324276,-0.16330048415146736,0.0521350227717754,-1.7012341004917548,-0.049983960186228193,0.03157306182704032,0.03157306182704032
di_strength,433,103,-0.45809722398071967,-0.46517220700879386,-0.4733954470318067,-0.4775773725751869,-0.004181925543380205,-0.5365687012993301,-0.3988185426097692,-0.03035877114889395,0.03035877114889395
ema_9_21_distance,433,103,-0.0017542626866772861,-0.0014781236972708563,-0.0013607602989548398,-0.0013289164835376234,3.184381541721632e-05,-0.002298790372291401,-0.0008727018198305395,0.022329479724289603,0.022329479724289603
return_12,433,103,-0.0055846267789623075,-0.0043348565422058815,-0.004338184113828691,-0.004335285075219741,2.899038608950022e-06,-0.007005496620425156,-0.002475413516515923,0.0006399526327559639,0.0006399526327559639
