year,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,median_holding_bars
2024,RECLAIM_FAILURE,0.0,2438,-8.166012252721095e-05,-0.0012080768846791656,0.324856439704676,0.9599933761955324,-0.005461754113697036,0.006687675109272445,5.0
2024,RECLAIM_FAILURE,0.0002,2438,-0.00028166012252721085,-0.0014080768846791657,0.31829368334700575,0.8706107811568784,-0.005661754113697036,0.006487675109272445,5.0
2024,RECLAIM_FAILURE,0.0004,2438,-0.00048166012252721105,-0.0016080768846791656,0.3121410992616899,0.791825194569827,-0.005861754113697036,0.006287675109272445,5.0
2024,STOP_REJECTION_LOW,0.0,2438,-2.8127180489508786e-05,-0.0012564805629846076,0.27850697292863,0.9834988000789245,-0.003991392898550405,0.006027062307132194,3.0
2024,STOP_REJECTION_LOW,0.0002,2438,-0.0002281271804895087,-0.0014564805629846077,0.2748154224774405,0.876629250462455,-0.004191392898550405,0.005827062307132195,3.0
2024,STOP_REJECTION_LOW,0.0004,2438,-0.0004281271804895089,-0.0016564805629846076,0.2694831829368335,0.7853564259968454,-0.004391392898550405,0.005627062307132194,3.0
2024,TIME_ONLY,0.0,2438,0.00042062436291852057,0.0008544027062666881,0.5709598031173093,1.1650718810749308,-0.007918100128351934,0.008355674230978999,12.0
2024,TIME_ONLY,0.0002,2438,0.00022062436291852083,0.0006544027062666881,0.5525020508613617,1.0837064578210835,-0.008118100128351935,0.008155674230978998,12.0
2024,TIME_ONLY,0.0004,2438,2.062436291852067e-05,0.0004544027062666881,0.5385561936013126,1.0075644248313078,-0.008318100128351933,0.007955674230979,12.0
2025,RECLAIM_FAILURE,0.0,2629,0.0002000857732204722,-0.0009983361064892504,0.304678585013313,1.1133550227112983,-0.004477009792857323,0.0066934721979492046,5.0
2025,RECLAIM_FAILURE,0.0002,2629,8.577322047232103e-08,-0.0011983361064892505,0.29897299353366297,1.0000450304261475,-0.0046770097928573225,0.006493472197949205,5.0
2025,RECLAIM_FAILURE,0.0004,2629,-0.00019991422677952787,-0.0013983361064892504,0.2902244199315329,0.9022790047299775,-0.004877009792857323,0.006293472197949204,5.0
2025,STOP_REJECTION_LOW,0.0,2629,0.0002406245335179419,-0.0010886346158689442,0.2685431723088627,1.1616609603482004,-0.0035776480476473306,0.006122851420701331,3.0
2025,STOP_REJECTION_LOW,0.0002,2629,4.0624533517941905e-05,-0.0012886346158689443,0.26435907189045266,1.0248432536824732,-0.0037776480476473307,0.005922851420701331,3.0
2025,STOP_REJECTION_LOW,0.0004,2629,-0.00015937546648205815,-0.0014886346158689441,0.25561049828832255,0.9106235379276773,-0.003977648047647331,0.005722851420701331,3.0
2025,TIME_ONLY,0.0,2629,0.0002612677749941798,0.0004716352982954142,0.5526816279954355,1.1011913095071324,-0.008385840659805544,0.00787392927319517,12.0
2025,TIME_ONLY,0.0002,2629,6.126777499417998e-05,0.0002716352982954142,0.5329022441993153,1.0229162270507073,-0.008585840659805544,0.007673929273195169,12.0
2025,TIME_ONLY,0.0004,2629,-0.0001387322250058202,7.163529829541415e-05,0.5081780144541651,0.949902975433378,-0.008785840659805543,0.0074739292731951686,12.0
2026,RECLAIM_FAILURE,0.0,1478,0.00032072768342350337,-0.0008522145402753978,0.35926928281461434,1.2087190640781114,-0.0037863980504168277,0.005953279849217119,7.0
2026,RECLAIM_FAILURE,0.0002,1478,0.00012072768342350343,-0.0010522145402753979,0.35047361299052776,1.0724814296201246,-0.003986398050416827,0.005753279849217119,7.0
2026,RECLAIM_FAILURE,0.0004,1478,-7.927231657649673e-05,-0.0012522145402753977,0.3416779431664411,0.9558765550955447,-0.004186398050416828,0.005553279849217119,7.0
2026,STOP_REJECTION_LOW,0.0,1478,0.0003087640018180537,-0.0009165917675528767,0.31055480378890393,1.2421820658846672,-0.002995019885579497,0.00500332228247553,4.0
2026,STOP_REJECTION_LOW,0.0002,1478,0.00010876400181805363,-0.0011165917675528768,0.3037889039242219,1.076943731226854,-0.0031950198855794972,0.0048033222824755304,4.0
2026,STOP_REJECTION_LOW,0.0004,1478,-9.123599818194643e-05,-0.0013165917675528767,0.2963464140730717,0.9412767745001656,-0.0033950198855794973,0.00460332228247553,4.0
2026,TIME_ONLY,0.0,1478,0.0006214901407562948,0.000677718495361912,0.5703653585926928,1.3159915282496497,-0.00598627318387952,0.006950644103073199,12.0
2026,TIME_ONLY,0.0002,1478,0.0004214901407562949,0.000477718495361912,0.5487144790257105,1.2051361640930052,-0.00618627318387952,0.006750644103073199,12.0
2026,TIME_ONLY,0.0004,1478,0.00022149014075629477,0.00027771849536191196,0.5324763193504736,1.1031693326061758,-0.006386273183879521,0.006550644103073199,12.0
