variant,symbol,period,year,open_time,return_z,prior_extreme_count_60m,future_return,net_4bps,net_5bps,net_8bps
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-08 18:35:00+00:00,4.914914135535294,2.0,0.004967330906098466,0.004567330906098466,0.004367330906098466,0.004167330906098466
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,11.332817139481627,0.0,-0.04186517612634566,-0.04226517612634566,-0.04246517612634566,-0.04266517612634566
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-10 17:40:00+00:00,4.249580258399511,1.0,-0.0005097236261220051,-0.000909723626122005,-0.001109723626122005,-0.001309723626122005
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-10 20:55:00+00:00,4.62059599031994,2.0,-0.007371145866304718,-0.007771145866304718,-0.007971145866304718,-0.008171145866304718
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-10 22:50:00+00:00,4.089997790181722,2.0,0.005725390091473992,0.005325390091473992,0.005125390091473992,0.0049253900914739916
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-11 14:40:00+00:00,4.6843162160645875,4.0,-0.010436526401179314,-0.010836526401179313,-0.011036526401179313,-0.011236526401179314
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-12 16:55:00+00:00,4.00643745866404,1.0,-0.0038592617701758147,-0.004259261770175815,-0.004459261770175815,-0.004659261770175815
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,4.595812698250505,0.0,0.0076151121605667615,0.007215112160566761,0.007015112160566762,0.006815112160566761
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-16 14:50:00+00:00,4.320467265875543,1.0,0.006358786441774011,0.005958786441774011,0.005758786441774012,0.005558786441774011
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-19 17:35:00+00:00,4.270031925919285,3.0,0.002277027833316625,0.001877027833316625,0.0016770278333166251,0.001477027833316625
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-23 15:00:00+00:00,4.124074106868016,1.0,0.0004847869246040748,8.478692460407478e-05,-0.00011521307539592515,-0.00031521307539592524
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-29 15:45:00+00:00,4.18440883989154,0.0,0.0112265807616585,0.0108265807616585,0.0106265807616585,0.0104265807616585
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-29 16:15:00+00:00,4.364080795926956,3.0,0.009253156450564903,0.008853156450564904,0.008653156450564903,0.008453156450564903
CANONICAL_ALL,BTCUSDT,2024-01,2024,2024-01-31 15:30:00+00:00,5.34618654880569,3.0,0.0038064906790669095,0.0034064906790669093,0.0032064906790669097,0.0030064906790669096
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-01 12:10:00+00:00,4.011351849862264,0.0,0.0003866040510411839,-1.3395948958816125e-05,-0.00021339594895881605,-0.00041339594895881614
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-07 14:45:00+00:00,4.056631705556331,0.0,-0.005584487329732046,-0.0059844873297320465,-0.006184487329732046,-0.006384487329732047
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-07 17:35:00+00:00,4.100743867604209,2.0,-0.004952183837518831,-0.005352183837518831,-0.005552183837518831,-0.005752183837518831
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-07 20:15:00+00:00,7.011088084624495,1.0,0.0021323362791751954,0.0017323362791751954,0.0015323362791751956,0.0013323362791751955
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-09 02:15:00+00:00,4.5682703401460465,1.0,0.006607649995842957,0.006207649995842957,0.006007649995842957,0.0058076499958429565
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-09 12:05:00+00:00,5.606108573358849,2.0,-0.0033090403572331173,-0.0037090403572331175,-0.003909040357233117,-0.004109040357233118
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-09 14:30:00+00:00,5.670733517700196,2.0,-0.007777476462063837,-0.008177476462063836,-0.008377476462063837,-0.008577476462063837
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-09 15:05:00+00:00,4.140780939676875,2.0,0.002884754381340171,0.002484754381340171,0.002284754381340171,0.002084754381340171
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-09 18:20:00+00:00,6.444693618700384,1.0,-0.00802927443536372,-0.00842927443536372,-0.00862927443536372,-0.00882927443536372
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-12 00:25:00+00:00,4.177614915036467,1.0,-0.002122492882259186,-0.002522492882259186,-0.002722492882259186,-0.002922492882259186
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-12 15:30:00+00:00,6.261088219487733,4.0,0.008779743227431025,0.008379743227431026,0.008179743227431025,0.007979743227431025
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-13 14:25:00+00:00,4.399175767838238,0.0,-0.00538032902702823,-0.00578032902702823,-0.00598032902702823,-0.00618032902702823
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-14 08:50:00+00:00,4.721150705294708,0.0,0.020942606390072616,0.020542606390072615,0.020342606390072616,0.020142606390072617
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-15 00:20:00+00:00,5.746937218302389,0.0,-0.00023100464109326868,-0.0006310046410932686,-0.0008310046410932686,-0.0010310046410932686
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-15 14:30:00+00:00,4.792575702487819,0.0,-0.007284536219123061,-0.007684536219123061,-0.007884536219123061,-0.008084536219123062
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-17 21:20:00+00:00,4.9046693846065486,0.0,-0.002615663161138815,-0.003015663161138815,-0.0032156631611388146,-0.0034156631611388147
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-18 22:10:00+00:00,4.299192292131485,0.0,-0.0016860921322079392,-0.0020860921322079394,-0.002286092132207939,-0.002486092132207939
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-20 13:30:00+00:00,6.04804546889952,1.0,0.0017174736834122406,0.0013174736834122406,0.0011174736834122408,0.0009174736834122406
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-22 20:25:00+00:00,4.749245614943756,0.0,0.001353107045588109,0.0009531070455881089,0.000753107045588109,0.0005531070455881089
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-22 22:30:00+00:00,4.00372458696991,0.0,-0.0008197804076367499,-0.0012197804076367498,-0.0014197804076367497,-0.0016197804076367498
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-26 15:15:00+00:00,4.6964285731863935,2.0,0.0067542738150834225,0.006354273815083422,0.006154273815083423,0.005954273815083422
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-26 16:05:00+00:00,9.598854356144525,5.0,-0.0034628473131146364,-0.0038628473131146366,-0.004062847313114636,-0.004262847313114637
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-26 19:10:00+00:00,5.341293636362384,0.0,0.012839145937858953,0.012439145937858954,0.012239145937858954,0.012039145937858953
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-26 20:05:00+00:00,4.873545016127566,4.0,-0.007948032097822022,-0.008348032097822021,-0.008548032097822022,-0.008748032097822022
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-27 01:40:00+00:00,5.6857267356347325,0.0,0.023432787425708534,0.023032787425708533,0.022832787425708535,0.022632787425708536
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-28 07:50:00+00:00,4.949351288162989,2.0,0.006174596045652958,0.005774596045652958,0.005574596045652958,0.005374596045652958
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-28 13:05:00+00:00,5.232645594200582,0.0,0.007857302699037838,0.007457302699037838,0.007257302699037838,0.007057302699037838
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-28 16:55:00+00:00,4.2163840909329595,5.0,-0.008575056532683312,-0.008975056532683311,-0.009175056532683312,-0.009375056532683312
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-28 17:40:00+00:00,6.78205370622375,4.0,-0.01000973145734263,-0.01040973145734263,-0.01060973145734263,-0.01080973145734263
CANONICAL_ALL,BTCUSDT,2024-02,2024,2024-02-28 20:30:00+00:00,4.172225857725042,0.0,-0.003993779366024741,-0.004393779366024741,-0.004593779366024741,-0.0047937793660247415
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-04 00:50:00+00:00,6.3843511864482565,1.0,0.003667253932470693,0.003267253932470693,0.0030672539324706934,0.0028672539324706933
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-04 08:05:00+00:00,4.261994498469114,0.0,0.00693458589998408,0.00653458589998408,0.0063345858999840805,0.00613458589998408
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-05 08:10:00+00:00,5.830463780131927,0.0,0.004279918070998923,0.0038799180709989224,0.003679918070998923,0.0034799180709989227
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-05 14:40:00+00:00,4.130200903811412,1.0,-0.000760860517180828,-0.001160860517180828,-0.0013608605171808279,-0.001560860517180828
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-05 16:20:00+00:00,4.327618534035228,1.0,-0.006714559096017703,-0.007114559096017703,-0.0073145590960177025,-0.007514559096017703
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-05 17:35:00+00:00,4.059690699596788,1.0,0.0031039277452378222,0.002703927745237822,0.0025039277452378224,0.0023039277452378223
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-05 20:00:00+00:00,6.645384179225281,2.0,-0.0002207484331659959,-0.0006207484331659959,-0.0008207484331659959,-0.0010207484331659958
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-05 22:25:00+00:00,4.210184927369608,1.0,0.003659352707493735,0.0032593527074937347,0.003059352707493735,0.002859352707493735
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-08 15:25:00+00:00,5.025022342730397,1.0,-0.029670778648278606,-0.030070778648278607,-0.030270778648278606,-0.030470778648278605
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-11 07:10:00+00:00,4.275150294973826,1.0,0.0023085481310372025,0.0019085481310372025,0.0017085481310372026,0.0015085481310372025
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-14 16:45:00+00:00,4.1898686532644085,3.0,-0.0021243739682912377,-0.002524373968291238,-0.0027243739682912375,-0.0029243739682912376
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-14 18:55:00+00:00,4.669192978698229,0.0,-0.006850740524282695,-0.007250740524282695,-0.0074507405242826945,-0.007650740524282695
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-14 21:10:00+00:00,4.120228610542897,1.0,-0.00037850060292743404,-0.000778500602927434,-0.0009785006029274339,-0.001178500602927434
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-15 02:55:00+00:00,4.410859569180618,0.0,-0.02309067873303161,-0.023490678733031612,-0.02369067873303161,-0.02389067873303161
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-15 03:30:00+00:00,4.752807521902276,2.0,-0.0037676397044033028,-0.004167639704403303,-0.004367639704403303,-0.004567639704403303
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-15 09:15:00+00:00,5.75546549996984,0.0,0.011655690455923517,0.011255690455923518,0.011055690455923518,0.010855690455923517
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-15 18:40:00+00:00,4.3453697516536245,0.0,0.014655762021707375,0.014255762021707375,0.014055762021707375,0.013855762021707374
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-16 23:20:00+00:00,5.4695577127123025,0.0,-0.00835256604919521,-0.008752566049195208,-0.008952566049195209,-0.00915256604919521
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-17 00:00:00+00:00,4.762431804430795,1.0,-0.004779560377338621,-0.005179560377338621,-0.005379560377338621,-0.005579560377338621
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-20 17:15:00+00:00,5.238675215935135,2.0,-0.008823165066584093,-0.009223165066584093,-0.009423165066584093,-0.009623165066584094
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-21 20:10:00+00:00,4.018070087251333,0.0,-0.0019610536275677104,-0.0023610536275677106,-0.0025610536275677102,-0.0027610536275677103
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-27 13:00:00+00:00,4.636742131957911,0.0,0.005983142263946473,0.0055831422639464725,0.005383142263946473,0.005183142263946472
CANONICAL_ALL,BTCUSDT,2024-03,2024,2024-03-31 18:35:00+00:00,4.456298736724329,0.0,-0.0007853082616398055,-0.0011853082616398055,-0.0013853082616398053,-0.0015853082616398054
CANONICAL_ALL,BTCUSDT,2024-04,2024,2024-04-02 16:45:00+00:00,4.6729750625212,3.0,-0.000797771112768797,-0.001197771112768797,-0.0013977711127687968,-0.001597771112768797
CANONICAL_ALL,BTCUSDT,2024-04,2024,2024-04-03 14:00:00+00:00,6.054906854331354,0.0,0.003793373258298649,0.003393373258298649,0.003193373258298649,0.002993373258298649
CANONICAL_ALL,BTCUSDT,2024-04,2024,2024-04-04 17:50:00+00:00,4.611388568269781,1.0,0.0013975356255244709,0.000997535625524471,0.0007975356255244709,0.0005975356255244708
CANONICAL_ALL,BTCUSDT,2024-04,2024,2024-04-05 08:20:00+00:00,4.206317307294139,0.0,-0.007643980605487322,-0.008043980605487321,-0.008243980605487321,-0.008443980605487322
CANONICAL_ALL,BTCUSDT,2024-04,2024,2024-04-08 08:50:00+00:00,5.927242230345433,2.0,0.002644819485863703,0.002244819485863703,0.0020448194858637032,0.0018448194858637031
CANONICAL_ALL,BTCUSDT,2024-04,2024,2024-04-10 13:50:00+00:00,5.352329763610591,0.0,0.009521700295243019,0.00912170029524302,0.008921700295243019,0.008721700295243018
