variant,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
CANONICAL_ALL,BNBUSDT,0.0004,692,0.0004526080498840896,3.219253574044989e-05,0.00027918883344921886,0.0004203810647429904,0.5028901734104047,1.1696638404887556,-0.007949534734109785,0.009810904009767024
CANONICAL_ALL,BNBUSDT,0.0006,692,0.00025260804988408957,-0.00016780746425955004,7.918883344921809e-05,0.00022038106474299034,0.48554913294797686,1.0912400890804874,-0.008149534734109785,0.009610904009767024
CANONICAL_ALL,BNBUSDT,0.0008,692,5.2608049884089266e-05,-0.0003678074642595501,-0.00012081116655078158,2.038106474298998e-05,0.47398843930635837,1.0183138294773748,-0.008349534734109786,0.009410904009767023
CANONICAL_ALL,BTCUSDT,0.0004,770,0.00019865777368299918,-0.00026492801207160765,7.06384626724854e-05,0.00016846040077128326,0.4792207792207792,1.0767176816772208,-0.007631277903893851,0.008659145650021951
CANONICAL_ALL,BTCUSDT,0.0006,770,-1.3422263170011343e-06,-0.0004649280120716076,-0.00012936153732751623,-3.1539599228716666e-05,0.4662337662337662,0.9995019332187345,-0.007831277903893851,0.00845914565002195
CANONICAL_ALL,BTCUSDT,0.0008,770,-0.00020134222631700113,-0.0006649280120716077,-0.000329361537327516,-0.00023153959922871703,0.45194805194805193,0.9281607050201178,-0.008031277903893852,0.00825914565002195
CANONICAL_ALL,ETHUSDT,0.0004,804,0.00030752971846898365,-0.0007935949625373247,-0.00011467316868052481,0.00011389174729513191,0.4502487562189055,1.0896004383574762,-0.010000717626482856,0.011944060519191438
CANONICAL_ALL,ETHUSDT,0.0006,804,0.00010752971846898332,-0.0009935949625373246,-0.0003146731686805252,-8.610825270486811e-05,0.44029850746268656,1.0303514776559815,-0.010200717626482857,0.011744060519191437
CANONICAL_ALL,ETHUSDT,0.0008,804,-9.247028153101668e-05,-0.0011935949625373247,-0.0005146731686805236,-0.00028610825270486835,0.43034825870646765,0.9747036581465657,-0.010400717626482857,0.011544060519191436
CANONICAL_ALL,SOLUSDT,0.0004,703,0.00020534025214627108,-0.000707087581378096,-0.0003358027494155245,-0.00023688819635008315,0.4694167852062589,1.045008489193512,-0.01334395805064612,0.014060068512275549
CANONICAL_ALL,SOLUSDT,0.0006,703,5.340252146270154e-06,-0.0009070875813780959,-0.0005358027494155252,-0.00043688819635008357,0.44950213371266,1.0011435307324672,-0.013543958050646121,0.013860068512275548
CANONICAL_ALL,SOLUSDT,0.0008,703,-0.00019465974785372954,-0.001107087581378096,-0.0007358027494155239,-0.0006368881963500836,0.4352773826458037,0.9592895238899193,-0.013743958050646122,0.013660068512275548
FRESH_60,BNBUSDT,0.0004,283,0.0016710532351537364,0.000569688863625029,0.0012895557329085892,0.0014580055619435493,0.558303886925795,1.9280272763185047,-0.005671599851608122,0.010274317485986553
FRESH_60,BNBUSDT,0.0006,283,0.001471053235153736,0.000369688863625029,0.001089555732908587,0.0012580055619435492,0.5335689045936396,1.7778686497846528,-0.005871599851608122,0.010074317485986552
FRESH_60,BNBUSDT,0.0008,283,0.0012710532351537362,0.0001696888636250289,0.0008895557329085863,0.0010580055619435489,0.5159010600706714,1.639869640374447,-0.006071599851608122,0.009874317485986552
FRESH_60,BTCUSDT,0.0004,334,0.0005389389315415053,-3.3963058715213653e-05,0.0005305555084926448,0.0006360455316715381,0.4940119760479042,1.2209866200011397,-0.006643473326359284,0.009487741370213396
FRESH_60,BTCUSDT,0.0006,334,0.0003389389315415044,-0.00023396305871521358,0.00033055550849264226,0.0004360455316715378,0.47604790419161674,1.1333519696017857,-0.0068434733263592834,0.009287741370213395
FRESH_60,BTCUSDT,0.0008,334,0.00013893893154150446,-0.00043396305871521367,0.00013055550849264296,0.0002360455316715374,0.46107784431137727,1.0524755711878613,-0.007043473326359284,0.009087741370213395
FRESH_60,ETHUSDT,0.0004,344,0.000727291502996718,-0.0006130308057531338,0.0003232629685425882,0.0005543493211117812,0.4680232558139535,1.2338306568153228,-0.00926639806422944,0.011618323381337003
FRESH_60,ETHUSDT,0.0006,344,0.0005272915029967175,-0.0008130308057531338,0.00012326296854258553,0.0003543493211117809,0.45348837209302323,1.1638556310562103,-0.00946639806422944,0.011418323381337003
FRESH_60,ETHUSDT,0.0008,344,0.0003272915029967176,-0.0010130308057531338,-7.673703145741322e-05,0.0001543493211117808,0.4418604651162791,1.0983395005361989,-0.009666398064229441,0.011218323381337002
FRESH_60,SOLUSDT,0.0004,298,0.0003895494433557464,-0.0005841807147843766,-7.057277210974982e-05,4.2334158636194545e-05,0.47315436241610737,1.1009740442551386,-0.011888840093943209,0.011521787449081482
FRESH_60,SOLUSDT,0.0006,298,0.0001895494433557457,-0.0007841807147843765,-0.0002705727721097537,-0.00015766584136380578,0.44966442953020136,1.0477990416613365,-0.012088840093943209,0.011321787449081482
FRESH_60,SOLUSDT,0.0008,298,-1.0450556644254023e-05,-0.0009841807147843765,-0.000470572772109751,-0.0003576658413638059,0.4429530201342282,0.9974364094990353,-0.01228884009394321,0.011121787449081481
LEGACY_REFERENCE,BNBUSDT,0.0004,386,0.0014215895403419897,0.00040527449576728303,0.0010454702299115203,0.001261496975897887,0.538860103626943,1.694878021590109,-0.006814444135148134,0.010220390133341929
LEGACY_REFERENCE,BNBUSDT,0.0006,386,0.0012215895403419892,0.0002052744957672831,0.0008454702299115185,0.001061496975897887,0.5207253886010362,1.5709400777940628,-0.007014444135148134,0.010020390133341928
LEGACY_REFERENCE,BNBUSDT,0.0008,386,0.0010215895403419895,5.274495767283011e-06,0.0006454702299115187,0.0008614969758978868,0.5025906735751295,1.4566302674674922,-0.007214444135148134,0.009820390133341928
LEGACY_REFERENCE,BTCUSDT,0.0004,447,0.00042779470178280933,-0.00017932566569194252,0.0003738665093333543,0.00045019610111237806,0.4854586129753915,1.1671330024479682,-0.007266748861765993,0.009257196662816995
LEGACY_REFERENCE,BTCUSDT,0.0006,447,0.00022779470178280883,-0.00037932566569194245,0.00017386650933335263,0.000250196101112378,0.4697986577181208,1.0855088452144555,-0.007466748861765992,0.009057196662816994
LEGACY_REFERENCE,BTCUSDT,0.0008,447,2.7794701782808845e-05,-0.0005793256656919425,-2.6133490666646e-05,5.019610111237761e-05,0.4541387024608501,1.010030326056052,-0.007666748861765993,0.008857196662816993
LEGACY_REFERENCE,ETHUSDT,0.0004,453,0.0006735701339199925,-0.0007560345990676339,0.0002170002546942811,0.0004092119775282588,0.45695364238410596,1.2008639198211295,-0.009743166929684754,0.012220888613859683
LEGACY_REFERENCE,ETHUSDT,0.0006,453,0.0004735701339199917,-0.0009560345990676339,1.700025469427922e-05,0.00020921197752825834,0.445916114790287,1.1367530539772925,-0.009943166929684754,0.012020888613859682
LEGACY_REFERENCE,ETHUSDT,0.0008,453,0.00027357013391999196,-0.0011560345990676338,-0.0001829997453057194,9.211977528258289e-06,0.4282560706401766,1.0765218461082229,-0.010143166929684755,0.011820888613859682
LEGACY_REFERENCE,SOLUSDT,0.0004,391,0.0004973591801052757,-0.0006333722287047868,0.00013947673916550504,0.00020188795458010925,0.47570332480818417,1.116041919170245,-0.012542471667566212,0.013956236147491375
LEGACY_REFERENCE,SOLUSDT,0.0006,391,0.00029735918010527463,-0.0008333722287047867,-6.052326083449683e-05,1.8879545801094068e-06,0.45268542199488493,1.0676888550237356,-0.012742471667566212,0.013756236147491375
LEGACY_REFERENCE,SOLUSDT,0.0008,391,9.735918010527523e-05,-0.0010333722287047867,-0.0002605232608344943,-0.00019811204541989085,0.44501278772378516,1.0216197731582448,-0.012942471667566213,0.013556236147491374
NOT_FRESH_60,BNBUSDT,0.0004,409,-0.0003904726039821941,-0.0008080337307883486,-0.0004595388334213009,-0.0003407309491050898,0.46454767726161367,0.880501599138078,-0.008755104544936708,0.009006455384822098
NOT_FRESH_60,BNBUSDT,0.0006,409,-0.0005904726039821944,-0.0010080337307883484,-0.000659538833421302,-0.00054073094910509,0.45232273838630804,0.825084576812365,-0.008955104544936709,0.008806455384822097
NOT_FRESH_60,BNBUSDT,0.0008,409,-0.000790472603982194,-0.0012080337307883485,-0.000859538833421301,-0.0007407309491050902,0.4449877750611247,0.773227299842399,-0.00915510454493671,0.008606455384822097
NOT_FRESH_60,BTCUSDT,0.0004,436,-6.201632430952589e-05,-0.00048778086506983087,-0.000278801460124924,-0.00014852092992427316,0.46788990825688076,0.9770725526369635,-0.008263563502949866,0.007757837867294404
NOT_FRESH_60,BTCUSDT,0.0006,436,-0.00026201632430952624,-0.0006877808650698308,-0.0004788014601249254,-0.0003485209299242733,0.45871559633027525,0.9068293872051368,-0.008463563502949866,0.007557837867294404
NOT_FRESH_60,BTCUSDT,0.0008,436,-0.0004620163243095264,-0.0008877808650698309,-0.0006788014601249242,-0.0005485209299242735,0.44495412844036697,0.8418512967355136,-0.008663563502949867,0.007357837867294404
NOT_FRESH_60,ETHUSDT,0.0004,460,-6.379094308278413e-06,-0.0009767408242564053,-0.00045228048237053696,-0.00023407906681024353,0.4369565217391304,0.9982632279154978,-0.010613766440205761,0.011938372741704865
NOT_FRESH_60,ETHUSDT,0.0006,460,-0.00020637909430827882,-0.0011767408242564052,-0.0006522804823705399,-0.00043407906681024384,0.43043478260869567,0.9454846233476721,-0.010813766440205761,0.011738372741704865
NOT_FRESH_60,ETHUSDT,0.0008,460,-0.00040637909430827853,-0.0013767408242564053,-0.0008522804823705382,-0.0006340790668102437,0.4217391304347826,0.8958067665157738,-0.011013766440205762,0.011538372741704864
