minutes,semester,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
60,2024-H1,1327,0.0017066099691830702,0.0018841539726248,0.0017911025243220458,0.0016643997979212863,0.6239638281838734,1.5178953630237622,-0.01088626378774396,0.013905541352245752
60,2024-H2,1746,0.001064006521453952,0.0013796448025567,0.0012996938280862038,0.0012753785221809347,0.5778923253150057,1.3168153968539236,-0.0101882938199877,0.012623355336904951
60,2025-H1,2082,-0.00019417076752735604,0.00014817162045895006,-6.312299517023224e-05,-0.00011624834645351995,0.5115273775216138,0.9479621682889489,-0.011884595384262158,0.010510840220937711
60,2025-H2,1712,1.0523806640762573e-05,5.613084979030008e-05,-0.00024125670283423696,-0.0002981019700515936,0.5046728971962616,1.0029914041393537,-0.010889998616490669,0.009886215474335892
60,2026-H1,1777,-0.00012463239367894413,0.000412909204543,-0.0001868715973345417,-0.0003313186621138419,0.5256049521665729,0.9673830138932352,-0.012608983853417018,0.009914717449718564
60,2026-H2,255,-0.0002208477938868125,0.00015650950035180002,-2.9153153587559595e-05,-0.00015664537598271335,0.5294117647058824,0.8899924878976659,-0.006404774433333539,0.005437058628737718
120,2024-H1,1327,0.0021196602369228665,0.0019429612914424002,0.001981895472782353,0.002045803978737903,0.5900527505651846,1.545135500613325,-0.01279742105011902,0.016914686353288404
120,2024-H2,1746,0.0012670863627099174,0.0018078686411984002,0.0015675334275220367,0.0014327928038047996,0.588774341351661,1.3017048206913835,-0.0128478965920992,0.014758120711073849
120,2025-H1,2082,-0.00029298839572784117,0.00027549133791740006,-0.00010844527595868499,-0.0002610719842733011,0.516330451488953,0.9417759127766677,-0.01685541187180361,0.014649857347420522
120,2025-H2,1712,-0.0007435351870525661,0.00029554731952975005,-0.00042243058100820786,-0.0006407235417770008,0.5157710280373832,0.8601117081219575,-0.01578452093627525,0.01296355701296035
120,2026-H1,1777,8.913380194909802e-05,0.00023824999193990007,-0.00023477733580761796,-0.0003136681694891814,0.5143500281373101,1.019069926121799,-0.015385343126733899,0.013652965239483672
120,2026-H2,255,0.00034192468707452213,0.00040825508853730016,0.0002670062224154169,0.00024039734032957913,0.5254901960784314,1.1510516017353474,-0.007717847335841779,0.008880405049078619
