symbol,strategy,samples,mean_return,median_return,win_rate,profit_factor,q90,q95
BNBUSDT,BASE,589,4.451111819481929e-05,-0.0003860597339696,0.4685908319185059,1.0225797373245664,0.006220089348043926,0.008847927609270102
BNBUSDT,RIDGE_SELECTED,186,3.985158790898253e-05,-0.00038632741265825,0.46774193548387094,1.0213377487661712,0.0064352341477201,0.008080040056542774
BTCUSDT,BASE,540,-0.00017534769368750762,-0.00040558036929145,0.4388888888888889,0.9058664622207684,0.00549815780893427,0.009095330650755441
BTCUSDT,RIDGE_SELECTED,165,-3.669908906111712e-05,0.0,0.49696969696969695,0.9774388728190042,0.005273889595457259,0.007130399123723516
ETHUSDT,BASE,572,9.09430992511395e-06,-0.000656965292061,0.4493006993006993,1.0034515837793225,0.008408568972709057,0.01365726415318603
ETHUSDT,RIDGE_SELECTED,142,0.0007798843050384728,-7.883742392250648e-05,0.49295774647887325,1.374415402742263,0.008029083498816751,0.012734901250603902
SOLUSDT,BASE,617,-0.00010609527488129703,-0.0005644788833581,0.46029173419773095,0.9650110031495839,0.009115504370731118,0.013395514859190407
SOLUSDT,RIDGE_SELECTED,126,0.0008797144544865158,0.00016942443955455,0.5158730158730159,1.3635603867498831,0.0096441798346469,0.017249958666239552
