cost,leverage_multiplier,ending_equity,total_return,max_drawdown_all,max_drawdown_intrabar_only,minimum_equity,minimum_intrabar_equity,max_concurrent_positions,max_gross_exposure_ratio,worst_unrealized_pnl,ruin_flag
0.0004,1.0,1.2811083406280157,0.2811083406280157,-0.05676685825623329,-0.05604643739628146,0.95582585176422,0.95582585176422,4,1.0271507194204281,-0.05670457018014852,False
0.0004,2.0,1.6192425555198524,0.6192425555198524,-0.11136131476372846,-0.11059550081138037,0.911657678956709,0.911657678956709,4,2.1116312915546778,-0.13699833691691632,False
0.0004,3.0,2.019557749398873,1.019557749398873,-0.1647194947934767,-0.16364252037575155,0.8674954812689861,0.8674954812689861,4,3.258375253569049,-0.24638657767344435,False
0.0006,1.0,1.2030081205626078,0.20300812056260775,-0.06267474587319688,-0.06031069862427507,0.9557523512589999,0.9557523512589999,4,1.0272163623890382,-0.05459581963127036,False
0.0006,2.0,1.4278950202775056,0.4278950202775056,-0.1240193086379735,-0.11861801264368776,0.911513676678199,0.911513676678199,4,2.1119074689115904,-0.12700198003222435,False
0.0006,3.0,1.672467816790567,0.6724678167905671,-0.18390096367682274,-0.174940388862299,0.8672839755626705,0.8672839755626705,4,3.2590298570692213,-0.21992612532360467,False
0.0008,1.0,1.1296638660685983,0.12966386606859825,-0.07478117295341458,-0.06989271230771055,0.9556788544778545,0.9556788544778545,4,1.0272820121003352,-0.05256535290195058,False
0.0008,2.0,1.259135792958071,0.2591357929580711,-0.14650227348946598,-0.13772217558849076,0.9113696891922849,0.9113696891922849,4,2.112183704592804,-0.1177337995095961,False
0.0008,3.0,1.3849723323895624,0.3849723323895624,-0.2151198776695652,-0.20332117678563266,0.8670725029063657,0.8670725029063657,4,3.2596846739123,-0.19630276589173803,False
