hypothesis,event,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,0.0,16416,1.6413163231538343e-05,0.00032241173749575,0.5301535087719298,1.0067840312693692,-0.0073567709720759,0.0071520231876008
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,0.0002,16416,-0.00018358683676846164,0.00012241173749575,0.5114522417153996,0.9270103762098132,-0.0075567709720759,0.0069520231876008
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,0.0004,16416,-0.00038358683676846165,-7.758826250425002e-05,0.4928728070175439,0.8533030159057083,-0.0077567709720759,0.0067520231876008
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,0.0,16416,0.00011416596249029795,0.0004386837762203,0.5284478557504874,1.0359446276354767,-0.00977967731930975,0.0096148161948452
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,0.0002,16416,-8.5834037509702e-05,0.00023868377622029998,0.5153508771929824,0.9737654153709127,-0.009979677319309752,0.009414816194845198
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,0.0004,16416,-0.00028583403750970205,3.868377622029997e-05,0.5031067251461988,0.9151818581872299,-0.01017967731930975,0.0092148161948452
UP_CONTINUATION_LONG,EXTREME_UP,6,30,0.0,16638,0.0001547963241291341,-8.596893735662858e-05,0.4912249068397644,1.068185383016685,-0.0068626839171067695,0.0074553515373910915
UP_CONTINUATION_LONG,EXTREME_UP,6,30,0.0002,16638,-4.5203675870865866e-05,-0.00028596893735662857,0.47505709820891934,0.9809558236641354,-0.007062683917106769,0.007255351537391092
UP_CONTINUATION_LONG,EXTREME_UP,6,30,0.0004,16638,-0.0002452036758708659,-0.0004859689373566286,0.45666546459911045,0.9011441638679514,-0.00726268391710677,0.007055351537391091
UP_CONTINUATION_LONG,EXTREME_UP,12,60,0.0,16638,0.00014878437615730285,7.251962557686119e-06,0.5002404135112394,1.0477019154972453,-0.00942303802782832,0.009875263180002869
UP_CONTINUATION_LONG,EXTREME_UP,12,60,0.0002,16638,-5.121562384269712e-05,-0.0001927480374423139,0.4860560163481188,0.9840961308958477,-0.00962303802782832,0.009675263180002868
UP_CONTINUATION_LONG,EXTREME_UP,12,60,0.0004,16638,-0.0002512156238426971,-0.0003927480374423139,0.47127058540689987,0.9244393083709865,-0.009823038027828319,0.00947526318000287
