hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
SPOT_BUY_CATCHUP_LONG,30,110021,-0.0006221963365782316,-0.0006307491754699458,-0.0006318776044178518,0.40023268285145563,0.6346253470089598,0,3,0.5861855156165469,0.6351798015181969,0,4,0.5458746077910559,0.6239350171957823,0,31,0.6325585253113705,False
SPOT_BUY_CATCHUP_LONG,60,110021,-0.0006146681745828,-0.0006196393928670409,-0.0006257735624541961,0.43052689941011263,0.7301817441668284,0,3,0.7029136234893479,0.7171032183480225,0,4,0.653398698857617,0.7382533424933844,0,31,0.7269143341628876,False
SPOT_BUY_CATCHUP_LONG,120,110021,-0.0006292945518027441,-0.0006019596292507938,-0.0006159813003917849,0.4549676879868389,0.7999947594207758,0,3,0.7503009316757397,0.7998978974395236,0,4,0.7474326441199179,0.8023766541220855,2,31,0.7868683771493321,False
SPOT_BUY_REVERSE_SHORT,30,110021,-0.0005778036634217683,-0.0005692508245300545,-0.0005681223955821479,0.407549467828869,0.6551793528907204,0,3,0.6184108075708273,0.6610064122600214,0,4,0.5627574990557693,0.626857062500158,0,31,0.6458635688271082,False
SPOT_BUY_REVERSE_SHORT,60,110021,-0.0005853318254172,-0.0005803606071329597,-0.0005742264375458038,0.4308359313222021,0.7413353945871517,0,3,0.6967492167762269,0.7445647254441093,0,4,0.6608592678074888,0.7064967238328197,0,31,0.7446323850730452,False
SPOT_BUY_REVERSE_SHORT,120,110021,-0.0005707054481972566,-0.0005980403707492067,-0.0005840186996082155,0.4471146417502113,0.8172109358169379,0,3,0.8122730608773147,0.8128048695495973,0,4,0.7487522383374164,0.7959980716023187,3,31,0.8061581081136496,False
SPOT_SELL_CATCHUP_SHORT,30,109923,-0.0006407278253697267,-0.0006705942788857318,-0.0006514372147584758,0.3893907553469247,0.630067082157736,0,3,0.628301969463008,0.628443155913891,0,4,0.5222736329920957,0.6221022641569651,0,31,0.6028923519030217,False
SPOT_SELL_CATCHUP_SHORT,60,109923,-0.0006539695295161687,-0.0006980239552288642,-0.0006735767405207969,0.41482674235601286,0.7174396430781202,0,3,0.7055177197719619,0.710147173143471,0,4,0.6373021759499137,0.7198025194261279,1,31,0.6990587719435101,False
SPOT_SELL_CATCHUP_SHORT,120,109923,-0.0006774129719772972,-0.0007388294966785032,-0.0007042278000028358,0.43245726554042374,0.7857653184357809,0,3,0.7559347703823195,0.7843130388016316,0,4,0.7059336658396554,0.7929029760185725,4,31,0.7410640792525106,False
SPOT_SELL_REVERSE_LONG,30,109923,-0.0005592721746302733,-0.0005294057211142685,-0.0005485627852415244,0.41983024480772907,0.6656965685454653,0,3,0.5728138245111327,0.6766599117821153,0,4,0.5605615090375383,0.6451250779387779,0,31,0.653453574082468,False
SPOT_SELL_REVERSE_LONG,60,109923,-0.0005460304704838313,-0.0005019760447711365,-0.0005264232594792031,0.4468673526013664,0.7562614757647027,0,3,0.6489137733551391,0.7677037721818118,0,4,0.65885296236216,0.7325208689481802,1,31,0.746833727824341,False
SPOT_SELL_REVERSE_LONG,120,109923,-0.0005225870280227033,-0.00046117050332149836,-0.0004957721999971651,0.46775470101798533,0.8293675149409107,0,3,0.7134648014634334,0.8374428261713924,0,4,0.7645873380782632,0.8124168598621069,3,31,0.8430440691991237,False
DISAGREE_BUY_CATCHUP_LONG,30,71437,-0.0006137405753418544,-0.0006217791359336865,-0.0006244203457193401,0.403544381762952,0.6383013159859782,0,3,0.5965941224264205,0.635569807733973,0,4,0.5490268854811545,0.6207187869229749,0,31,0.6287114115679653,False
DISAGREE_BUY_CATCHUP_LONG,60,71437,-0.0006093897041333825,-0.0006053113850347132,-0.0006152129384915599,0.43284292453490486,0.7324354310893991,0,3,0.7057078257064399,0.7237629860284394,0,4,0.6530197098288569,0.7370790559846967,0,31,0.7299773600351395,False
DISAGREE_BUY_CATCHUP_LONG,120,71437,-0.0006285070885979314,-0.0005997290933351372,-0.0006161975172924512,0.45703207021571457,0.8005634389699035,0,3,0.7519618734250301,0.8071222286712735,0,4,0.7456297528711427,0.7997276943608587,2,31,0.7936826006563177,False
DISAGREE_BUY_REVERSE_SHORT,30,71437,-0.0005862594246581452,-0.0005782208640663142,-0.0005755796542806598,0.4058821059115024,0.6512997448291962,0,3,0.6084835450695127,0.661774504653292,0,4,0.5702839267884012,0.6252995975519033,0,31,0.6554398856450118,False
DISAGREE_BUY_REVERSE_SHORT,60,71437,-0.0005906102958666174,-0.0005946886149652877,-0.0005847870615084402,0.42924534904881223,0.7398659633576294,0,3,0.6948450581574571,0.7473085409459772,0,4,0.6599622797022737,0.7106248957452301,0,31,0.7422490275266963,False
DISAGREE_BUY_REVERSE_SHORT,120,71437,-0.0005714929114020689,-0.0006002709066648638,-0.0005838024827075497,0.44584739000797907,0.8174202788873984,0,3,0.8127311033811947,0.8184824802136486,0,4,0.7536400018373829,0.7982344642824524,4,31,0.8176947278150863,False
DISAGREE_SELL_CATCHUP_SHORT,30,69825,-0.0006299281869109847,-0.0006519466558029032,-0.000633200471487552,0.3924239169351951,0.632697059776176,0,3,0.6264440526502465,0.6356523821457992,0,4,0.531863584635977,0.6315775189693122,0,31,0.6047343390601836,False
DISAGREE_SELL_CATCHUP_SHORT,60,69825,-0.0006403262263560211,-0.0006825368902951981,-0.0006566608224930009,0.4153813104189044,0.7201734199607568,0,3,0.7107983407902153,0.7109809498576103,0,4,0.6324703443333012,0.7276324811948811,0,31,0.7044961877831861,False
DISAGREE_SELL_CATCHUP_SHORT,120,69825,-0.000662680825939328,-0.0007213953899237865,-0.0006812982634924607,0.43232366630862873,0.7874621948790519,0,3,0.759407114668312,0.7844556465574136,0,4,0.706581294217694,0.7893587333546487,3,31,0.7653011123957452,False
DISAGREE_SELL_REVERSE_LONG,30,69825,-0.0005700718130890151,-0.0005480533441970973,-0.0005667995285124474,0.41661296097386324,0.6587964843647801,0,3,0.5670844964891386,0.6741661094017946,0,4,0.5597384091266112,0.6344797965249152,0,31,0.6440656031263722,False
DISAGREE_SELL_REVERSE_LONG,60,69825,-0.0005596737736439787,-0.0005174631097048027,-0.0005433391775069987,0.44610096670247046,0.7488779678347512,0,3,0.6537473821063305,0.7626361608541552,0,4,0.6693523480941351,0.7224400142732454,0,31,0.7407025369216651,False
DISAGREE_SELL_REVERSE_LONG,120,69825,-0.0005373191740606722,-0.00047860461007621496,-0.0005187017365075384,0.46627998567848195,0.8229044807689347,0,3,0.7191126803062372,0.8338275625410811,0,4,0.7689079896357034,0.8109286753200631,3,31,0.8346293816185378,False
