market_7d_bucket,samples,mean_return,median_return,win_rate,profit_factor
<-10%,267.0,0.00016134827892265544,-0.0003287743293004519,0.4868913857677903,1.0362870153193595
-10%--3%,637.0,0.00047938239393983663,-8.394754957119499e-05,0.4945054945054945,1.1970984233674187
-3%-+3%,935.0,-0.000425331976942183,-0.0007257790543253595,0.4235294117647059,0.8168025261649843
+3%-+10%,689.0,-0.00025800828813692773,-0.000584036340039007,0.42670537010159654,0.8783123875260573
>+10%,209.0,-0.0002045324481679615,-0.0006314478001735457,0.44019138755980863,0.9215488531554457
