threshold,excluded_asset,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,BNBUSDT,0.0004,6036,-6.497317603681737e-05,-0.0004878459490956662,-0.0002475765814335135,-0.00013228917385328242,0.4577534791252485,0.9766086672009853,-0.011313902423484274,-0.0082819618894098,0.008462830996226401,0.01313059994244675
2.5,BNBUSDT,0.0006,6036,-0.0002649731760368173,-0.0006878459490956662,-0.0004475765814335132,-0.0003322891738532824,0.44002650762094103,0.9082458327395041,-0.011513902423484275,-0.008481961889409799,0.0082628309962264,0.01293059994244675
2.5,BTCUSDT,0.0004,5908,7.077561651215545e-05,-0.0004111656348799061,-0.0001104777637513138,-2.4756163113408393e-06,0.4673324306025728,1.0259036777339368,-0.011366708108109679,-0.008202193767711759,0.008674519024504682,0.013308712523591766
2.5,BTCUSDT,0.0006,5908,-0.00012922438348784447,-0.000611165634879906,-0.000310477763751314,-0.0002024756163113408,0.4510832769126608,0.9545023761566463,-0.01156670810810968,-0.00840219376771176,0.008474519024504681,0.013108712523591765
2.5,ETHUSDT,0.0004,5953,-5.221613077822285e-05,-0.0004,-0.00018043327839434753,-0.00010111913967082572,0.46430371241390894,0.979401913048892,-0.010641119793735178,-0.007475934969973561,0.007690114228080261,0.011869959348875513
2.5,ETHUSDT,0.0006,5953,-0.0002522161307782227,-0.0006,-0.00038043327839434746,-0.0003011191396708256,0.4458256341340501,0.9046049845664934,-0.010841119793735178,-0.00767593496997356,0.007490114228080261,0.011669959348875512
2.5,SOLUSDT,0.0004,6022,-1.6828751864251223e-05,-0.0004,-0.00020285071614919547,-0.00011616303546572615,0.4624709398870807,0.9928281268958397,-0.009768696044719914,-0.00690704404253828,0.007170621733477538,0.01109733296670034
2.5,SOLUSDT,0.0006,6022,-0.0002168287518642511,-0.0006,-0.00040285071614919524,-0.00031616303546572606,0.4422118897376287,0.9117115016741151,-0.009968696044719914,-0.00710704404253828,0.006970621733477538,0.010897332966700339
3.0,BNBUSDT,0.0004,3440,6.474981993329057e-05,-0.0005312786571152501,-0.00017200567951108843,-4.629425884801674e-05,0.45813953488372094,1.021398134968294,-0.012494345923972193,-0.009087274120449608,0.00962988910567265,0.014664562978211447
3.0,BNBUSDT,0.0006,3440,-0.00013525018006670944,-0.0007312786571152499,-0.00037200567951108847,-0.0002462942588480168,0.44156976744186044,0.9568688082935206,-0.012694345923972193,-0.009287274120449608,0.00942988910567265,0.014464562978211446
