strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,q90,q95
BASE,0.0,2318,-5.5534747756298857e-05,-0.0005024169105673,0.454702329594478,0.9767845290680782,0.0073611428922192145,0.011517640260269637
BASE,0.0004,2318,-0.00045553474775629884,-0.0009024169105673,0.4201898188093184,0.8258827854589549,0.006961142892219214,0.011117640260269637
BASE,0.0008,2318,-0.000855534747756299,-0.0013024169105673,0.3809318377911993,0.7005014147779157,0.006561142892219214,0.010717640260269636
RIDGE_SELECTED,0.0,619,0.0003601690440012126,-5.753781313144746e-05,0.4911147011308562,1.1832757618305683,0.0067614919563837835,0.010113893732257826
RIDGE_SELECTED,0.0004,619,-3.983095599878743e-05,-0.0004575378131314475,0.4410339256865913,0.9817037776982395,0.006361491956383783,0.009713893732257827
RIDGE_SELECTED,0.0008,619,-0.00043983095599878756,-0.0008575378131314475,0.39418416801292405,0.8175462127860422,0.005961491956383783,0.009313893732257826
