regime_group,samples,min,q05,q10,q25,median,q75,q90,q95,max
FEB_JUN,433,-0.032776934749620734,-0.007586769146248628,-0.005091341177712793,-0.0026978746793696606,-3.1588091289558307e-05,0.004124951207418626,0.009726498190200905,0.013477418016413873,0.043706310703209406
JULY,103,-0.01306655777868504,-0.009566648670020982,-0.006545356447474359,-0.003702971600579641,-0.001131498957620436,0.001062663021732413,0.003328292260189647,0.0047575334373848215,0.012717253073336154
