feature,year,event,bucket,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
penetration_norm,2024,REJECT_DOWN_4H,Q1,2179,0.0003819477453025591,0.0006923210061731133,0.5562184488297384,1.1404204434205703,-0.00821915861854614,0.008941927515487304
penetration_norm,2024,REJECT_DOWN_4H,Q2,2217,0.000318682167030027,0.0006867646964436869,0.5548037889039242,1.1215490561632202,-0.008182862548336311,0.008717208634350151
penetration_norm,2024,REJECT_DOWN_4H,Q3,2412,0.0004479995661528495,0.0008666129389123256,0.5729684908789386,1.1768015443730906,-0.007881274182854826,0.008407781949539535
penetration_norm,2024,REJECT_DOWN_4H,Q4,2915,0.0003496185332517855,0.0007303170113119872,0.5547169811320755,1.1266162715554882,-0.009113683657484462,0.008701080629367383
penetration_norm,2024,REJECT_UP_4H,Q1,3120,0.0002716359141911224,0.0005571999024212015,0.5480769230769231,1.122025223884633,-0.006807371838052278,0.007237781528649645
penetration_norm,2024,REJECT_UP_4H,Q2,2837,0.00018903721973787782,0.0005116157354183581,0.5470567500881213,1.080261911708025,-0.007467038939348569,0.007334321559471846
penetration_norm,2024,REJECT_UP_4H,Q3,2605,7.710219182885051e-05,0.00039092488228020805,0.5358925143953934,1.0315267766958445,-0.007444798256189133,0.007105126083691802
penetration_norm,2024,REJECT_UP_4H,Q4,2196,-0.00019331335589058867,0.00018400569643350906,0.51775956284153,0.9237335787378895,-0.008295917715991474,0.006899671540664953
penetration_norm,2025,REJECT_DOWN_4H,Q1,2546,-0.00034828762181685557,0.0002182561454906473,0.5172820109976434,0.8710587587449671,-0.008235922514036764,0.00719845021511345
penetration_norm,2025,REJECT_DOWN_4H,Q2,2511,-0.0002167483977873519,0.0001427857499822771,0.5145360414177619,0.9188932234626502,-0.008055609692717569,0.00749354005167957
penetration_norm,2025,REJECT_DOWN_4H,Q3,2606,0.00024707978549565396,0.00045709151969430817,0.5514198004604758,1.0953014356242616,-0.008401605622689934,0.007871745384247064
penetration_norm,2025,REJECT_DOWN_4H,Q4,2681,-9.072638492349636e-05,0.00018058418985411606,0.5165982842223051,0.9665528309784243,-0.008806468095338249,0.007826431543491275
penetration_norm,2025,REJECT_UP_4H,Q1,2973,-1.10700634691326e-05,0.00018331805682869629,0.5237134207870837,0.9949389698311336,-0.006914655022753635,0.006456370186897155
penetration_norm,2025,REJECT_UP_4H,Q2,2854,-4.655875945620949e-05,0.00018146543359653933,0.5213735108619482,0.9797893488942254,-0.006657780289675018,0.006892943308809033
penetration_norm,2025,REJECT_UP_4H,Q3,2639,0.00018762100093322294,0.0003190156680785705,0.5339143615005684,1.082332619966988,-0.007442727763651491,0.007069657157388943
penetration_norm,2025,REJECT_UP_4H,Q4,2213,-6.390083586494882e-05,0.00018432347294905504,0.5155896972435607,0.9741287283637293,-0.007624835772692594,0.007076157463722453
penetration_norm,2026,REJECT_DOWN_4H,Q1,1117,-9.415124352516928e-05,0.00026359449862778384,0.5317815577439571,0.9617894074167699,-0.007732989062317497,0.006634533844324819
penetration_norm,2026,REJECT_DOWN_4H,Q2,1348,0.00015403862467850272,0.0006244478703132383,0.5600890207715133,1.0693924828447403,-0.007168886587286893,0.0064652275258592065
penetration_norm,2026,REJECT_DOWN_4H,Q3,1464,0.0006114284851574578,0.000677718495361912,0.569672131147541,1.3089079691848902,-0.005997832340210785,0.006959947301839932
penetration_norm,2026,REJECT_DOWN_4H,Q4,1607,-0.00012164063415054307,0.0003852461150011255,0.5320472930927194,0.9486045144071461,-0.006839663759191827,0.006050379704761612
penetration_norm,2026,REJECT_UP_4H,Q1,1170,0.00044764982227443793,0.0004319951849623971,0.5512820512820513,1.2727246262016534,-0.005242334770810886,0.006012293900503475
penetration_norm,2026,REJECT_UP_4H,Q2,1338,0.00015928046850431638,0.0004312477830301642,0.554559043348281,1.0896716389062773,-0.005876153290042174,0.00572501736573467
