variant,symbol,period,year,signal_time,entry_time,exit_time,return_z,prior_extreme_count_60m,entry_price,gross_return,mfe,mae,time_to_mfe_bars,time_to_mae_bars,path_return_1,path_return_2,path_return_3,path_return_4,path_return_5,path_return_6,net_4bps,net_5bps,net_8bps
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,5.031773885305235,0.0,302.42,-0.007902916473778276,0.0010581310759869567,0.02172475365385885,1,4,-0.011474108855234477,-0.007671450300905991,-0.014086369949077415,-0.01640103167779916,-0.010052245221876976,-0.007902916473778276,-0.008302916473778276,-0.008502916473778276,-0.008702916473778277
C2_CANONICAL,BTCUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,11.332817139481627,0.0,47982.6,-0.04186517612634566,0.0024467202694309353,0.07430610262886966,1,3,-0.029985869877830584,-0.03881823827804243,-0.04341365411628384,-0.04325734745511911,-0.03602555926523365,-0.04186517612634566,-0.04226517612634566,-0.04246517612634566,-0.04266517612634566
C2_CANONICAL,SOLUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,13.189724528534933,0.0,105.506,-0.06147517676719816,0.001601804636703008,0.08567285272875477,1,1,-0.05440448884423632,-0.056508634580023864,-0.06488730498739415,-0.06612894053418772,-0.05388319147726195,-0.06147517676719816,-0.061875176767198156,-0.06207517676719816,-0.06227517676719816
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-11 08:45:00+00:00,2024-01-11 08:50:00+00:00,2024-01-11 09:20:00+00:00,5.937498409289188,0.0,314.9,-0.006097173705938319,0.006065417592886702,0.007303906001905223,1,5,0.002381708478882194,-0.0012384884090187454,-0.00273102572245143,-0.004255319148936065,-0.006192442045093616,-0.006097173705938319,-0.006497173705938319,-0.006697173705938319,-0.0068971737059383195
C2_CANONICAL,ETHUSDT,2024-01,2024,2024-01-12 14:25:00+00:00,2024-01-12 14:30:00+00:00,2024-01-12 15:00:00+00:00,4.578959802238864,0.0,2696.82,0.003567164289793201,0.0068970120363984755,0.009644692637995942,6,2,-0.007627502020898791,-0.007920439628896325,-0.0027662209565340046,-0.0057734665272433094,-0.0009640984567009792,0.003567164289793201,0.003167164289793201,0.002967164289793201,0.002767164289793201
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,6.183463005544957,0.0,294.04,0.005917562236430252,0.00884233437627513,0.006223643041763164,6,2,0.0005101346755542746,-0.0003060808053326758,0.00431914025302671,0.004999319820432557,0.004251122296286214,0.005917562236430252,0.005517562236430251,0.005317562236430252,0.005117562236430251
C2_CANONICAL,BTCUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,4.595812698250505,0.0,42350.0,0.0076151121605667615,0.007933884297520732,0.006611570247933884,6,2,-0.0013671782762691986,-0.0009563164108619127,0.002984651711924524,0.0033742621015349084,0.003964580873671908,0.0076151121605667615,0.007215112160566761,0.007015112160566762,0.006815112160566761
C2_CANONICAL,SOLUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,4.970843526945549,0.0,89.906,0.006985073298778621,0.013703201121171071,0.011278446377327542,3,2,-0.002880786599337104,-0.0029364002402509914,0.0054278913531911055,0.0035036593775721325,0.0036816230284963947,0.006985073298778621,0.006585073298778621,0.006385073298778621,0.006185073298778621
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-15 12:20:00+00:00,2024-01-15 12:25:00+00:00,2024-01-15 12:55:00+00:00,10.0509548795886,0.0,319.4,-0.005729492798998037,0.008860363180964503,0.01408891671884784,1,3,-0.004821540388227796,-0.011803381340012464,-0.009737006887914679,-0.009423919849718243,-0.007983719474013662,-0.005729492798998037,-0.006129492798998037,-0.006329492798998037,-0.0065294927989980375
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-17 11:35:00+00:00,2024-01-17 11:40:00+00:00,2024-01-17 12:10:00+00:00,7.722781015636249,0.0,312.73,0.0018226585233267478,0.005787740223195836,0.0053400697086944515,5,1,0.0002877881878935451,0.0005116234451443269,0.0023342819684710747,0.0004796469798227232,0.005563904965945055,0.0018226585233267478,0.0014226585233267479,0.001222658523326748,0.001022658523326748
C2_CANONICAL,SOLUSDT,2024-01,2024,2024-01-19 16:45:00+00:00,2024-01-19 16:50:00+00:00,2024-01-19 17:20:00+00:00,6.427421403660152,0.0,88.86,0.009486833220796909,0.012424037812289068,0.009678145397254102,6,2,-0.0072473553905019195,-0.004681521494485641,-0.004366419086203055,-0.007303623677695215,0.004265136169255168,0.009486833220796909,0.00908683322079691,0.008886833220796909,0.008686833220796908
