event,samples,mean_flow_imbalance,median_flow_imbalance,mean_flow_z,median_flow_z,mean_signal_return,median_signal_return
EXTREME_BUY,11880,0.559339245254645,0.554432788749241,2.4669316238683408,2.4043607319535747,0.001507473882867844,0.0011856305804385237
EXTREME_SELL,11843,-0.5722641528948335,-0.5668600753808861,-2.5317909297280567,-2.4666309180227164,-0.0014980580866741286,-0.0011478733918671713
