hypothesis,minutes,period,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BUY_CONTINUE_LONG,5,2024-01,7359,-0.000618358798037761,-0.0006161843723700538,-0.0006281051878489696,-0.0006238647246282188,0.3042532952846854,0.40749490152396495,-0.0026720170860271113,0.0014143975631174983
BUY_CONTINUE_LONG,5,2024-02,7543,-0.0005015021225166008,-0.0005668060811259806,-0.0005305342118345947,-0.0005157739841187742,0.30133898979186,0.4232250140831455,-0.002190820123083758,0.0012465523253291765
BUY_CONTINUE_LONG,5,2024-03,7959,-0.0005615364264406062,-0.0006395464586145921,-0.0005916517064786151,-0.000576264519495003,0.3585877622816937,0.5410819119068114,-0.0033218972082933664,0.002244728435651909
BUY_CONTINUE_LONG,5,2024-04,7756,-0.0006114621082081306,-0.0006456454952834084,-0.0006389759537969043,-0.000628262728405988,0.3314853017019082,0.45426869494072175,-0.002944536048941137,0.0016872141075608312
BUY_CONTINUE_LONG,5,2024-05,8167,-0.0005994565667232441,-0.0006496729861745315,-0.0006299447718437802,-0.0006250241901394423,0.29325333659850616,0.3741422958384275,-0.0024126459163166464,0.001155911951361934
BUY_CONTINUE_LONG,5,2024-06,8152,-0.0006448546240507707,-0.0006496073295700449,-0.0006529563075254362,-0.000646113549871733,0.2469332679097154,0.2887961881285617,-0.0021396701538442635,0.0008366642830719658
BUY_CONTINUE_LONG,5,2024-07,8159,-0.0005851591211255833,-0.0005983222940278526,-0.0005924970569540244,-0.0005915562108089681,0.3138865056992278,0.3878151916630851,-0.002459903151900521,0.0012886887342863367
BUY_CONTINUE_LONG,5,2024-08,8007,-0.000634430704338513,-0.0006270498732036772,-0.0006510488062564557,-0.0006538563804519796,0.3174722118146622,0.4119347308942699,-0.002753275800769583,0.0013986002393579404
BUY_CONTINUE_LONG,5,2024-09,7807,-0.0005927416967967667,-0.0005984143319025076,-0.0006016632032937399,-0.0006037513621805138,0.304342256948892,0.3560329598613711,-0.0023280505925576504,0.0011272742394510494
BUY_CONTINUE_LONG,5,2024-10,8307,-0.0005918381030392522,-0.0006123959258724326,-0.0006027083679784799,-0.0005978340477136442,0.2659203081738293,0.315886475262817,-0.0020835474252885117,0.000953288541213683
BUY_CONTINUE_LONG,5,2024-11,7640,-0.0005878706529646258,-0.0006247916525739633,-0.0006003116545295176,-0.0005926137060490063,0.33743455497382197,0.4607697298528949,-0.002819817989537553,0.0017577152664236995
BUY_CONTINUE_LONG,5,2024-12,8075,-0.0006458627165751805,-0.0006486378806301424,-0.0006471684452759668,-0.000646100876038545,0.3291640866873065,0.40915386665141285,-0.0028373306630265376,0.0014775400032700746
BUY_CONTINUE_LONG,5,2025-01,8101,-0.0006064176321120733,-0.000644087822943406,-0.0006324671786731024,-0.0006301234751846492,0.29835822737933587,0.4090490770937447,-0.0025425063428778476,0.0013372544799010073
BUY_CONTINUE_LONG,5,2025-02,7166,-0.0006289986383039157,-0.0006870056090114812,-0.0006613190054005029,-0.0006565240638833266,0.3191459670667039,0.44815653050705356,-0.002957355606942224,0.001705932333218297
BUY_CONTINUE_LONG,5,2025-03,8530,-0.0006478421154672055,-0.000669541222914915,-0.0006776527765968842,-0.0006735415640951055,0.3092614302461899,0.4192960303403245,-0.002822740648817889,0.0014322074431351258
BUY_CONTINUE_LONG,5,2025-04,8023,-0.0005995241895531132,-0.0006042261854449332,-0.0006333934132371609,-0.0006356677483976781,0.2967717811292534,0.3959174590074528,-0.0025011557135000023,0.0012052927862396209
BUY_CONTINUE_LONG,5,2025-05,8219,-0.0005798566366861087,-0.0006,-0.0006037725129474627,-0.0006008001201255551,0.2933446891349313,0.37192720874932417,-0.0023611987303177252,0.0011218452931131885
BUY_CONTINUE_LONG,5,2025-06,8069,-0.0006096894098963652,-0.0006462377855184881,-0.0006238513552091315,-0.0006169783231607065,0.2543066055273268,0.3167205409680438,-0.0021383586657519596,0.0009259781189519651
BUY_CONTINUE_LONG,5,2025-07,8143,-0.0006012254777130121,-0.0006,-0.0005995561675687143,-0.0006031760113152652,0.2813459412992754,0.33489119616454255,-0.002271114879635205,0.001045737055996133
BUY_CONTINUE_LONG,5,2025-08,8314,-0.00060610029626791,-0.0006121955275303453,-0.0006183074452048617,-0.0006188600255328711,0.2974500841953332,0.3717715842521649,-0.0024403634241092365,0.001195189908704531
BUY_CONTINUE_LONG,5,2025-09,8074,-0.0005880822686333433,-0.0006,-0.0005983051660470325,-0.0005942618747442497,0.2625712162496904,0.30024628647346296,-0.0020289391475157284,0.0008623722786426986
BUY_CONTINUE_LONG,5,2025-10,8219,-0.0005727959854674989,-0.0006475285171103179,-0.0006089345174537207,-0.0005946580314806648,0.3170702031877357,0.4519895794901154,-0.0026582525785305393,0.0015180450184445913
BUY_CONTINUE_LONG,5,2025-11,7960,-0.0006483449127764147,-0.0006678565388260166,-0.0006717576845120575,-0.0006680300866256714,0.32097989949748745,0.41275397096459826,-0.0029179665364663532,0.0015082612611638144
BUY_CONTINUE_LONG,5,2025-12,8444,-0.0005882427465383624,-0.0006170287291575976,-0.0006068131980361319,-0.000600438333504744,0.25414495499763146,0.3199967603572021,-0.0020859600301980745,0.0009037425150115521
BUY_CONTINUE_LONG,5,2026-01,8098,-0.0006300400487468681,-0.0006331646021208831,-0.0006378647728309443,-0.0006368972255557311,0.22585823660163004,0.2444246363723884,-0.001931927961620749,0.0006482404280017348
BUY_CONTINUE_LONG,5,2026-02,7740,-0.0006519188988758914,-0.0006629727276962865,-0.0006818188110153104,-0.0006817106126510226,0.3174418604651163,0.44749620551400027,-0.0030664083990930117,0.0016857823798589265
BUY_CONTINUE_LONG,5,2026-03,8430,-0.0006320924809981034,-0.0006446773947803125,-0.0006543299449667297,-0.0006584559335489191,0.265005931198102,0.35203057588410497,-0.002375174685292335,0.0010357606962831517
BUY_CONTINUE_LONG,5,2026-04,8346,-0.0006171804273061209,-0.0006297986699455132,-0.0006330227835106053,-0.0006304833040069942,0.22381979391325185,0.25508211946353143,-0.0018957945756442156,0.0006536637204209056
BUY_CONTINUE_LONG,5,2026-05,8326,-0.0006311149653190146,-0.0006221800274235461,-0.0006274284597035036,-0.0006285549686485745,0.21054527984626473,0.20182685211937285,-0.0017678882667860434,0.0005110837728158796
BUY_CONTINUE_LONG,5,2026-06,7892,-0.0005960342692532621,-0.0006489476505617925,-0.0006321279960277877,-0.0006197777225739993,0.2885200202736949,0.39125916361014,-0.0024437220932783214,0.0012303651687900273
BUY_CONTINUE_LONG,5,2026-07,8438,-0.0005923721095945011,-0.000609495463402287,-0.0006166662131183477,-0.0006088307648152762,0.23370466935292725,0.2558224399408739,-0.001835511454538196,0.0006693704244951311
BUY_CONTINUE_LONG,15,2024-01,7359,-0.000648388808058645,-0.0006887639263402739,-0.0006797709203748895,-0.0006769680514146863,0.3689359967386873,0.5684687369267136,-0.004180483232086861,0.002704538938527734
BUY_CONTINUE_LONG,15,2024-02,7543,-0.00033821521637438466,-0.0004684989151160884,-0.00040104729071456475,-0.0003686680111702365,0.3974545936629988,0.7099252206288609,-0.0032168092436371857,0.0027352228257855127
BUY_CONTINUE_LONG,15,2024-03,7959,-0.000543396883459845,-0.0005686737312147855,-0.000598298450899823,-0.0005879210908444218,0.4171378313858525,0.7077206638913887,-0.005389382270853081,0.0041670735908615015
BUY_CONTINUE_LONG,15,2024-04,7756,-0.0005688121344815924,-0.0006389293837965154,-0.0006399047501953194,-0.0006209049674575414,0.3965961835997937,0.6458022796184024,-0.004579598050330268,0.00336205246735859
BUY_CONTINUE_LONG,15,2024-05,8167,-0.0006388893446955314,-0.0007196744853996234,-0.0007068445743594401,-0.0006903732718521685,0.3510468960450594,0.5399989915378168,-0.003735955039219484,0.002340183356269002
BUY_CONTINUE_LONG,15,2024-06,8152,-0.0007010827704296783,-0.0006946973951672092,-0.0007166241318242408,-0.0007182805797373743,0.32936702649656524,0.44351295268265056,-0.0033880382541848324,0.0018105651558402208
BUY_CONTINUE_LONG,15,2024-07,8159,-0.0005931770778658573,-0.0006323745083121718,-0.000614829030782583,-0.0006129183331916212,0.3822772398578257,0.5671368325347753,-0.0037765542262111922,0.0024994793266404306
BUY_CONTINUE_LONG,15,2024-08,8007,-0.0006734381342970272,-0.0006838872039748972,-0.0007052275153345028,-0.0007155200012678849,0.3785437741975771,0.5665072137549302,-0.0042230718791531835,0.0026850809258589306
BUY_CONTINUE_LONG,15,2024-09,7807,-0.0005086788287184061,-0.0005261242958723538,-0.0005280729437393292,-0.0005155519229715112,0.38683232996029204,0.582596615983963,-0.003323282017747475,0.002300814483517778
BUY_CONTINUE_LONG,15,2024-10,8307,-0.0005811590097375765,-0.0006370112966703306,-0.0006106811328566726,-0.0006013010421416921,0.35247381726254967,0.5214787041501314,-0.0032071351966205465,0.0021084759296354566
BUY_CONTINUE_LONG,15,2024-11,7640,-0.0006306839498412365,-0.0006830660618458822,-0.0006733593299480945,-0.0006589621691822176,0.3947643979057592,0.6211680748139304,-0.004676732120393355,0.003384383739717592
BUY_CONTINUE_LONG,15,2024-12,8075,-0.0007531033721201577,-0.0006932102696131753,-0.0007634110494574227,-0.0007683796918943336,0.381671826625387,0.5404152575212435,-0.004579072445769759,0.002855326891229939
BUY_CONTINUE_LONG,15,2025-01,8101,-0.0006369357478162237,-0.0007236389061795017,-0.0007037472655898636,-0.0006916006457162967,0.363535366004197,0.5846951015343105,-0.004053153602928971,0.00274188697260851
BUY_CONTINUE_LONG,15,2025-02,7166,-0.000665691297424013,-0.0006631454781974127,-0.0006867849377704623,-0.0006594822545722993,0.3871057772816076,0.602351286376851,-0.004694233882713849,0.0033437713379567587
BUY_CONTINUE_LONG,15,2025-03,8530,-0.0007961473827891267,-0.0008011842899338756,-0.0008247198700765434,-0.0008365160894167738,0.36588511137162955,0.5214580835687156,-0.004530492230788706,0.002773211899651209
BUY_CONTINUE_LONG,15,2025-04,8023,-0.0006487263079896075,-0.0006648894751399398,-0.0007030107596837594,-0.0006988806873076532,0.36956250779010347,0.5547227122371031,-0.003938414491856567,0.0023298156831360614
BUY_CONTINUE_LONG,15,2025-05,8219,-0.0005588805707486165,-0.0006,-0.0005763861243566812,-0.0005665730348077727,0.3797298941477065,0.5691023411480076,-0.0035158189165828127,0.002464159666311948
BUY_CONTINUE_LONG,15,2025-06,8069,-0.0006663288472395564,-0.000677819800469947,-0.000674232047585732,-0.0006689314070197316,0.3332507126037923,0.4633288783777504,-0.0032741899064810723,0.001946627275984692
BUY_CONTINUE_LONG,15,2025-07,8143,-0.0006063770145564272,-0.0006,-0.0006133554179364365,-0.0006127064249119491,0.36055507798108805,0.5276147593982039,-0.003497827694620636,0.0022465619630648755
BUY_CONTINUE_LONG,15,2025-08,8314,-0.0005848012664781701,-0.0006155469443835487,-0.0006048745459417594,-0.0006037279191733648,0.3769545345200866,0.5624380188214027,-0.003702947955390789,0.002421777283846072
BUY_CONTINUE_LONG,15,2025-09,8074,-0.0006140635818200235,-0.0006464394271577073,-0.0006406237988345785,-0.0006379286980092435,0.33911320287342084,0.47115445957508134,-0.0031004686507893225,0.001847016092836396
BUY_CONTINUE_LONG,15,2025-10,8219,-0.0005502193919167596,-0.0006175120154315422,-0.000583497089593136,-0.0005683667124421212,0.3943302104878939,0.6369293409594173,-0.004134287884299903,0.0031050964625397143
