group,samples,mean_mfe,median_mfe,mfe_q90,mean_mae,median_mae,mae_q90,mae_q95,mae_q99,median_time_to_mfe,median_time_to_mae
ALL,1259,0.007463682872883878,0.0051531739032193435,0.016290651235804803,0.006153499884149512,0.004124354486535253,0.013029157259494056,0.01844817038103803,0.03168014929467898,3.0,2.0
WINNERS_GROSS,650,0.011290465164483725,0.008935139794779334,0.021595461406318014,0.00351256810870602,0.0022084143602776147,0.007263824340240942,0.009663091655587928,0.023842507681837995,5.0,1.0
LOSERS_GROSS,609,0.003379268275938231,0.00237518628912059,0.007645457312271243,0.008972228380107264,0.006770039666383539,0.016605830616783206,0.021881763198581424,0.03623974741263375,1.0,5.0
