hypothesis,minutes,period,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BTC_UP_FOLLOW_LONG,5,2024-01,231,-0.0010998124573422202,-0.0005676375404531469,-0.0007624717262718231,-0.0007777052539243693,0.3852813852813853,0.46711907796468916,-0.005279096995047316,0.003750353842144328
BTC_UP_FOLLOW_LONG,5,2024-02,315,-0.0005804358288610267,-0.000656829303714867,-0.0005748792977413151,-0.0005482634344819769,0.37777777777777777,0.5538425626088871,-0.0036041279727275105,0.002582676854477463
BTC_UP_FOLLOW_LONG,5,2024-03,228,-0.0001864270166772488,-4.43310492710344e-06,-7.917195361160977e-05,-1.732241213458187e-05,0.5,0.892030590041064,-0.004851814339949477,0.005270320273947252
BTC_UP_FOLLOW_LONG,5,2024-04,309,-0.00014996225119854307,-0.0005230662707143668,-0.0003238244466768268,-0.00022361888738942187,0.42394822006472493,0.9172028093868868,-0.005569128114409926,0.005229027922532415
BTC_UP_FOLLOW_LONG,5,2024-05,279,-0.0005052530296549883,-0.0008127645856569992,-0.0006159649571409036,-0.0005887273648372005,0.3978494623655914,0.6877327978724517,-0.00455887406986759,0.0037129231543603838
BTC_UP_FOLLOW_LONG,5,2024-06,258,-0.0011924523046156175,-0.0010968468424723647,-0.0009864608615535266,-0.000998057812773917,0.36046511627906974,0.3961056011262976,-0.004572929069191255,0.0026010625607433293
BTC_UP_FOLLOW_LONG,5,2024-07,330,-2.8525590557522174e-05,-0.00015782857402375447,-0.00012940147118437918,-8.52909575218633e-05,0.4666666666666667,0.9773558891057552,-0.003963928723313159,0.003584533461634458
BTC_UP_FOLLOW_LONG,5,2024-08,330,-0.0012098336938310464,-0.0010316660051074115,-0.0012231213222589484,-0.0012518519987049963,0.40606060606060607,0.5726043852628397,-0.008193495965627084,0.0054703178548661385
BTC_UP_FOLLOW_LONG,5,2024-09,228,-0.0003922224065152622,-0.0004214312601908515,-0.0003524138010089868,-0.00039455930975191964,0.44298245614035087,0.7192119889005851,-0.004145537190684933,0.003402412464919993
BTC_UP_FOLLOW_LONG,5,2024-10,315,-0.0005212329239061702,-0.00043302721656364115,-0.00044357851405525705,-0.000423111083816007,0.4,0.6524161487854486,-0.0042881354137535455,0.0032634760284662875
BTC_UP_FOLLOW_LONG,5,2024-11,303,-0.0007128287332311769,-0.000648100819317387,-0.0007061106755720216,-0.0007172404315502434,0.39933993399339934,0.6002898899479777,-0.005176944362981127,0.0038887057968327596
BTC_UP_FOLLOW_LONG,5,2024-12,294,-0.0004416750755635108,-0.00029680979533148685,-0.00040888154200233986,-0.0004207796863077334,0.4557823129251701,0.7570524382113556,-0.0056168405927054296,0.004455820678710376
BTC_UP_FOLLOW_LONG,5,2025-01,306,-0.00030448188139445243,-0.000507630959668614,-0.000372682002445908,-0.0003494919402194711,0.42810457516339867,0.8435874045895922,-0.005184066729301617,0.005390179690170461
BTC_UP_FOLLOW_LONG,5,2025-02,333,-0.0009390085255244638,-0.0007114471605953015,-0.0009356948441645762,-0.0009752646519798554,0.4174174174174174,0.5822539883757342,-0.006772310688626714,0.004577150888513538
BTC_UP_FOLLOW_LONG,5,2025-03,219,-0.0005314705930480944,-0.0011804721493301022,-0.001123137794223894,-0.0011094843966631023,0.3470319634703196,0.7680394003975739,-0.006009934000843308,0.003921856943359474
BTC_UP_FOLLOW_LONG,5,2025-04,285,-0.0011271575679203886,-0.0015127858914300678,-0.001264049802046485,-0.0011703538201067326,0.3263157894736842,0.5245299986678218,-0.005445493854925831,0.0038520476706102027
BTC_UP_FOLLOW_LONG,5,2025-05,318,-0.0008877754683471115,-0.00082410344354018,-0.0008950849655172758,-0.0009191193735083005,0.3270440251572327,0.38746825647402605,-0.00411450905525299,0.0016924546322911078
BTC_UP_FOLLOW_LONG,5,2025-06,276,-0.0006758108995724935,-0.0007383029620705133,-0.0007153525197484544,-0.0006686386354942,0.37681159420289856,0.5437783368483438,-0.003685513520933447,0.002277188777196005
