year,strategy,cost,windows,total_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_window_return,pooled_mean_return,pooled_median_return,pooled_win_rate,pooled_profit_factor
2024,ATR_080_100,0.0,48,1045,19,0.3958333333333333,0.3958333333333333,0.8745669748906368,-0.00036085932567585173,-0.0001402126283148505,-0.0008244865200102147,0.43349282296650715,0.9521619411694343
2024,ATR_080_100,0.0002,48,1045,18,0.375,0.375,0.7891977727180541,-0.0005608593256758519,-0.0003402126283148505,-0.0010244865200102148,0.4143540669856459,0.888321639649114
2024,ATR_080_100,0.0004,48,1045,17,0.3541666666666667,0.3541666666666667,0.7276052590962352,-0.0007608593256758515,-0.0005402126283148503,-0.0012244865200102147,0.3990430622009569,0.8293138559742635
2024,ATR_080_100,0.0006,48,1045,15,0.3125,0.3125,0.6704839113881353,-0.0009608593256758516,-0.0007402126283148509,-0.0014244865200102146,0.38181818181818183,0.7748056772578777
2024,ATR_080_100,0.0008,48,1045,12,0.25,0.25,0.600420031069226,-0.001160859325675852,-0.0009402126283148505,-0.0016244865200102146,0.3703349282296651,0.7244145981105236
2024,BASE_SHORT,0.0,48,4151,17,0.3541666666666667,0.3541666666666667,0.8823110393011508,-0.0003336707421235678,-0.00036350002886444995,-0.0009166379540122005,0.42495784148397975,0.8926681925636499
2024,BASE_SHORT,0.0002,48,4151,15,0.3125,0.3125,0.8028672178226799,-0.0005336707421235674,-0.00056350002886445,-0.0011166379540122006,0.41050349313418455,0.8391437287475852
2024,BASE_SHORT,0.0004,48,4151,9,0.1875,0.1875,0.7476481880085841,-0.0007336707421235677,-0.0007635000288644497,-0.0013166379540122005,0.39556733317272946,0.7892281155847473
2024,BASE_SHORT,0.0006,48,4151,5,0.10416666666666667,0.10416666666666667,0.6945689203554112,-0.000933670742123568,-0.0009635000288644503,-0.0015166379540122003,0.3806311732112744,0.7427169561484379
2024,BASE_SHORT,0.0008,48,4151,5,0.10416666666666667,0.10416666666666667,0.6491121384626994,-0.0011336707421235677,-0.00116350002886445,-0.0017166379540122004,0.37099494097807756,0.6993326304848845
2025,ATR_080_100,0.0,48,1117,18,0.375,0.375,0.7557571842080901,-0.0005279137923841756,-0.0005264439069482145,-0.0005767487847079256,0.4404655326768129,0.800506556732761
2025,ATR_080_100,0.0002,48,1117,15,0.3125,0.3125,0.6729183633340505,-0.0007279137923841754,-0.0007264439069482143,-0.0007767487847079255,0.4252461951656222,0.7360326874121567
2025,ATR_080_100,0.0004,48,1117,14,0.2916666666666667,0.2916666666666667,0.6050148574437174,-0.0009279137923841758,-0.0009264439069482145,-0.0009767487847079255,0.40555058191584603,0.6770801169258877
2025,ATR_080_100,0.0006,48,1117,12,0.25,0.25,0.5454790161032936,-0.0011279137923841756,-0.0011264439069482144,-0.0011767487847079254,0.39033124440465533,0.623219505314003
2025,ATR_080_100,0.0008,48,1117,11,0.22916666666666666,0.22916666666666666,0.49189960344762407,-0.001327913792384176,-0.0013264439069482145,-0.0013767487847079255,0.36884512085944493,0.5740431622043113
2025,BASE_SHORT,0.0,48,4093,23,0.4791666666666667,0.4791666666666667,0.9579853987512958,-6.548868720947503e-05,7.043126587879046e-05,-0.0004380512638371137,0.46176398729538237,1.0251625761640477
2025,BASE_SHORT,0.0002,48,4093,21,0.4375,0.4375,0.8702026247756371,-0.000265488687209475,-0.00012956873412120932,-0.0006380512638371137,0.44612753481553874,0.9554479969333246
2025,BASE_SHORT,0.0004,48,4093,16,0.3333333333333333,0.3333333333333333,0.8040135030694436,-0.00046548868720947494,-0.0003295687341212094,-0.0008380512638371136,0.42853652577571466,0.8908999462348369
2025,BASE_SHORT,0.0006,48,4093,10,0.20833333333333334,0.20833333333333334,0.7443326725544114,-0.000665488687209475,-0.0005295687341212098,-0.0010380512638371135,0.41363303200586365,0.8311681636671526
2025,BASE_SHORT,0.0008,48,4093,8,0.16666666666666666,0.16666666666666666,0.6975946874267658,-0.000865488687209475,-0.0007295687341212097,-0.0012380512638371136,0.39579770339604203,0.7759178450442901
2026,ATR_080_100,0.0,28,650,22,0.7857142857142857,0.7857142857142857,1.5143913858021456,0.0007851970540889458,0.000659967943985981,-0.00021415223490550694,0.4753846153846154,1.3705304364238027
2026,ATR_080_100,0.0002,28,650,21,0.75,0.75,1.3512374062912238,0.0005851970540889455,0.0004599679439859811,-0.0004141522349055069,0.4676923076923077,1.2438007435395173
2026,ATR_080_100,0.0004,28,650,18,0.6428571428571429,0.6428571428571429,1.2199079820728065,0.0003851970540889457,0.00025996794398598085,-0.0006141522349055069,0.4430769230769231,1.1303309960635153
2026,ATR_080_100,0.0006,28,650,16,0.5714285714285714,0.5714285714285714,1.1018962641771544,0.0001851970540889459,5.996794398598102e-05,-0.0008141522349055069,0.4153846153846154,1.0284338194376232
2026,ATR_080_100,0.0008,28,650,14,0.5,0.5,0.9941364974817946,-1.4802945911054452e-05,-0.00014003205601401908,-0.0010141522349055069,0.39692307692307693,0.9371576897574413
2026,BASE_SHORT,0.0,28,2453,14,0.5,0.5,1.0273600166045957,5.4394190875631295e-05,7.286699581437779e-05,-0.0005418325079249442,0.44231553200163065,1.030066413644033
2026,BASE_SHORT,0.0002,28,2453,12,0.42857142857142855,0.42857142857142855,0.9523556620471819,-0.0001456058091243684,-0.00012713300418562207,-0.0007418325079249442,0.4247859763554831,0.9498792893900104
2026,BASE_SHORT,0.0004,28,2453,7,0.25,0.25,0.8813487980718551,-0.00034560580912436844,-0.00032713300418562224,-0.0009418325079249442,0.408887077048512,0.8766901676805051
2026,BASE_SHORT,0.0006,28,2453,3,0.10714285714285714,0.10714285714285714,0.817437571654418,-0.000545605809124369,-0.0005271330041856223,-0.001141832507924944,0.3901345291479821,0.8099125730563759
2026,BASE_SHORT,0.0008,28,2453,3,0.10714285714285714,0.10714285714285714,0.7464216978137425,-0.000745605809124369,-0.0007271330041856223,-0.0013418325079249441,0.374235629841011,0.7489901879148579
