hypothesis,minutes,period,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
SPOT_UP_CATCHUP_LONG,30,2024-01,1788,-0.0005243940550442996,-0.000666164210002495,-0.0005771614036271044,-0.0005510384091501422,0.4161073825503356,0.7522167245299689,-0.005980403372394027,0.00512431775170481
SPOT_UP_CATCHUP_LONG,30,2024-02,1760,-0.0003815196313553927,-0.000502497448629135,-0.0003736125700048709,-0.0003111371967222371,0.42272727272727273,0.7906483896567472,-0.004971409241486923,0.004660008961807144
SPOT_UP_CATCHUP_LONG,30,2024-03,1600,-0.0005975744959570364,-0.0003887916321057666,-0.0005413509263683293,-0.0005608543865906129,0.460625,0.8015969431388269,-0.009024605935069763,0.00789856150810611
SPOT_UP_CATCHUP_LONG,30,2024-04,1833,-0.0006441797518015708,-0.0005969824256469408,-0.0006474894441964291,-0.0006418427082080243,0.4348063284233497,0.7402471330688944,-0.006813746182718593,0.005422617192719436
SPOT_UP_CATCHUP_LONG,30,2024-05,1856,-0.0004520728796606662,-0.0007021333860342643,-0.0006388051835958189,-0.0006027942549121782,0.39978448275862066,0.7514437125087498,-0.005254244585576006,0.004110239036887609
SPOT_UP_CATCHUP_LONG,30,2024-06,1695,-0.000731803650606797,-0.0006488148753281514,-0.0007015440325962563,-0.0006987596944888519,0.3882005899705015,0.5795761164474259,-0.00462776658047681,0.0032235487513708775
SPOT_UP_CATCHUP_LONG,30,2024-07,1871,-0.0004562948483529738,-0.0005323432901459085,-0.00048345042314116963,-0.00048507829928019346,0.4409406734366649,0.7640541352558587,-0.0058854816682424975,0.004852562704471031
SPOT_UP_CATCHUP_LONG,30,2024-08,1847,-0.0005140314995076688,-0.0006554477405044773,-0.0007549972489762298,-0.0007123928883552634,0.42176502436383323,0.7849610581151286,-0.007082311163144949,0.005146124324201098
SPOT_UP_CATCHUP_LONG,30,2024-09,1712,-0.0004382229522243625,-0.0005773361713898411,-0.0005270190394121325,-0.0005162683576373056,0.4182242990654206,0.7378704688583032,-0.004999495879013049,0.004037691659273791
SPOT_UP_CATCHUP_LONG,30,2024-10,1696,-0.0005836299380749954,-0.0006366561558299838,-0.0005947557178874633,-0.0005904953837665698,0.4050707547169811,0.6369308193350663,-0.004477827871523853,0.0032411661811136312
SPOT_UP_CATCHUP_LONG,30,2024-11,1579,-0.00025059099666418095,-0.0003032332734852033,-0.0002689132033869058,-0.0002373115429832727,0.473717542748575,0.8875899479453253,-0.00658574895139976,0.006065074238452952
