feature,pre_median,july_median,robust_shift,abs_shift
btc1h_adx,27.49615988458196,23.51861943460858,-0.25188790910876274,0.25188790910876274
btc1h_atr_expansion,0.9904181894820504,1.027001229010935,0.20145122789184963,0.20145122789184963
asset1h_atr_expansion,1.00319421522809,1.0355947427346344,0.18084418686586037,0.18084418686586037
asset1h_adx,26.591288145925812,24.147956795853712,-0.17001176414401384,0.17001176414401384
asset1h_return_12,-0.004910336815447058,-0.0016542888317906401,0.15501451299188712,0.15501451299188712
btc1h_return_12,-0.0038887451591756994,-0.0008504211285428331,0.14903073477817044,0.14903073477817044
btc1h_adx_change,0.022082502417649863,-0.18751460304999057,-0.13670451166208128,0.13670451166208128
btc1h_di_strength,-0.11549457422110754,-0.045115161994996315,0.12998527061285442,0.12998527061285442
btc1h_macd_hist,-29.175607437432618,-14.810622479476368,0.11726378592509737,0.11726378592509737
asset1h_trend_velocity,-0.3902883783131301,-0.18976722841307492,0.0864791199288244,0.0864791199288244
asset1h_di_strength,-0.11786358871605707,-0.07533920187615886,0.08056520616291311,0.08056520616291311
asset1h_adx_change,-0.02325219727611838,-0.14573372094467985,-0.07781499823402127,0.07781499823402127
asset1h_return_3,-0.005293953747561919,-0.004764804727588556,0.0655251465489028,0.0655251465489028
asset1h_return_6,-0.005658165409542337,-0.0064395002807411394,-0.06227301560968447,0.06227301560968447
btc1h_return_3,-0.003718041173989328,-0.0033272041340393077,0.060814209745240023,0.060814209745240023
btc1h_return_6,-0.0036270289191994154,-0.0030357290346910704,0.05532136575270168,0.05532136575270168
asset1h_macd_hist,-0.20743120195879428,-0.07245343096189566,0.05266774896952509,0.05266774896952509
btc1h_trend_acceleration,-9.5503804818145,-11.573024106597586,-0.05027080426818366,0.05027080426818366
asset1h_return_24,-0.005554070466814887,-0.004620781148112374,0.025717648624585705,0.025717648624585705
btc1h_return_24,-0.00391515314025237,-0.003174227022712195,0.02327599644739662,0.02327599644739662
asset1h_trend_acceleration,-0.06289593151814188,-0.05501364502761419,0.010824665610468319,0.010824665610468319
btc1h_trend_velocity,-24.449637593119405,-24.391201235288463,0.0012135924911904727,0.0012135924911904727
