hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,followers_pf_gt_1,total_followers,worst_follower_pf,median_follower_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
BTC_UP_FOLLOW_LONG,5,9027,-0.0005693010101694784,-0.0006362988903926572,-0.0006022041747353086,0.39082751744765704,0.6668872731446304,0,3,0.65867351634064,0.6673076762810409,0,3,0.5949590555510643,0.665110745817909,0,31,0.6475467248582288,False
BTC_UP_FOLLOW_LONG,15,9027,-0.0005166666361794293,-0.0005609716329691903,-0.0005024036290334899,0.4308186551456741,0.7941896283777938,0,3,0.7049415753553815,0.7768653921642998,0,3,0.7256502512547541,0.798293439962562,7,31,0.7219961303733339,False
BTC_UP_FOLLOW_LONG,30,9027,-0.00030433070947622544,-0.00046750080580909505,-0.00040185563541033335,0.45164506480558325,0.9030708494061392,0,3,0.8060401753392931,0.9160436559885121,0,3,0.8572939233776234,0.8942166388521305,13,31,0.8972326640893226,False
BTC_UP_FOLLOW_LONG,60,9027,-0.00016428612374810256,-0.00031021847216573735,-0.000243440180058936,0.46626786307743434,0.9602028887497436,1,3,0.8710417762111933,0.9660622499471774,1,3,0.9282743882477433,0.9348971258267684,11,31,0.9463560697538997,False
BTC_UP_REVERSE_SHORT,5,9027,-0.0006306989898305214,-0.0005637011096073432,-0.0005977958252646921,0.42140245928880027,0.6333306017913511,0,3,0.5239625605836377,0.6524125432783606,0,3,0.5368017946562246,0.6387426038120555,1,31,0.6174742038051523,False
BTC_UP_REVERSE_SHORT,15,9027,-0.0006833333638205706,-0.0006390283670308109,-0.0006975963709665107,0.45419297662567854,0.7351964517519105,0,3,0.6879334692291783,0.7359710553868514,0,3,0.6767091952993033,0.7290336687731899,4,31,0.6880023356379072,False
BTC_UP_REVERSE_SHORT,30,9027,-0.0008956692905237745,-0.0007324991941909056,-0.0007981443645896677,0.4619474908607511,0.7388438952988847,0,3,0.7249808821556094,0.7410230401092581,0,3,0.6769232434701106,0.7503003158832443,3,31,0.7034437256874214,False
BTC_UP_REVERSE_SHORT,60,9027,-0.0010357138762518983,-0.000889781527834263,-0.0009565598199410657,0.46471696023041986,0.7731522530314742,0,3,0.7423340781145131,0.7870146362984185,0,3,0.720501076469376,0.7852748996217238,3,31,0.744228638184436,False
BTC_DOWN_FOLLOW_SHORT,5,9048,-0.000656138342844891,-0.0007691986705610472,-0.0007471040211484497,0.38362068965517243,0.6875485527242251,0,3,0.6352681224970212,0.7031391463381665,0,3,0.630813518704458,0.7058713123790777,2,31,0.6330443044495631,False
BTC_DOWN_FOLLOW_SHORT,15,9048,-0.000664417473820634,-0.0009081432851024961,-0.0008252473370673472,0.3994252873563218,0.785558952931549,0,3,0.7776746307446594,0.7778763174799487,0,3,0.7332352083327254,0.7811565588509518,4,31,0.7484945535261265,False
BTC_DOWN_FOLLOW_SHORT,30,9048,-0.0008749391287940522,-0.0010561084878759224,-0.0009629539557824111,0.4151193633952255,0.7827732965875864,0,3,0.7469117040529195,0.798089237997446,0,3,0.7310120234237366,0.761123691433453,4,31,0.6919223145628627,False
BTC_DOWN_FOLLOW_SHORT,60,9048,-0.0010651959769829732,-0.001269724539477661,-0.0011822393055674367,0.4186560565870911,0.7906208502877258,0,3,0.7569009801060882,0.8001141384659541,0,3,0.7374900887733011,0.7620804804028797,6,31,0.7616598202967633,False
BTC_DOWN_REVERSE_LONG,5,9048,-0.0005438616571551087,-0.00043080132943895395,-0.00045289597885155025,0.4561229000884173,0.7276600602641572,0,3,0.5334631576839135,0.7296663772268422,0,3,0.6752403555545994,0.6895923492658688,6,31,0.6791079549932951,False
BTC_DOWN_REVERSE_LONG,15,9048,-0.0005355825261793661,-0.0002918567148975054,-0.0003747526629326526,0.4960212201591512,0.8199984037393234,0,3,0.7098288310456105,0.836993214968778,0,3,0.757271932509082,0.7980890682119743,7,31,0.8113614649024202,False
BTC_DOWN_REVERSE_LONG,30,9048,-0.0003250608712059481,-0.00014389151212407868,-0.00023704604421758931,0.5058576480990274,0.9121164314200909,0,3,0.8046329792247823,0.8999478731528544,0,3,0.8295503548561273,0.9028331417348555,15,31,0.9849053081053157,False
BTC_DOWN_REVERSE_LONG,60,9048,-0.00013480402301702763,6.972453947766042e-05,-1.776069443256414e-05,0.5193412908930151,0.9704491184556856,1,3,0.8271592104194402,0.9632591740847835,1,3,0.8722997457493016,0.9762360135993424,17,31,1.0405333342722058,False
