event,symbol,samples
EXPANSION_DOWN,BNBUSDT,356
EXPANSION_DOWN,BTCUSDT,211
EXPANSION_DOWN,ETHUSDT,242
EXPANSION_DOWN,SOLUSDT,363
EXPANSION_UP,BNBUSDT,305
EXPANSION_UP,BTCUSDT,227
EXPANSION_UP,ETHUSDT,312
EXPANSION_UP,SOLUSDT,324
