event,horizon,minutes,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
REJECT_DOWN_4H,1,5,25603,1.438121332446795e-06,0.00010524100189446273,0.5259149318439246,1.0016725749533963,-0.002636529399563514,0.0024857035194801643
REJECT_DOWN_4H,3,15,25603,2.0301984508719558e-06,0.00023427433524658703,0.5375151349451236,1.0014100396413568,-0.004407557874799339,0.004201134009325935
REJECT_DOWN_4H,6,30,25603,6.569479516693583e-05,0.00033116237995356457,0.5369683240245283,1.0341049696834488,-0.005959641496775836,0.005784659542021896
REJECT_DOWN_4H,12,60,25603,0.00013319862440265215,0.0004827253292878364,0.5432957075342734,1.0517005954254144,-0.008119733927805805,0.007796931424337881
REJECT_UP_4H,1,5,26817,2.7004353621642474e-05,9.847251747885366e-05,0.5277622403699146,1.0381044729601256,-0.002172215863819149,0.0022005352286797123
REJECT_UP_4H,3,15,26817,2.5728758613087948e-05,0.00019002807045076509,0.535108326807622,1.021733932550617,-0.003668725236774195,0.0035469672612814316
REJECT_UP_4H,6,30,26817,2.5770538296091894e-05,0.0002487662461059248,0.5356676734906962,1.0157478026995082,-0.005119208633970262,0.004889265390146625
REJECT_UP_4H,12,60,26817,8.951340563892387e-05,0.00034163148243138153,0.5352947757019801,1.0399724166794309,-0.006966571651058428,0.006795978560088758
