symbol,strategy,samples,mean_return,median_return,win_rate,profit_factor
BNBUSDT,BASE,589,4.451111819481929e-05,-0.0003860597339696,0.4685908319185059,1.0225797373245664
BNBUSDT,META_SELECTED,207,8.736495354331148e-05,-0.0003865950913469,0.4782608695652174,1.049397206765991
BTCUSDT,BASE,540,-0.00017534769368750762,-0.00040558036929145,0.4388888888888889,0.9058664622207684
BTCUSDT,META_SELECTED,199,0.00033787867858096915,-3.887264749036223e-05,0.49246231155778897,1.2407490444155835
ETHUSDT,BASE,572,9.09430992511395e-06,-0.000656965292061,0.4493006993006993,1.0034515837793225
ETHUSDT,META_SELECTED,133,0.0006643752494319345,-0.0004738981867158,0.48872180451127817,1.2848963613216797
SOLUSDT,BASE,617,-0.00010609527488129703,-0.0005644788833581,0.46029173419773095,0.9650110031495839
SOLUSDT,META_SELECTED,83,0.00029870056075451573,0.0003997761253697,0.5301204819277109,1.1231485891528288
