cost,starting_equity,ending_equity,total_return,max_drawdown_closed_equity,max_concurrent_positions,max_notional_exposure
0.0004,1.0,1.3496945333140522,0.3496945333140522,-0.04853095707221167,4,1.0
0.0006,1.0,1.2411820506766877,0.24118205067668774,-0.05427637884162406,4,1.0
0.0008,1.0,1.1413841593383327,0.1413841593383327,-0.06731690454373496,4,1.0
