hypothesis,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
UP_CONTINUE_LONG,5,BNBUSDT,0.0,305,7.941120147833775e-05,-3.406400626770889e-05,4.396913951546854e-05,6.441147445429291e-05,0.4885245901639344,1.160741233078055,-0.0014603154982102185,0.0017777650991794853
UP_CONTINUE_LONG,5,BNBUSDT,0.0004,305,-0.00032058879852166233,-0.0004340640062677089,-0.00035603086048453147,-0.0003355885255457072,0.3442622950819672,0.5578672913308206,-0.0018603154982102185,0.0013777650991794854
UP_CONTINUE_LONG,5,BNBUSDT,0.0006,305,-0.0005205887985216621,-0.0006340640062677088,-0.0005560308604845314,-0.000535588525545707,0.3016393442622951,0.3952438182000803,-0.0020603154982102184,0.0011777650991794855
UP_CONTINUE_LONG,5,BTCUSDT,0.0,227,-4.829131766963447e-05,-0.00021126760563372482,-0.00011328695646953309,-9.218785379796686e-05,0.42290748898678415,0.906878838157822,-0.0013795210668718916,0.0015022130505224951
UP_CONTINUE_LONG,5,BTCUSDT,0.0004,227,-0.0004482913176696343,-0.0006112676056337248,-0.0005132869564695329,-0.0004921878537979667,0.28193832599118945,0.42790565005541775,-0.0017795210668718915,0.0011022130505224951
UP_CONTINUE_LONG,5,BTCUSDT,0.0006,227,-0.0006482913176696344,-0.0008112676056337248,-0.000713286956469533,-0.0006921878537979667,0.2422907488986784,0.3035910638024927,-0.0019795210668718914,0.0009022130505224952
UP_CONTINUE_LONG,5,ETHUSDT,0.0,312,-0.00011644134635336255,-0.0003605925469771787,-0.0002424306287454099,-0.00016170566722782122,0.3814102564102564,0.858127239572928,-0.002243861358674082,0.0021723615143224525
UP_CONTINUE_LONG,5,ETHUSDT,0.0004,312,-0.0005164413463533626,-0.0007605925469771787,-0.0006424306287454099,-0.0005617056672278213,0.28205128205128205,0.5261686838864059,-0.002643861358674082,0.0017723615143224525
UP_CONTINUE_LONG,5,ETHUSDT,0.0006,312,-0.0007164413463533624,-0.0009605925469771786,-0.0008424306287454098,-0.0007617056672278211,0.23717948717948717,0.421765406469045,-0.002843861358674082,0.0015723615143224527
UP_CONTINUE_LONG,5,SOLUSDT,0.0,324,-0.0001357454142302741,-0.0003576896646514949,-0.00023883622908008544,-0.00018206347228780275,0.4104938271604938,0.856707577582721,-0.0027716261432011334,0.0028063836133562555
UP_CONTINUE_LONG,5,SOLUSDT,0.0004,324,-0.0005357454142302741,-0.0007576896646514948,-0.0006388362290800857,-0.0005820634722878028,0.33024691358024694,0.5523066112289681,-0.0031716261432011335,0.0024063836133562553
UP_CONTINUE_LONG,5,SOLUSDT,0.0006,324,-0.000735745414230274,-0.0009576896646514948,-0.0008388362290800853,-0.0007820634722878027,0.2839506172839506,0.4484166017553939,-0.003371626143201133,0.0022063836133562557
UP_CONTINUE_LONG,15,BNBUSDT,0.0,305,6.158601696451503e-05,-0.00019345477994514582,-2.56634554019065e-05,2.3036542711783355e-05,0.4721311475409836,1.0758740878682578,-0.0023979483883806775,0.0025567514829148365
UP_CONTINUE_LONG,15,BNBUSDT,0.0004,305,-0.00033841398303548507,-0.0005934547799451458,-0.00042566345540190657,-0.00037696345728821675,0.39672131147540984,0.673757888451567,-0.0027979483883806776,0.0021567514829148363
UP_CONTINUE_LONG,15,BNBUSDT,0.0006,305,-0.0005384139830354848,-0.0007934547799451458,-0.0006256634554019064,-0.0005769634572882165,0.3475409836065574,0.5375053354589509,-0.0029979483883806773,0.0019567514829148367
UP_CONTINUE_LONG,15,BTCUSDT,0.0,227,6.674564608543769e-05,-0.0001602820964897722,2.3684896573283605e-05,3.1293180134291964e-05,0.4713656387665198,1.0846767688167218,-0.0022828163051125338,0.0027682443387540005
UP_CONTINUE_LONG,15,BTCUSDT,0.0004,227,-0.0003332543539145623,-0.0005602820964897722,-0.0003763151034267165,-0.00036870681986570804,0.3744493392070485,0.671781087285344,-0.002682816305112534,0.0023682443387540004
