variant,symbol,period,year,signal_time,entry_time,exit_time,return_z,prior_extreme_count_60m,entry_price,gross_return,mfe,mae,time_to_mfe_bars,time_to_mae_bars,path_return_1,path_return_2,path_return_3,path_return_4,path_return_5,path_return_6,net_4bps,net_5bps,net_8bps,low_return_1,high_return_1,close_return_1,low_return_2,high_return_2,close_return_2,low_return_3,high_return_3,close_return_3,low_return_4,high_return_4,close_return_4,low_return_5,high_return_5,close_return_5,low_return_6,high_return_6,close_return_6,worst_intrabar_return,best_intrabar_return,intrabar_mae,intrabar_mfe
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,5.031773885305235,0.0,302.42,-0.0079029164737782,0.0010581310759869,0.0217247536538588,1,4,-0.0114741088552344,-0.0076714503009059,-0.0140863699490774,-0.0164010316777991,-0.0100522452218769,-0.0079029164737782,-0.0083029164737782,-0.0085029164737782,-0.0087029164737782,-0.020798888962370254,0.0010581310759869567,-0.011474108855234477,-0.01726076317703862,-0.0033397262085840262,-0.007671450300905991,-0.019740757886383298,-0.0067786522055419685,-0.014086369949077415,-0.02172475365385884,-0.011970107797103391,-0.01640103167779916,-0.017293829773163183,-0.010052245221876976,-0.010052245221876976,-0.010978109913365452,-0.004199457707823706,-0.007902916473778276,-0.02172475365385884,0.0010581310759869567,0.02172475365385884,0.0010581310759869567
C2_CANONICAL,BTCUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,11.332817139481628,0.0,47982.6,-0.0418651761263456,0.0024467202694309,0.0743061026288696,1,3,-0.0299858698778305,-0.0388182382780424,-0.0434136541162838,-0.0432573474551191,-0.0360255592652336,-0.0418651761263456,-0.0422651761263456,-0.0424651761263456,-0.0426651761263456,-0.0506975445265575,0.0024467202694309353,-0.029985869877830584,-0.04120243588300754,-0.029985869877830584,-0.03881823827804243,-0.07430610262886972,-0.03747191690321072,-0.04341365411628384,-0.0508434307436445,-0.03927256963982784,-0.04325734745511911,-0.04335529962944895,-0.03533155768966245,-0.03602555926523365,-0.042256984823665245,-0.03449166989700436,-0.04186517612634566,-0.07430610262886972,0.0024467202694309353,0.07430610262886972,0.0024467202694309353
C2_CANONICAL,SOLUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,13.189724528534931,0.0,105.506,-0.0614751767671981,0.001601804636703,0.0856728527287547,1,1,-0.0544044888442363,-0.0565086345800238,-0.0648873049873941,-0.0661289405341877,-0.0538831914772619,-0.0614751767671981,-0.0618751767671981,-0.0620751767671981,-0.0622751767671981,-0.0856728527287548,0.001601804636703008,-0.05440448884423632,-0.06968324076355847,-0.04261369021667005,-0.056508634580023864,-0.08206168369571398,-0.054518226451576224,-0.06488730498739415,-0.07787234849202884,-0.058631736583701466,-0.06612894053418772,-0.06790135158190058,-0.05334293784239763,-0.05388319147726195,-0.0616457831782079,-0.05011089416715642,-0.06147517676719816,-0.0856728527287548,0.001601804636703008,0.0856728527287548,0.001601804636703008
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-11 08:45:00+00:00,2024-01-11 08:50:00+00:00,2024-01-11 09:20:00+00:00,5.937498409289188,0.0,314.9,-0.0060971737059383,0.0060654175928867,0.0073039060019052,1,5,0.0023817084788821,-0.0012384884090187,-0.0027310257224514,-0.004255319148936,-0.0061924420450936,-0.0060971737059383,-0.0064971737059383,-0.0066971737059383,-0.0068971737059383,-0.001047951730708152,0.006065417592886702,0.002381708478882194,-0.0031756113051762958,0.004064782470625694,-0.0012384884090187454,-0.004191806922832608,-0.0007621467132421511,-0.00273102572245143,-0.004445855827246659,-0.0007303906001904226,-0.004255319148936065,-0.007303906001905225,-0.004191806922832608,-0.006192442045093616,-0.007081613210542903,-0.004699904731660709,-0.006097173705938319,-0.007303906001905225,0.006065417592886702,0.007303906001905225,0.006065417592886702
C2_CANONICAL,ETHUSDT,2024-01,2024,2024-01-12 14:25:00+00:00,2024-01-12 14:30:00+00:00,2024-01-12 15:00:00+00:00,4.578959802238864,0.0,2696.82,0.0035671642897932,0.0068970120363984,0.0096446926379959,6,2,-0.0076275020208987,-0.0079204396288963,-0.002766220956534,-0.0057734665272433,-0.0009640984567009,0.0035671642897932,0.0031671642897932,0.0029671642897932,0.0027671642897932,-0.008068762468388724,0.00043755237650255907,-0.007627502020898791,-0.009644692637995944,-0.003693238703361801,-0.007920439628896325,-0.009199724119518526,-0.0005339622221728346,-0.0027662209565340046,-0.006978589598119367,-0.0002781053240483722,-0.0057734665272433094,-0.006963757314170094,-8.157756172089137e-05,-0.0009640984567009792,-0.002406538070764963,0.0068970120363984755,0.003567164289793201,-0.009644692637995944,0.0068970120363984755,0.009644692637995944,0.0068970120363984755
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,6.183463005544957,0.0,294.04,0.0059175622364302,0.0088423343762751,0.0062236430417631,6,2,0.0005101346755542,-0.0003060808053326,0.0043191402530267,0.0049993198204325,0.0042511222962862,0.0059175622364302,0.0055175622364302,0.0053175622364302,0.0051175622364302,-0.0007822065025167024,0.001360359134811473,0.0005101346755542746,-0.006223643041763149,0.0009182424159976943,-0.0003060808053326758,-0.0015304040266631569,0.004387158209767206,0.00431914025302671,0.0033668888586584345,0.006733777717317313,0.004999319820432557,0.0034008978370290155,0.0060535981499114655,0.004251122296286214,0.0034349068153991524,0.00884233437627513,0.005917562236430252,-0.006223643041763149,0.00884233437627513,0.006223643041763149,0.00884233437627513
C2_CANONICAL,BTCUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,4.595812698250505,0.0,42350.0,0.0076151121605667,0.0079338842975207,0.0066115702479338,6,2,-0.0013671782762691,-0.0009563164108619,0.0029846517119245,0.0033742621015349,0.0039645808736719,0.0076151121605667,0.0072151121605667,0.0070151121605667,0.0068151121605667,-0.002639905548996513,0.0011806375442739991,-0.0013671782762691986,-0.006611570247933907,0.00012750885478163276,-0.0009563164108619127,-0.00323494687131054,0.0034663518299882234,0.002984651711924524,0.00029279811097993047,0.004415584415584428,0.0033742621015349084,0.001659976387249129,0.0053695395513577715,0.003964580873671908,0.003256198347107553,0.007933884297520732,0.0076151121605667615,-0.006611570247933907,0.007933884297520732,0.006611570247933907,0.007933884297520732
C2_CANONICAL,SOLUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,4.970843526945549,0.0,89.906,0.0069850732987786,0.013703201121171,0.0112784463773275,3,2,-0.0028807865993371,-0.0029364002402509,0.0054278913531911,0.0035036593775721,0.0036816230284963,0.0069850732987786,0.0065850732987786,0.0063850732987786,0.0061850732987786,-0.004515827642204151,0.00015571819455861835,-0.002880786599337104,-0.011278446377327556,-0.0024358774720264487,-0.0029364002402509914,-0.00664026872511303,0.013703201121171071,0.0054278913531911055,0.0011233955464595713,0.006273218695081351,0.0035036593775721325,0.0012679910128354788,0.005772695926856919,0.0036816230284963947,0.0018574956065222636,0.008742464351656043,0.006985073298778621,-0.011278446377327556,0.013703201121171071,0.011278446377327556,0.013703201121171071
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-15 12:20:00+00:00,2024-01-15 12:25:00+00:00,2024-01-15 12:55:00+00:00,10.0509548795886,0.0,319.4,-0.005729492798998,0.0088603631809645,0.0140889167188478,1,3,-0.0048215403882277,-0.0118033813400124,-0.0097370068879146,-0.0094239198497182,-0.0079837194740136,-0.005729492798998,-0.006129492798998,-0.006329492798998,-0.006529492798998,-0.008046336881653127,0.008860363180964503,-0.004821540388227796,-0.013462742642454506,-0.002442078897933575,-0.011803381340012464,-0.014088916718847821,-0.009142141515341096,-0.009737006887914679,-0.009830932999373765,-0.007013149655604067,-0.009423919849718243,-0.01208515967438939,-0.005792110206637391,-0.007983719474013662,-0.009486537257357486,-0.005729492798998037,-0.005729492798998037,-0.014088916718847821,0.008860363180964503,0.014088916718847821,0.008860363180964503
C2_CANONICAL,BNBUSDT,2024-01,2024,2024-01-17 11:35:00+00:00,2024-01-17 11:40:00+00:00,2024-01-17 12:10:00+00:00,7.722781015636249,0.0,312.73,0.0018226585233267,0.0057877402231958,0.0053400697086944,5,1,0.0002877881878935,0.0005116234451443,0.002334281968471,0.0004796469798227,0.005563904965945,0.0018226585233267,0.0014226585233267,0.0012226585233267,0.0010226585233267,-0.005340069708694495,0.003805199373261292,0.0002877881878935451,-0.0011831292168963392,0.0037412464426180847,0.0005116234451443269,-0.0001918587919291781,0.004029034630511852,0.0023342819684710747,-0.0007354587023951087,0.003005787740223198,0.0004796469798227232,-0.00047964697982294524,0.005787740223195836,0.005563904965945055,0.0014389409394686137,0.005595881431266658,0.0018226585233267478,-0.005340069708694495,0.005787740223195836,0.005340069708694495,0.005787740223195836
