state,regime_group,samples,mean_return,median_return,win_rate,profit_factor
BASE,FEB_JUN,433,0.0011310907620843153,-3.1588091289558307e-05,0.4942263279445728,1.6249830450359963
BASE,JULY,103,-0.0013046635556400387,-0.001131498957620436,0.34951456310679613,0.4297014456038138
BEAR_BREADTH_MAJORITY,FEB_JUN,329,0.001258985097041077,4.8696160307670766e-05,0.5015197568389058,1.6723578441220823
BEAR_BREADTH_MAJORITY,JULY,75,-0.0009468873658716588,-0.0007496275534681907,0.4,0.5568311627694457
BEAR_BREADTH_MINORITY,FEB_JUN,104,0.0007265019524614827,-0.0001166086834165081,0.47115384615384615,1.4508372306220076
BEAR_BREADTH_MINORITY,JULY,28,-0.0022629926353767704,-0.001728291098229806,0.21428571428571427,0.15945751429745356
1H_DOWN_MAJORITY,FEB_JUN,410,0.0011864351419461757,8.238638543522914e-05,0.5024390243902439,1.6553432358920332
1H_DOWN_MAJORITY,JULY,94,-0.001219296140653798,-0.0008354935643477557,0.3617021276595745,0.44840355677938676
1H_DOWN_MINORITY,FEB_JUN,23,0.00014451703411202097,-0.0011875074219213078,0.34782608695652173,1.0803341121711199
1H_DOWN_MINORITY,JULY,9,-0.0021962787788296634,-0.0025864463268990834,0.2222222222222222,0.2901465994036811
6H_DOWN_MAJORITY,FEB_JUN,351,0.0010441158255505216,4.8696160307670766e-05,0.5014245014245015,1.5767070587469096
6H_DOWN_MAJORITY,JULY,85,-0.0013656887469355476,-0.0007559376263559514,0.3764705882352941,0.40561133783997555
6H_DOWN_MINORITY,FEB_JUN,82,0.0015033859172472613,-0.00039056828549699496,0.4634146341463415,1.8320411014638351
6H_DOWN_MINORITY,JULY,18,-0.0010164890411890244,-0.0019466571481043804,0.2222222222222222,0.5463511176026844
24H_DOWN_MAJORITY,FEB_JUN,252,0.0009260910939771366,-0.00020405329392492177,0.4722222222222222,1.4415608024892521
24H_DOWN_MAJORITY,JULY,67,-0.0011621046343306721,-0.0005971686285384248,0.373134328358209,0.49502544554389244
24H_DOWN_MINORITY,FEB_JUN,181,0.0014165046646423764,0.0003263748540727196,0.5248618784530387,2.004975008160732
24H_DOWN_MINORITY,JULY,36,-0.0015699815480769153,-0.0014966253187164713,0.3055555555555556,0.30603085897618937
MARKET_1H_DOWN,FEB_JUN,411,0.0011759392044323072,0.0,0.49878345498783455,1.6489136311390602
MARKET_1H_DOWN,JULY,97,-0.0012313991498398417,-0.0007586584096401783,0.36082474226804123,0.45169865188219493
MARKET_1H_UP,FEB_JUN,22,0.0002932403164013775,-0.0007699755154719212,0.4090909090909091,1.1660959590222393
MARKET_1H_UP,JULY,6,-0.0024891047827432233,-0.0032256921561061858,0.16666666666666666,0.16025560715109474
MARKET_6H_DOWN,FEB_JUN,358,0.0009510788477336458,-4.827476022045696e-05,0.49162011173184356,1.514899592463112
MARKET_6H_DOWN,JULY,85,-0.0013253769377329033,-0.0007559376263559514,0.3764705882352941,0.4128548376574164
MARKET_6H_UP,FEB_JUN,75,0.001990347633251511,0.00011607661056278751,0.5066666666666667,2.2198377811294936
MARKET_6H_UP,JULY,18,-0.0012068503624237331,-0.0017237540868111356,0.2222222222222222,0.5035696751059321
MARKET_24H_DOWN,FEB_JUN,249,0.0009711317492696679,-0.00016562830460309375,0.4779116465863454,1.461182768598797
MARKET_24H_DOWN,JULY,69,-0.0010310197754392757,-0.0005971686285384248,0.37681159420289856,0.5285314210241776
MARKET_24H_UP,FEB_JUN,184,0.001347557034860659,0.0002120741216956601,0.5163043478260869,1.9561886337145145
MARKET_24H_UP,JULY,34,-0.0018599994625180577,-0.0014966253187164713,0.29411764705882354,0.25372254246013504
VOL_EXPANSION_MAJORITY,FEB_JUN,65,0.0005983208994878894,-0.0009048363804148307,0.4153846153846154,1.2973970817935832
VOL_EXPANSION_MAJORITY,JULY,23,-0.0007019232878941196,-0.0009123287190553331,0.43478260869565216,0.7029859884716966
VOL_EXPANSION_MINORITY,FEB_JUN,368,0.0012251941345537928,0.0001397648822442088,0.5081521739130435,1.6905989791356169
VOL_EXPANSION_MINORITY,JULY,80,-0.0014779513826169905,-0.001145571666672618,0.325,0.3477579950874791
