minutes,bootstrap_runs,mean_ci_low,mean_ci_high,pf_ci_low,pf_ci_high,prob_mean_gt_0,prob_pf_gt_1,prob_pf_ge_1_08
60,5000,-0.00019747822992088646,0.0009504396395972579,0.9484540957444565,1.2979152119558914,0.899,0.899,0.64
120,5000,-0.00039275894980981234,0.0011269350020110236,0.9239964529895405,1.2762879336639592,0.8338,0.8338,0.5202
