fold,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor
2024_H2,BASE,0.0,551,5.504380248849515e-05,-0.0006824916740845,0.4591651542649728,1.0210678798433976
2024_H2,BASE,0.0004,551,-0.0003449561975115049,-0.0010824916740845001,0.42286751361161523,0.8784176365233697
2024_H2,BASE,0.0008,551,-0.000744956197511505,-0.0014824916740845,0.38656987295825773,0.7577946870160832
2024_H2,META_SELECTED,0.0,106,0.0009793959883211162,0.0001250209021452782,0.5188679245283019,1.4888307778041225
2024_H2,META_SELECTED,0.0004,106,0.000579395988321116,-0.0002749790978547218,0.4811320754716981,1.2626081409831516
2024_H2,META_SELECTED,0.0008,106,0.00017939598832111586,-0.0006749790978547219,0.4528301886792453,1.074115484404699
2025_H1,BASE,0.0,565,-0.00048322117630245586,-0.0005045742850159,0.4690265486725664,0.8217752073384093
2025_H1,BASE,0.0004,565,-0.0008832211763024558,-0.0009045742850159,0.4300884955752212,0.6986467408024896
2025_H1,BASE,0.0008,565,-0.0012832211763024561,-0.0013045742850159,0.39646017699115044,0.5946472260230078
2025_H1,META_SELECTED,0.0,222,-0.00028238246283154904,-0.0005074315661189,0.45495495495495497,0.8583915097061688
2025_H1,META_SELECTED,0.0004,222,-0.0006823824628315491,-0.0009074315661189,0.3963963963963964,0.6931569279146713
2025_H1,META_SELECTED,0.0008,222,-0.001082382462831549,-0.0013074315661189,0.35135135135135137,0.5622814542608457
2025_H2,BASE,0.0,552,-0.0005706845642214901,-0.00064356520075675,0.411231884057971,0.7774935345565366
2025_H2,BASE,0.0004,552,-0.00097068456422149,-0.00104356520075675,0.3804347826086957,0.6540202002199044
2025_H2,BASE,0.0008,552,-0.0013706845642214901,-0.0014435652007567502,0.34057971014492755,0.5522337237116405
2025_H2,META_SELECTED,0.0,140,-0.00020882518258233005,-0.00041780952752339996,0.45714285714285713,0.8779577950193221
2025_H2,META_SELECTED,0.0004,140,-0.00060882518258233,-0.0008178095275234,0.42857142857142855,0.684473228526994
2025_H2,META_SELECTED,0.0008,140,-0.0010088251825823302,-0.0012178095275234,0.35,0.535988704541382
2026_DEV,BASE,0.0,650,0.0006599679439859825,-0.00021415223490545,0.4753846153846154,1.370530436423809
2026_DEV,BASE,0.0004,650,0.00025996794398598254,-0.00061415223490545,0.4430769230769231,1.1303309960635175
2026_DEV,BASE,0.0008,650,-0.00014003205601401754,-0.00101415223490545,0.39692307692307693,0.9371576897574414
2026_DEV,META_SELECTED,0.0,154,0.0012115903551054687,0.0005039551795277999,0.5584415584415584,1.71149403687885
2026_DEV,META_SELECTED,0.0004,154,0.0008115903551054685,0.00010395517952779994,0.525974025974026,1.4300548892869436
2026_DEV,META_SELECTED,0.0008,154,0.0004115903551054684,-0.0002960448204722001,0.4675324675324675,1.1968398731808658
