strategy,cost,samples,mean_return,median_return,win_rate,profit_factor
BASE,0.0,2318,-5.553474775629881e-05,-0.0005024169105673,0.454702329594478,0.9767845290680782
BASE,0.0004,2318,-0.0004555347477562989,-0.0009024169105673,0.4201898188093184,0.8258827854589548
BASE,0.0008,2318,-0.000855534747756299,-0.0013024169105673,0.3809318377911993,0.7005014147779157
META_SELECTED,0.0,622,0.00031909398253721923,-5.555469119228329e-05,0.4919614147909968,1.1715641748859729
META_SELECTED,0.0004,622,-8.09060174627808e-05,-0.0004555546911922833,0.45016077170418006,0.9609390421463428
META_SELECTED,0.0008,622,-0.0004809060174627808,-0.0008555546911922833,0.3971061093247588,0.7911034462053065
