hypothesis,horizon_bars,minutes,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_CONTINUATION_LONG,1,5,2024,0.0,4624,0.00011430258406533808,2.9000641085685785e-05,9.341168059177638e-05,0.00011944895641310698,0.5038927335640139,1.085684375466889,-0.003976513850217411,0.004409636210141318
POS_CONTINUATION_LONG,1,5,2024,0.0004,4624,-0.000285697415934662,-0.00037099935891431423,-0.0003065883194082237,-0.00028055104358689324,0.4375,0.8151008500935261,-0.0043765138502174115,0.004009636210141318
POS_CONTINUATION_LONG,1,5,2024,0.0006,4624,-0.0004856974159346618,-0.0005709993589143142,-0.0005065883194082239,-0.0004805510435868929,0.40743944636678203,0.7075007848580769,-0.004576513850217411,0.0038096362101413183
POS_CONTINUATION_LONG,1,5,2025,0.0,4658,-3.847540075820362e-05,-6.422888162593843e-05,-8.403519831712842e-05,-6.983925957080171e-05,0.4875483039931301,0.9728762818670245,-0.003975669954571959,0.0039061889890967157
POS_CONTINUATION_LONG,1,5,2025,0.0004,4658,-0.00043847540075820366,-0.00046422888162593845,-0.0004840351983171284,-0.0004698392595708019,0.41713181623014167,0.7322481881461168,-0.004375669954571959,0.0035061889890967155
POS_CONTINUATION_LONG,1,5,2025,0.0006,4658,-0.0006384754007582035,-0.0006642288816259384,-0.0006840351983171284,-0.0006698392595708016,0.3853585229712323,0.6367163648046434,-0.004575669954571959,0.003306188989096716
POS_CONTINUATION_LONG,1,5,2026,0.0,2738,-0.00010955671316177042,-0.00015180671245479394,-0.00017213722952392056,-0.00014436941217985276,0.46530314097881664,0.904974333277988,-0.0033693688838263183,0.0031845132457894213
POS_CONTINUATION_LONG,1,5,2026,0.0004,2738,-0.0005095567131617705,-0.0005518067124547939,-0.0005721372295239207,-0.0005443694121798528,0.38093498904309714,0.6318016655206199,-0.0037693688838263185,0.002784513245789421
POS_CONTINUATION_LONG,1,5,2026,0.0006,2738,-0.0007095567131617704,-0.0007518067124547939,-0.0007721372295239204,-0.0007443694121798527,0.33929875821767713,0.5307711042793478,-0.003969368883826318,0.0025845132457894215
POS_CONTINUATION_LONG,3,15,2024,0.0,4624,0.00021200618920280763,8.509932315881041e-05,0.0001565352127175511,0.0002444111919112203,0.5073529411764706,1.0993444433412125,-0.006354759373992302,0.007384231817836004
POS_CONTINUATION_LONG,3,15,2024,0.0004,4624,-0.00018799381079719234,-0.0003149006768411896,-0.00024346478728244858,-0.00015558880808877977,0.4610726643598616,0.9196425125339439,-0.006754759373992302,0.006984231817836004
POS_CONTINUATION_LONG,3,15,2024,0.0006,4624,-0.00038799381079719235,-0.0005149006768411895,-0.0004434647872824494,-0.0003555888080887796,0.44182525951557095,0.8415982846614959,-0.006954759373992302,0.006784231817836005
POS_CONTINUATION_LONG,3,15,2025,0.0,4658,6.461436906022346e-05,-9.680364315711731e-05,-5.266840196565025e-05,-2.0397118492093868e-05,0.4892657793044225,1.030030806061097,-0.006409317205366582,0.006400473644655348
POS_CONTINUATION_LONG,3,15,2025,0.0004,4658,-0.00033538563093977655,-0.0004968036431571173,-0.00045266840196565026,-0.00042039711849209394,0.4450407900386432,0.8581360584965377,-0.006809317205366582,0.006000473644655347
POS_CONTINUATION_LONG,3,15,2025,0.0006,4658,-0.0005353856309397764,-0.0006968036431571173,-0.0006526684019656511,-0.0006203971184920938,0.42121082009446115,0.7839024126613757,-0.0070093172053665815,0.005800473644655348
POS_CONTINUATION_LONG,3,15,2026,0.0,2738,-0.0001755603359011031,-0.0002827869973479613,-0.0002449572515087985,-0.00022747306970359805,0.45836376917458,0.9044092367739367,-0.00550042690221978,0.004852112524795739
POS_CONTINUATION_LONG,3,15,2026,0.0004,2738,-0.0005755603359011032,-0.0006827869973479613,-0.0006449572515087986,-0.0006274730697035982,0.4185536888239591,0.7207781426081675,-0.00590042690221978,0.004452112524795739
POS_CONTINUATION_LONG,3,15,2026,0.0006,2738,-0.0007755603359011031,-0.0008827869973479613,-0.0008449572515087987,-0.0008274730697035979,0.3951789627465303,0.6442470766865641,-0.00610042690221978,0.00425211252479574
POS_CONTINUATION_LONG,6,30,2024,0.0,4624,0.0005024937099616259,5.648216168185893e-05,0.00040590773221835697,0.0005137394911760699,0.5056228373702422,1.1801223379041257,-0.008320274091727586,0.010207120187176642
POS_CONTINUATION_LONG,6,30,2024,0.0004,4624,0.00010249370996162596,-0.0003435178383181411,5.907732218356627e-06,0.00011373949117606995,0.4742647058823529,1.0342304427701305,-0.008720274091727586,0.009807120187176643
POS_CONTINUATION_LONG,6,30,2024,0.0006,4624,-9.750629003837428e-05,-0.000543517838318141,-0.00019409226778164417,-8.626050882392999e-05,0.4593425605536332,0.9685558272253952,-0.008920274091727586,0.009607120187176642
POS_CONTINUATION_LONG,6,30,2025,0.0,4658,0.0001494957981261149,-6.256196611525988e-05,-6.994699114136631e-05,1.6537551004343268e-05,0.4944182052382997,1.053168566184012,-0.008724276968796851,0.008390624115802537
POS_CONTINUATION_LONG,6,30,2025,0.0004,4658,-0.000250504201873885,-0.0004625619661152599,-0.0004699469911413663,-0.0003834624489956568,0.4617861743237441,0.9170664018038727,-0.00912427696879685,0.007990624115802538
POS_CONTINUATION_LONG,6,30,2025,0.0006,4658,-0.0004505042018738853,-0.0006625619661152598,-0.0006699469911413669,-0.0005834624489956567,0.4454701588664663,0.8560477829915341,-0.009324276968796851,0.007790624115802536
POS_CONTINUATION_LONG,6,30,2026,0.0,2738,-8.538534309425416e-05,-0.0002099482402056485,-0.00022631472288956982,-0.00020418035813782727,0.47114682249817386,0.9633788026077592,-0.007145090534007659,0.006677177667299717
POS_CONTINUATION_LONG,6,30,2026,0.0004,2738,-0.0004853853430942542,-0.0006099482402056485,-0.00062631472288957,-0.0006041803581378273,0.4393718042366691,0.8096067362698147,-0.007545090534007659,0.0062771776672997165
POS_CONTINUATION_LONG,6,30,2026,0.0006,2738,-0.000685385343094254,-0.0008099482402056485,-0.00082631472288957,-0.000804180358137827,0.42585829072315556,0.742618996711662,-0.007745090534007659,0.006077177667299717
