hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
BUY_CONTINUE_LONG,5,249463,-0.0006066923585494844,-0.0006253026929527119,-0.0006218093966253605,0.2887642656426003,0.3784420889813984,0,3,0.31635283284998394,0.38325099416975444,0,4,0.28110533782317787,0.35723686418259554,0,31,0.3878151916630851,False
BUY_CONTINUE_LONG,15,249463,-0.0006313700731612034,-0.0006591503944887131,-0.0006549524665697144,0.36266700873476226,0.5485332547711831,0,3,0.4750074511932751,0.5492984920379902,0,4,0.44838632720038757,0.5338689966581933,0,31,0.5547227122371031,False
BUY_CONTINUE_LONG,30,249463,-0.000651648106688669,-0.0006778413660704245,-0.000675092972238733,0.3985120037841283,0.6407828734352572,0,3,0.5732125532402976,0.6327916957653353,0,4,0.5559349047787204,0.6274130129063276,0,31,0.6373302937576092,False
BUY_CONTINUE_LONG,60,249463,-0.0006409177350197013,-0.000660772921872907,-0.0006572397569601282,0.42910972769508904,0.7323177347343625,0,3,0.6576340059396086,0.7351177009520247,0,4,0.6696518731321932,0.7212971322039295,1,31,0.7256575760556362,False
BUY_REVERSE_SHORT,5,249463,-0.0005933076414505154,-0.0005746973070472879,-0.0005781906033746392,0.3036362105803265,0.3804302745519308,0,3,0.33394756123537944,0.3846423583757601,0,4,0.27923182314990436,0.35324030762510983,0,31,0.373166239002285,False
BUY_REVERSE_SHORT,15,249463,-0.0005686299268387963,-0.000540849605511287,-0.0005450475334302854,0.3854319077378208,0.579440428466304,0,3,0.559752917194952,0.5842128506082761,0,4,0.4755627496537182,0.5550547045143392,0,31,0.5746803526938098,False
BUY_REVERSE_SHORT,30,249463,-0.000548351893311331,-0.000522158633929576,-0.0005249070277612668,0.4177252738883121,0.6867860195845661,0,3,0.6776645554628726,0.6788994718912963,0,4,0.5911602598479195,0.6674346067725025,0,31,0.7006329490965014,False
BUY_REVERSE_SHORT,60,249463,-0.000559082264980299,-0.0005392270781270935,-0.000542760243039872,0.43651363127998943,0.7620052770384601,0,3,0.7526724242491699,0.7620721382760427,0,4,0.678360064019476,0.7455545473645104,0,31,0.7636694699731368,False
SELL_CONTINUE_SHORT,5,257660,-0.0006113342038988836,-0.0006306864998305884,-0.0006215249593900752,0.2884188465419545,0.3937326559373612,0,3,0.3419124102274616,0.39991399764962154,0,4,0.2849229477809065,0.37495895832299964,0,31,0.37300132172375416,False
SELL_CONTINUE_SHORT,15,257660,-0.0006374243477874789,-0.0006705699073887486,-0.0006552900768137051,0.3608126989055344,0.5611865087316226,0,3,0.513387778108412,0.5684876778609405,0,4,0.4493011435848667,0.5516944753619104,0,31,0.5380429965947356,False
SELL_CONTINUE_SHORT,30,257660,-0.0006801954240663907,-0.000716341963591536,-0.0007005470123135341,0.391228751067298,0.6416749983150672,0,3,0.6074089054439199,0.6428882389202815,0,4,0.5477582415668003,0.6307703569825852,0,31,0.6137627975258018,False
SELL_CONTINUE_SHORT,60,257660,-0.0007229474391379399,-0.0007649916502160752,-0.0007429917069592026,0.41472483117286346,0.7132974743488696,0,3,0.7009125339760104,0.7014517803361103,0,4,0.6389606008497419,0.7094934621690041,0,31,0.668966847535138,False
SELL_REVERSE_LONG,5,257660,-0.000588665796101116,-0.0005693135001694115,-0.0005784750406099247,0.31170922921679733,0.39876396950915255,0,3,0.33180051800698396,0.39674790357891637,0,4,0.29141036400245207,0.37292705880728294,0,31,0.39302911420287706,False
SELL_REVERSE_LONG,15,257660,-0.0005625756522125207,-0.0005294300926112517,-0.0005447099231862951,0.39461693704882406,0.5960674877390194,0,3,0.5456200939350785,0.5835179600153864,0,4,0.49605554275300506,0.569169406146123,0,31,0.5920684712197546,False
SELL_REVERSE_LONG,30,257660,-0.0005198045759336092,-0.0004836580364084649,-0.0004994529876864657,0.4307071334316541,0.7101626038196007,0,3,0.6622615184791546,0.6999111346697124,0,4,0.6219272766749799,0.6891463280239442,0,31,0.7044989778782392,False
SELL_REVERSE_LONG,60,257660,-0.00047705256086206035,-0.0004350083497839259,-0.0004570082930407981,0.45531320344640225,0.7989899171065648,0,3,0.7409886568842791,0.783889995945751,0,4,0.7282864108674283,0.7759081698742334,1,31,0.7998541525989757,False
