hypothesis,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_CONTINUE_LONG,5,BNBUSDT,0.0,21529,5.1438378591763304e-05,1.642036124782642e-05,2.6555090045753686e-05,3.3351151333913804e-05,0.5028566120117052,1.0810748284599434,-0.0019424884536048735,0.0020249645057686116
HIGH_CONTINUE_LONG,5,BNBUSDT,0.0004,21529,-0.0003485616214082367,-0.0003835796387521736,-0.00037344490995424646,-0.00036664884866608626,0.3741465000696735,0.5941579872945094,-0.002342488453604874,0.0016249645057686117
HIGH_CONTINUE_LONG,5,BNBUSDT,0.0006,21529,-0.0005485616214082365,-0.0005835796387521735,-0.0005734449099542462,-0.0005666488486660861,0.31998699428677596,0.4456405040132077,-0.0025424884536048736,0.0014249645057686118
HIGH_CONTINUE_LONG,5,BTCUSDT,0.0,20537,1.9080763746204407e-06,-4.4215227092525566e-05,-2.6804315177824838e-05,-1.5087656170506717e-05,0.4823489311973511,1.0032112848685406,-0.0017877603252936859,0.0017908426538090006
HIGH_CONTINUE_LONG,5,BTCUSDT,0.0004,20537,-0.00039809192362537957,-0.0004442152270925256,-0.00042680431517782473,-0.00041508765617050673,0.3492233529726835,0.5195938290422096,-0.002187760325293686,0.0013908426538090006
HIGH_CONTINUE_LONG,5,BTCUSDT,0.0006,20537,-0.0005980919236253794,-0.0006442152270925255,-0.0006268043151778246,-0.0006150876561705065,0.29166869552514973,0.38007231430315336,-0.0023877603252936857,0.0011908426538090008
HIGH_CONTINUE_LONG,5,ETHUSDT,0.0,17613,1.898142180549436e-05,-6.842343844892795e-05,-3.9221152517532515e-05,-2.1061561904599914e-05,0.48180321353545674,1.0236854380430156,-0.002410555889703625,0.002466164671416583
HIGH_CONTINUE_LONG,5,ETHUSDT,0.0004,17613,-0.0003810185781945057,-0.00046842343844892797,-0.0004392211525175327,-0.00042106156190459997,0.38011695906432746,0.6297344435406832,-0.002810555889703625,0.002066164671416583
HIGH_CONTINUE_LONG,5,ETHUSDT,0.0006,17613,-0.0005810185781945055,-0.0006684234384489279,-0.0006392211525175325,-0.0006210615619045997,0.33225458468176916,0.4982318615610063,-0.003010555889703625,0.0018661646714165834
HIGH_CONTINUE_LONG,5,SOLUSDT,0.0,18863,1.736979923444632e-05,-8.980691513238437e-05,-3.5343477769494726e-05,-1.7404833337507213e-05,0.4776016540317023,1.0165233255026205,-0.003222953888637736,0.003244878176709284
HIGH_CONTINUE_LONG,5,SOLUSDT,0.0004,18863,-0.0003826302007655538,-0.0004898069151323843,-0.0004353434777694948,-0.00041740483333750725,0.40698722366537665,0.6995220085695346,-0.0036229538886377362,0.002844878176709284
HIGH_CONTINUE_LONG,5,SOLUSDT,0.0006,18863,-0.0005826302007655535,-0.0006898069151323843,-0.000635343477769495,-0.0006174048333375071,0.37120288395271167,0.5825238263589456,-0.003822953888637736,0.002644878176709284
HIGH_CONTINUE_LONG,15,BNBUSDT,0.0,21529,5.433143929512146e-05,2.4924603075904272e-05,1.5915685541234863e-05,2.7440043723420024e-05,0.5034604486971063,1.048779447524759,-0.003461668215490299,0.00351729253405928
HIGH_CONTINUE_LONG,15,BNBUSDT,0.0004,21529,-0.0003456685607048786,-0.00037507539692409575,-0.00038408431445876516,-0.00037255995627658007,0.42853825073157137,0.7395654814230352,-0.003861668215490299,0.0031172925340592797
HIGH_CONTINUE_LONG,15,BNBUSDT,0.0006,21529,-0.0005456685607048784,-0.0005750753969240957,-0.0005840843144587649,-0.0005725599562765798,0.3918900088253054,0.6224821416776869,-0.004061668215490298,0.00291729253405928
HIGH_CONTINUE_LONG,15,BTCUSDT,0.0,20537,-7.302254438372644e-06,-6.203317611808146e-05,-3.994265397150344e-05,-2.6415350237348604e-05,0.4873155767638896,0.992815620959572,-0.003023459304649201,0.003023133714350215
HIGH_CONTINUE_LONG,15,BTCUSDT,0.0004,20537,-0.0004073022544383727,-0.0004620331761180815,-0.00043994265397150344,-0.0004264153502373486,0.40638846959146907,0.6709283617654818,-0.003423459304649201,0.002623133714350215
HIGH_CONTINUE_LONG,15,BTCUSDT,0.0006,20537,-0.0006073022544383725,-0.0006620331761180814,-0.0006399426539715033,-0.0006264153502373484,0.36743438671665773,0.5535536052901496,-0.0036234593046492007,0.0024231337143502153
HIGH_CONTINUE_LONG,15,ETHUSDT,0.0,17613,4.520999014974331e-05,-9.215394487149808e-05,-3.0011621193980113e-05,4.196453216133194e-06,0.48634531312099016,1.0332519985260287,-0.004079559032522528,0.004242327404914153
HIGH_CONTINUE_LONG,15,ETHUSDT,0.0004,17613,-0.00035479000985025674,-0.000492153944871498,-0.00043001162119397983,-0.00039580354678386695,0.42621926985749164,0.7750436069657201,-0.004479559032522528,0.003842327404914153
