hypothesis,state,side,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,5,0.0,3935,7.797806615876816e-06,-5.389019872015233e-05,-3.611344157449156e-05,-3.49045917994294e-05,0.4866581956797967,1.0072171657879438,-0.003321710432895441,0.0032583450000211343
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,5,0.0004,3935,-0.00039220219338412325,-0.00045389019872015235,-0.0004361134415744918,-0.00043490459179942946,0.4099110546378653,0.6985851864607688,-0.0037217104328954413,0.002858345000021134
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,5,0.0006,3935,-0.0005922021933841232,-0.0006538901987201523,-0.0006361134415744917,-0.0006349045917994293,0.37789072426937736,0.5836313794882738,-0.003921710432895441,0.0026583450000211345
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,15,0.0,3935,7.670881553348402e-05,-3.3586914538030754e-05,-3.0548281847945556e-05,-2.4722854502725144e-05,0.4940279542566709,1.044311983451852,-0.005394869561483339,0.0051437150502276815
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,15,0.0004,3935,-0.000323291184466516,-0.0004335869145380308,-0.00043054828184794537,-0.00042472285450272524,0.448284625158831,0.8336226369638465,-0.005794869561483339,0.004743715050227681
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,15,0.0006,3935,-0.000523291184466516,-0.0006335869145380307,-0.000630548281847946,-0.0006247228545027251,0.42363405336721727,0.7454738575747824,-0.005994869561483339,0.004543715050227682
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,30,0.0,3935,9.364061653100838e-06,-0.00012804097311147622,-6.2700763053353e-05,-5.008182869887927e-05,0.4841168996188056,1.0039566869652412,-0.007328923596817738,0.007270910038238809
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,30,0.0004,3935,-0.00039063593834689917,-0.0005280409731114762,-0.00046270076305335284,-0.0004500818286988793,0.44675984752223635,0.8486050057763825,-0.007728923596817738,0.006870910038238809
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,30,0.0006,3935,-0.0005906359383468994,-0.0007280409731114762,-0.0006627007630533537,-0.0006500818286988792,0.42795425667090214,0.7806572636436528,-0.007928923596817737,0.006670910038238809
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,60,0.0,3935,0.00012020790337638834,6.845815128764254e-05,7.774881374763853e-05,4.139643638143141e-05,0.5029224904701398,1.0391833383217095,-0.009258994240685547,0.009617985604993983
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,60,0.0004,3935,-0.0002797920966236114,-0.0003315418487123575,-0.0003222511862523613,-0.0003586035636185685,0.4780177890724269,0.9144634312267141,-0.009658994240685547,0.009217985604993983
ABS_UP_REVERSE_SHORT,ABSORPTION_UP,SHORT,60,0.0006,3935,-0.000479792096623612,-0.0005315418487123574,-0.0005222511862523627,-0.0005586035636185687,0.46429479034307497,0.8579149323997176,-0.009858994240685547,0.009017985604993983
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,5,0.0,3935,-7.797806615876816e-06,5.389019872015233e-05,3.611344157449156e-05,3.490459179942912e-05,0.5092757306226176,0.9928345484637389,-0.0032583450000211343,0.0033217104328954403
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,5,0.0004,3935,-0.0004077978066158769,-0.0003461098012798477,-0.00036388655842550853,-0.00036509540820057096,0.4320203303684879,0.6862961296921153,-0.0036583450000211345,0.00292171043289544
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,5,0.0006,3935,-0.0006077978066158766,-0.0005461098012798476,-0.0005638865584255083,-0.0005650954082005708,0.40101651842439645,0.5709639655484202,-0.003858345000021134,0.0027217104328954404
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,15,0.0,3935,-7.670881553348402e-05,3.3586914538030754e-05,3.0548281847945806e-05,2.4722854502724704e-05,0.5031766200762389,0.9575682514861279,-0.0051437150502276815,0.005394869561483339
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,15,0.0004,3935,-0.0004767088155334841,-0.00036641308546196926,-0.000369451718152054,-0.00037527714549727534,0.45209656925031766,0.763569697086711,-0.005543715050227682,0.004994869561483339
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,15,0.0006,3935,-0.0006767088155334841,-0.0005664130854619692,-0.000569451718152055,-0.000575277145497275,0.42820838627700125,0.6820513128665344,-0.005743715050227681,0.004794869561483339
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,30,0.0,3935,-9.364061653100838e-06,0.00012804097311147622,6.2700763053353e-05,5.008182869887881e-05,0.5138500635324015,0.9960589067072192,-0.007270910038238809,0.007328923596817737
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,30,0.0004,3935,-0.00040936406165310076,-0.0002719590268885238,-0.00033729923694664655,-0.0003499181713011212,0.4696315120711563,0.8412874851295739,-0.007670910038238809,0.006928923596817737
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,30,0.0006,3935,-0.000609364061653101,-0.00047195902688852373,-0.0005372992369466475,-0.0005499181713011212,0.45133418043202034,0.7732316497448939,-0.00787091003823881,0.006728923596817737
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,60,0.0,3935,-0.00012020790337638834,-6.845815128764254e-05,-7.774881374763853e-05,-4.1396436381431656e-05,0.4950444726810673,0.9622941045369425,-0.009617985604993983,0.009258994240685547
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,60,0.0004,3935,-0.0005202079033763882,-0.00046845815128764256,-0.00047774881374763834,-0.00044139643638143163,0.46810673443456163,0.8467873759871807,-0.010017985604993982,0.008858994240685548
ABS_UP_CONTINUE_LONG,ABSORPTION_UP,LONG,60,0.0006,3935,-0.0007202079033763887,-0.0006684581512876425,-0.0006777488137476388,-0.0006413964363814319,0.4526048284625159,0.7944398811590582,-0.010217985604993983,0.008658994240685548
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,5,0.0,3999,-1.581565960214853e-05,5.039475894519363e-05,1.7440010365433185e-05,1.5472310124698735e-05,0.5106276569142285,0.9851883772831888,-0.0032786521634669886,0.003305313343870165
