symbol,atr_bucket,samples,mean_return,median_return,win_rate,profit_factor,best_trade,worst_trade
BNBUSDT,<0.70,0.0,,,,,,
BNBUSDT,0.70-0.80,0.0,,,,,,
BNBUSDT,0.80-0.90,33.0,0.0005406706528866209,-0.0002933411557640708,0.45454545454545453,1.3780731775019186,0.013093573093573063,-0.00497611770668549
BNBUSDT,0.90-1.00,104.0,0.0006624138633394177,-0.0004827315065135118,0.4423076923076923,1.4701889830311983,0.033613170340550225,-0.01144714066429342
BNBUSDT,1.00-1.10,152.0,0.00013448178013494337,-0.00028395114415707967,0.42105263157894735,1.07714817280919,0.021004962986481468,-0.011212454788488757
BNBUSDT,1.10-1.20,99.0,-0.0009301901702923954,-0.0008928426486581875,0.36363636363636365,0.6363170861839916,0.01584861028976947,-0.06291523896851825
BNBUSDT,1.20-1.40,96.0,-0.0001584463590833876,-0.00039409502681891917,0.46875,0.9306788056667497,0.04002933551644139,-0.017419406964530926
BNBUSDT,>1.40,33.0,-0.0007910160754904435,-0.0008982127089486314,0.42424242424242425,0.7106723895423442,0.009685055020508537,-0.016814908936891082
BTCUSDT,<0.70,0.0,,,,,,
BTCUSDT,0.70-0.80,2.0,-0.0015450017116385717,-0.0015450017116385717,0.5,0.21252426580769318,0.0008339313585945529,-0.003923934781871696
BTCUSDT,0.80-0.90,23.0,0.0013470511194102572,0.0006505256137625537,0.5652173913043478,2.061971252885308,0.017091709558553214,-0.009767830278084477
BTCUSDT,0.90-1.00,102.0,5.040415601039042e-05,-0.0005035652622714659,0.43137254901960786,1.0286364704387132,0.023412828850827072,-0.011784871593201629
BTCUSDT,1.00-1.10,159.0,-0.00026410930656803805,-0.0005715146536047211,0.44654088050314467,0.8609993531074641,0.0207265908079588,-0.01272622468961171
BTCUSDT,1.10-1.20,97.0,-0.0010501291261147926,-0.000987794899556027,0.3711340206185567,0.640872144471434,0.014998593644285796,-0.06349107574840662
BTCUSDT,1.20-1.40,87.0,5.578878307267609e-05,-0.0005250200219498735,0.41379310344827586,1.028410470705237,0.01412027676518357,-0.019989606674453264
BTCUSDT,>1.40,50.0,-0.0004665134612562638,-0.0012877442038723985,0.44,0.8546299463056048,0.03601026290939813,-0.015659196422777688
ETHUSDT,<0.70,0.0,,,,,,
ETHUSDT,0.70-0.80,2.0,-0.004200409985705644,-0.004200409985705644,0.0,0.0,-0.0029978863822629487,-0.00540293358914834
ETHUSDT,0.80-0.90,20.0,0.0015146210595052279,-4.284232712342684e-05,0.5,1.9872952049781203,0.012835485619450582,-0.007374246570145515
ETHUSDT,0.90-1.00,123.0,0.0010577251553675422,-0.0004738981867158376,0.4715447154471545,1.4610295646695528,0.043706310703209406,-0.017097542060222404
ETHUSDT,1.00-1.10,144.0,0.0001796536461302954,-0.0006356658768594814,0.4027777777777778,1.0716944532236894,0.03358184834838074,-0.030448368240466817
ETHUSDT,1.10-1.20,106.0,0.0002591410614488842,-0.0016706138573970297,0.41509433962264153,1.1094568584846234,0.042772473011966516,-0.017108272737469843
ETHUSDT,1.20-1.40,104.0,-0.0025024183616654825,-0.0010570049375753232,0.3942307692307692,0.47789108863418495,0.028117483225724715,-0.07645478298583575
ETHUSDT,>1.40,55.0,-0.00031637771933343826,-0.0009116309323766725,0.38181818181818183,0.9021180916855496,0.021601220938574972,-0.02400042555660875
SOLUSDT,<0.70,0.0,,,,,,
SOLUSDT,0.70-0.80,0.0,,,,,,
SOLUSDT,0.80-0.90,17.0,-0.0006616573748290062,-0.0003883495145631244,0.4117647058823529,0.7653193225281673,0.014970930232558244,-0.011133970712816188
SOLUSDT,0.90-1.00,122.0,0.00065613603059381,0.00011939552702644463,0.5081967213114754,1.2940208056508862,0.021363173957273496,-0.032776934749620734
SOLUSDT,1.00-1.10,147.0,-7.854558759107347e-05,-0.0010734732824427828,0.41496598639455784,0.972937127280246,0.03537774838816343,-0.021394489764506752
SOLUSDT,1.10-1.20,105.0,-0.0003204822001436564,0.0,0.49523809523809526,0.8830936199499483,0.019167501072807847,-0.04237874147979859
SOLUSDT,1.20-1.40,78.0,0.000396395686276612,-0.0002474987184656885,0.47435897435897434,1.1243264239907798,0.04429892141756553,-0.022304832713754608
SOLUSDT,>1.40,37.0,-0.003469539065935591,-0.002625870533165986,0.32432432432432434,0.41764858002555605,0.027724786976980775,-0.08051779935275083
