threshold,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,BNBUSDT,0.0004,1937,0.00013600295185355233,-0.00024334437382510002,-9.116335198300702e-07,6.987263128530991e-05,0.47909137842023747,1.066796152950768,-0.00851466813282336,-0.00582259986435614,0.006614060188585082,0.009940868785495756
2.5,BNBUSDT,0.0006,1937,-6.399704814644753e-05,-0.0004433443738250999,-0.00020091163351982968,-0.00013012736871468997,0.45947341249354673,0.9701214973112561,-0.00871466813282336,-0.00602259986435614,0.0064140601885850825,0.009740868785495755
2.5,BTCUSDT,0.0004,2065,-0.0002648342446352123,-0.000444761375563418,-0.00037193033245306456,-0.00033005688735573513,0.45036319612590797,0.8802707872036315,-0.009099580116475499,-0.00650696581505788,0.006113743252850544,0.009195288789504898
2.5,BTCUSDT,0.0006,2065,-0.00046483424463521217,-0.0006447613755634179,-0.000571930332453064,-0.000530056887355735,0.426634382566586,0.8000175701648282,-0.0092995801164755,-0.006706965815057879,0.005913743252850544,0.008995288789504898
2.5,ETHUSDT,0.0004,2020,9.014963054696118e-05,-0.0005051658731089567,-0.0001954314159159129,-5.0912502259554696e-05,0.45891089108910893,1.0324082239797276,-0.01119643063057474,-0.0082648260447134,0.008772559954153453,0.013695946071870075
2.5,ETHUSDT,0.0006,2020,-0.00010985036945303868,-0.0007051658731089567,-0.0003954314159159124,-0.0002509125022595547,0.4415841584158416,0.9620089241839171,-0.01139643063057474,-0.008464826044713401,0.008572559954153453,0.013495946071870074
2.5,SOLUSDT,0.0004,1951,-1.4042864731613585e-05,-0.0005210653753025,-0.0001393334296396517,-3.481744000184459e-05,0.46437724243977446,0.995835771311528,-0.0138829174094545,-0.009978795433670098,0.0108423916935193,0.0157071015673025
2.5,SOLUSDT,0.0006,1951,-0.0002140428647316135,-0.0007210653753024999,-0.0003393334296396517,-0.00023481744000184457,0.45258841619682216,0.9385026754898642,-0.0140829174094545,-0.010178795433670099,0.0106423916935193,0.0155071015673025
3.0,BNBUSDT,0.0004,1075,0.0004390501517673635,-0.00013951549882780002,0.0002369345048658623,0.00036058174959023234,0.49116279069767443,1.2078801915485207,-0.00831235622866513,-0.00617494125148322,0.007728363824262359,0.01129387889932875
3.0,BNBUSDT,0.0006,1075,0.0002390501517673636,-0.00033951549882779995,3.693450486586233e-05,0.00016058174959023244,0.47255813953488374,1.10790513598124,-0.00851235622866513,-0.00637494125148322,0.0075283638242623595,0.01109387889932875
3.0,BTCUSDT,0.0004,1169,-0.0002464001439764003,-0.0005888937412052,-0.0003493352922552169,-0.00027051289251380135,0.4422583404619333,0.8992421090994541,-0.009584277233445779,-0.00675654390979102,0.0069957285660101395,0.01047864676550584
3.0,BTCUSDT,0.0006,1169,-0.00044640014397640026,-0.0007888937412052,-0.0005493352922552169,-0.0004705128925138012,0.42600513259195893,0.8255375691737464,-0.00978427723344578,-0.006956543909791019,0.00679572856601014,0.01027864676550584
3.0,ETHUSDT,0.0004,1189,5.0728145643197365e-05,-0.0006078490359633,-0.0002805775627346039,-8.918662137718106e-05,0.4482758620689655,1.016414061349541,-0.01209333401274338,-0.00910580965604426,0.00955344063420482,0.01539002938870549
3.0,ETHUSDT,0.0006,1189,-0.00014927185435680254,-0.0008078490359633,-0.00048057756273460424,-0.00028918662137718113,0.4280908326324643,0.9533877135403165,-0.01229333401274338,-0.00930580965604426,0.00935344063420482,0.015190029388705489
3.0,SOLUSDT,0.0004,1082,0.00041632660231901087,-0.00028328263056055,0.00018405170369948864,0.00029008775519938,0.48613678373382624,1.1162221959618037,-0.015055886786593944,-0.010911005468906979,0.012522440939648119,0.017548665458343805
3.0,SOLUSDT,0.0006,1082,0.00021632660231901089,-0.0004832826305605499,-1.594829630051122e-05,9.008775519938002e-05,0.4731977818853974,1.058688134718467,-0.015255886786593944,-0.01111100546890698,0.012322440939648118,0.017348665458343807
3.5,BNBUSDT,0.0004,621,0.0008878870666000189,1.4533919688500003e-05,0.0005510566234714244,0.0007393871598136578,0.500805152979066,1.4205471485385952,-0.0087886189026235,-0.0065742801977467,0.009188716769261801,0.0136634180550027
3.5,BNBUSDT,0.0006,621,0.0006878870666000191,-0.00018546608031149993,0.0003510566234714244,0.0005393871598136581,0.47987117552334946,1.3108733922222826,-0.0089886189026235,-0.0067742801977467,0.0089887167692618,0.0134634180550027
3.5,BTCUSDT,0.0004,725,4.840246072178091e-05,-0.0005333166034066,-0.0001238461005765955,-3.92016130517864e-05,0.45517241379310347,1.0190381929932375,-0.009798515077403138,-0.007005405890198479,0.008369603254373682,0.0112540777066535
3.5,BTCUSDT,0.0006,725,-0.00015159753927821906,-0.0007333166034066,-0.0003238461005765959,-0.00023920161305178642,0.44,0.9428572805297538,-0.009998515077403139,-0.007205405890198479,0.008169603254373681,0.0110540777066535
3.5,ETHUSDT,0.0004,737,0.00031127065291710774,-0.0006078490359633,-0.00011064955883368394,9.200212734250738e-05,0.45047489823609227,1.0974630710730502,-0.01278832053803458,-0.009206088825668817,0.010097690337644297,0.016722708946894368
3.5,ETHUSDT,0.0006,737,0.0001112706529171077,-0.0008078490359633,-0.0003106495588336836,-0.0001079978726574925,0.4314789687924016,1.033664527798394,-0.01298832053803458,-0.009406088825668818,0.009897690337644297,0.01652270894689437
3.5,SOLUSDT,0.0004,645,0.0007417696818762908,-0.0003429935962806937,0.0004721544345988078,0.0005536176914241993,0.48992248062015503,1.1930638621836378,-0.01584334740733492,-0.011690872686837378,0.014237577497162727,0.018432907866572174
3.5,SOLUSDT,0.0006,645,0.000541769681876291,-0.0005429935962806936,0.00027215443459880804,0.00035361769142419933,0.4744186046511628,1.1373149184427085,-0.016043347407334922,-0.011890872686837379,0.014037577497162727,0.018232907866572175
4.0,BNBUSDT,0.0004,386,0.0014215895403419828,0.00040527449576724996,0.001045470229911512,0.0012614969758978798,0.538860103626943,1.694878021590113,-0.008685464886184175,-0.0068144441351481,0.0102203901333419,0.015167945255003201
4.0,BNBUSDT,0.0006,386,0.0012215895403419829,0.00020527449576725003,0.0008454702299115121,0.0010614969758978797,0.5207253886010362,1.5709400777940659,-0.008885464886184174,-0.007014444135148099,0.0100203901333419,0.014967945255003199
4.0,BTCUSDT,0.0004,447,0.0004277947017828078,-0.000179325665692,0.0003738665093333524,0.00045019610111237605,0.4854586129753915,1.1671330024479687,-0.010121851943561489,-0.007266748861765921,0.009257196662816962,0.01242089173726467
4.0,BTCUSDT,0.0006,447,0.00022779470178280789,-0.0003793256656919999,0.00017386650933335208,0.0002501961011123761,0.4697986577181208,1.0855088452144566,-0.01032185194356149,-0.00746674886176592,0.009057196662816961,0.012220891737264669
4.0,ETHUSDT,0.0004,453,0.0006735701339199921,-0.0007560345990676,0.0002170002546942811,0.0004092119775282614,0.45695364238410596,1.2008639198211306,-0.013297993586207878,-0.00974316692968468,0.012220888613859662,0.017684637143413357
4.0,ETHUSDT,0.0006,453,0.0004735701339199926,-0.0009560345990675999,1.7000254694280846e-05,0.00020921197752826173,0.445916114790287,1.1367530539772939,-0.013497993586207879,-0.00994316692968468,0.012020888613859661,0.01748463714341336
4.0,SOLUSDT,0.0004,391,0.0004973591801052763,-0.0006333722287047,0.00013947673916550504,0.0002018879545801103,0.47570332480818417,1.1160419191702458,-0.01641231466402275,-0.0125424716675662,0.0139562361474913,0.017964310298645002
4.0,SOLUSDT,0.0006,391,0.0002973591801052762,-0.0008333722287046999,-6.052326083449494e-05,1.8879545801104005e-06,0.45268542199488493,1.067688855023737,-0.01661231466402275,-0.0127424716675662,0.0137562361474913,0.017764310298645003
